Gene,Score
MAP3K8,0.996342566173858
BCAM,0.996140191816494
RPL27A,0.994038781562248
LIN54,0.985514882458288
LARGE1,0.979828613564386
RPGRIP1L,0.976194480784315
PCID2,0.973567323397485
GRM1,0.973532273065246
PDZRN4,0.972397470284501
MICU1,0.968950674591664
PPP2R2D,0.960910912825303
FLNA,0.95489320860026
ZNF773,0.953838219208847
YJEFN3,0.951455075130255
EXOC3,0.950486255673642
TRIM44,0.949812948428143
SNX7,0.948890820854688
KDM4D,0.947305892262284
LOX,0.947072062422065
LCLAT1,0.9455492478375
TRAM1,0.944713318671043
APLP1,0.941724533144723
KLRD1,0.93882169190135
HNRNPM,0.938362239271612
NPR3,0.934740860071443
GATA6,0.930794948472869
ZSCAN12,0.930219830687161
ACAA2,0.928217786031263
MPST,0.92567209605754
TAF6L,0.922257726748421
ABI2,0.920694688657759
SAXO1,0.919692967251079
WNT7B,0.918377849633224
BRD4,0.91802747926854
PRPS1,0.916362805841346
C2orf42,0.915336821106892
Z83844.1,0.914746300631335
ATXN2L,0.91450839307563
SPA17,0.914340880555093
ZNF212,0.91290797814484
ZNF280D,0.912848681596255
PGAP1,0.910808982042158
PIAS1,0.906402751447646
MLF2,0.906372739883566
GNAI2,0.903720604512457
IGFL3,0.902704875809825
PAK3,0.902458293051608
SLC26A9,0.901842663404135
DDX60L,0.901086795372639
ADAMTS17,0.897735863738838
SEPTIN4,0.896950694881395
CREB3L2,0.896890844545238
XK,0.895502537460464
APC,0.895491768418249
ATP6V0D1,0.892141309177445
CD302,0.892085943341436
ARMC1,0.890577212634006
TTLL2,0.888392437490789
DPEP2NB,0.888031548682337
BTAF1,0.887410263688364
PLA2G2C,0.886314536466085
GDPGP1,0.885232287062895
IL20,0.882709632349774
SEMA6A,0.879629015854475
GAS2,0.879557164515246
NYNRIN,0.879221308803047
NSA2,0.878592233718879
PROP1,0.878059099340456
RBM41,0.873989237066925
DDHD1,0.870787404945865
INTS6,0.870405190058342
FERMT1,0.869930481792666
ENST00000558190,0.868745765510551
FGF14,0.868502143422528
EIF4E,0.868206987898066
ANK2,0.864691314171898
GNA14,0.863904841313217
NOP2,0.863695351408172
HGF,0.860826005599582
RPS6KB1,0.857801798582476
EFHD1,0.856726950931797
ZNF706,0.856231477877294
ALPK1,0.855652583586005
ACVR2A,0.855219832628974
CALCOCO1,0.854417434337612
LIN7C,0.853518627684936
FKBP10,0.852837314409822
ZNF426,0.852715231756283
CYP26C1,0.85075984158946
APIP,0.84937390299458
FKBP8,0.84768527175633
SAMD7,0.846265379799152
CNIH2,0.845956764188875
MS4A14,0.845062565290006
BPIFB6,0.845013717801934
HCK,0.842536141618139
ONECUT2,0.842242332914592
ITGB2,0.841363090357855
MMAB,0.838661420064916
YME1L1,0.837162394066749
ISYNA1,0.834808064531006
BCO1,0.833799976632617
HDAC9,0.833166278234175
ABCC8,0.833087508296866
IL1RL2,0.832186346762589
VWA3B,0.832045393962643
SIGLEC12,0.827085353366472
SLC25A23,0.825091977417442
STARD13,0.824867615010832
ZNF556,0.820661863900906
ZNF585B,0.819603352398912
KLHL31,0.819581157663164
ADAM22,0.819572821186761
NCAM1,0.819109031965151
NHLH1,0.818557347705031
MSH5,0.81835467093259
RPP25L,0.817995061218769
TMEM95,0.814704990239601
ATN1,0.812929072199318
ENST00000286067,0.812423742481836
KSR2,0.811939219702268
C10orf67,0.81174401971265
HYDIN,0.811254574804671
UNC13A,0.809924244445569
ADAMTS12,0.808857683488566
KRT39,0.806318815247925
PACSIN2,0.805979742414184
TUFM,0.804043602427089
YTHDF3,0.803931201963258
PARP6,0.803692530592501
GRIN2B,0.802390157577721
ANGEL1,0.80181336658488
BAAT,0.801478282218137
SIK3,0.801102753202523
PRR3,0.80064985643865
RGMA,0.800159587914588
BAZ2A,0.800086768812361
