Gene,Score
STMN4,0.999441610887115
FGFR1OP2,0.99616875812531
GNG13,0.995378882550683
ISL1,0.994722979456628
PPP3CA,0.994377589151017
OAZ3,0.992280367002698
ENST00000619629,0.991392159969736
LPP,0.990093534986527
AC073082.1,0.98839729972723
TFDP2,0.986809141803419
RNFT1,0.986010684906176
STAC,0.984866038499469
LMCD1,0.984499878140989
BHMT,0.980063806215825
SIGLEC1,0.976389301434564
GPC4,0.976148616734881
DCUN1D1,0.974666172303809
B3GALT5,0.972528985654899
CLIC4,0.97198020614691
MUC1,0.970352791075599
AC006030.1,0.969431991704648
MBNL3,0.969386072499339
R3HDM2,0.968836709188299
ZGRF1,0.968096880209154
CNOT10,0.967764200257295
MTCP1,0.966766266847878
GPATCH8,0.965947923933479
EIF4B,0.964893248567922
KLHL3,0.959645400662017
SLC2A1,0.958530297035805
ADO,0.958360673907067
RNF144A,0.957156105264224
RPS6KA5,0.956309225110813
KDELR2,0.955230437056033
PCNX4,0.954776730342803
MBD6,0.953180834081796
TLDC2,0.952363998441604
ATP6V1A,0.951412222251467
SRPK1,0.950617482318453
RBM26,0.949710988888807
NDUFS5,0.949164126380863
VWA2,0.943779449319159
RNF157,0.942344814663291
MFAP3L,0.94156637146981
RAD54L,0.941308676566817
CBFB,0.9394861789113
ENST00000558084,0.937524479107552
CLSTN2,0.937419536072754
KLRK1,0.932180906662581
DGKK,0.932004373350481
CYP4F3,0.931202622921709
SLC12A5,0.930544949462952
CNTN1,0.929583250577476
LPGAT1,0.929333351351953
RSL1D1,0.928979284611887
CCSAP,0.927409759291439
INMT-MINDY4,0.927203415979102
HID1,0.926165042160673
FAM110D,0.925873242848797
FLRT2,0.924062879325541
SETD3,0.923925122746694
FXR2,0.922699028947227
PRMT5,0.922246257284819
SMUG1,0.922045392760112
MSI2,0.922026003497166
C1orf21,0.921920584013461
TPSD1,0.920252512419676
DERL3,0.920160612370862
C4orf47,0.916704797165857
GABRP,0.916558464607919
AMOTL1,0.912495319211125
GOT2,0.911753928319065
FAM169B,0.911524914844551
ZBTB2,0.911042282482092
SEC22B,0.91068115878013
HDAC11,0.909918408581818
ITPRIPL2,0.9085964636724
GRIK5,0.908260817378611
FLG2,0.906076263290048
FRMPD4,0.905975173060143
SLC6A6,0.905572422055121
MED1,0.901054638669991
ZNF638,0.90032391775802
VWDE,0.899326701020956
BPTF,0.897960092463781
TAOK1,0.896850343962455
TRABD2A,0.896838372552062
LRRTM3,0.89555968768889
RHOT1,0.894336698786428
BMPR1A,0.89411073592719
GATM,0.89391833627765
UBE2L6,0.892819848413419
KLRC4-KLRK1,0.888693289846897
HNRNPC,0.88835810875894
INPP4A,0.888035832301451
SMYD1,0.887546513472021
KLF15,0.887260446427212
C22orf42,0.88686000583209
NPNT,0.885832869204942
CYP4F2,0.883626190099354
PMFBP1,0.883432011633653
CDK2,0.883077011946841
HPSE2,0.882957376910841
SYT16,0.882593124336881
LRRC27,0.881466777911073
LEFTY2,0.881462117926737
SELL,0.880483111215617
IGF2,0.88037149466605
VCPIP1,0.87984481898294
SHISA6,0.879485789645956
C16orf70,0.879266102523033
SCIN,0.877519067548587
MELK,0.875556665896461
ZBTB11,0.875034520250188
BRCC3,0.874103776582804
BCAM,0.873755181755182
POLDIP3,0.873581054769125
TRIM27,0.87293851660782
ENST00000558190,0.872352136495395
ABCA2,0.872021124430047
SOGA1,0.870192563814958
CDH8,0.869361584194326
RBM5,0.868950130621069
BHLHE40,0.868797253699535
AAR2,0.86849987628494
ELAVL2,0.868230478896024
HDAC6,0.866954087646719
DMXL1,0.866852954053714
RNF34,0.866236600477323
IGSF5,0.865827232323408
SEM1,0.863282118671218
KIT,0.863231945632781
TMCO1,0.863103283137421
C6orf62,0.863078843420389
RORA,0.862418542464265
ENTPD5,0.862270138246419
YEATS4,0.861790744861351
BDNF,0.86037662668895
VAPA,0.857642724454378
DNAH10,0.857530516100656
ATF7IP,0.855911647833723
SEMA5A,0.855898102630956
DOCK9,0.855493807665691
SNX29,0.855219615630948
DCX,0.855110466339498
ETFBKMT,0.85438292236672
TBX2,0.854275857804598
ENST00000355257,0.854138933257483
FRG2B,0.853601463783585
SOX4,0.85343820002992
DYRK1B,0.853186545805029
