Gene,Score
TPBGL,0.995260089168636
EPS8,0.995082938494187
ZZZ3,0.994073236663969
CAMK2B,0.992536188765229
LIN7A,0.99196897616536
ONECUT2,0.991125048388856
MYBL1,0.988880966183146
UBE2E1,0.98730915728864
KCNB1,0.986966668833375
RP11-597K23.2,0.986518857779741
BCL6,0.985352370329137
CSMD2,0.984486491140591
LRRC20,0.981801933362533
LYST,0.980116142704892
KLK11,0.97991593624298
SH3PXD2A,0.979381325525104
FBXO33,0.978940672848615
ATG16L1,0.976070781294547
ZFYVE19,0.976036012527309
KHDRBS1,0.97484522515417
GPR68,0.973756376417062
PIK3C3,0.973621947443561
RP11-176H8.1,0.972436899424743
DICER1,0.970846586314457
ATP10D,0.969628884679331
SMARCAD1,0.969452257711287
PPP3CC,0.968973402193767
RCOR1,0.968372509050772
MEIS1,0.967944033791589
RNF146,0.967881900729924
NOLC1,0.967598156868539
ACVRL1,0.966646334038719
FAM222A,0.966279757698216
FRMPD3,0.96561776157204
FIGN,0.965563232511279
HSPA12A,0.964892898567745
PLD5,0.963188276868529
G3BP2,0.963146489795708
AR,0.96295480310908
TSC22D2,0.962574365300732
WWTR1,0.961498575222161
AP000974.1,0.961377596357725
SYNCRIP,0.960943795467389
FAM129A,0.960591867686266
CYB5D2,0.960112517854733
PODXL,0.959752918779217
THADA,0.959306324498474
GCNT3,0.957811936629123
WDR48,0.957383754347261
CD34,0.957263105952403
ASCC2,0.95725738869763
TARSL2,0.95454101469169
TNRC6B,0.952530460755096
COG4,0.94914331849771
RIPK1,0.948136700884711
CSNK1G1,0.945598534434896
RAB24,0.945528810688566
POU2F1,0.945286279300095
LMBR1,0.942932650108141
NUTF2,0.942798975556281
GPALPP1,0.941818791042395
SIK2,0.941770356684963
CALM1,0.940468562944802
C7orf71,0.939964592154503
NUP160,0.939784037197644
IRS1,0.939104840327551
ASH1L,0.937064763652521
TRIP12,0.936618026309484
FAN1,0.935316007521206
VPS52,0.935297884465124
VEZF1,0.934531578314209
TCTN1,0.93430127819307
CLRN1,0.932678937696108
RP11-345J4.5,0.929732621425592
ZFYVE16,0.929210679081727
FABP1,0.928643701442533
PTGDR2,0.928635732238848
FAM71C,0.927484730489994
TMX3,0.927068920687954
CCDC6,0.927022476138459
GABBR2,0.926820504106992
PPIL2,0.926393026623075
ARID2,0.926237350488941
SKAP2,0.925862934719958
WDR47,0.925809231064629
NOVA1,0.925110548690492
ERN1,0.924714758351525
ATG2A,0.924545291142572
AGFG1,0.923877390772743
TGOLN2,0.923322449624717
DISC1,0.921693143438734
KIAA0232,0.919820999788164
DST,0.918511198983217
VAT1L,0.918359781607122
MPLKIP,0.918178842017288
COX19,0.917924153186133
FAM126B,0.916719079591285
USP9X,0.914767727766556
FRYL,0.914739055945159
PSMD3,0.914733761745703
CCNL1,0.914237488044388
GPATCH2L,0.913545724458302
SSBP2,0.913525082280273
LRRC17,0.913445664942718
BMI1,0.911977423888139
IKBKB,0.911946972037086
TUBD1,0.911210972558859
UBE2D4,0.909752667286471
FBN1,0.909157215636678
SCAP,0.908895654042027
PPP1R16B,0.908302633275252
MTURN,0.907359296231942
NTRK2,0.906477684704644
FAM219B,0.905092134404287
RHOV,0.905024323551327
ZDHHC9,0.904272871122866
WAC,0.903886962914258
LPCAT1,0.90262101247123
PTPRD,0.902372786460192
FGFR1OP,0.901946029273477
RNF43,0.900655928722176
PCDH20,0.90015884241805
CBX5,0.900139790351056
SREK1IP1,0.900029090682734
TAL1,0.899509820126586
WDFY4,0.899019332600953
PTGFRN,0.898176968797906
HMGN3,0.896959951577244
HMGCLL1,0.896302745951144
MROH7-TTC4,0.89575325837087
PIK3CA,0.895049867186238
RAB10,0.894682348975104
HS3ST4,0.894505767036143
TRAPPC8,0.893912953970662
ADAMTS10,0.89313940132806
EIF2AK2,0.893106862843695
NWD1,0.892343371256884
KCND2,0.891886249972633
NUFIP2,0.89162582913485
KIAA1109,0.891566874944629
USP28,0.890644823879136
CTC-432M15.3,0.890586526897058
C2orf43,0.888994753034044
AHCYL1,0.888702517485556
RPLP0,0.886840934494871
TRAF5,0.88619438175859
MAP1B,0.885837762720099
FLII,0.885677208891405
ZFAND5,0.885302982560301
ZNF561,0.885071621855841
GOLGB1,0.884653985364304
KIAA0087,0.884064820661658
HMGXB4,0.883307111305646
VSNL1,0.882983142763064
JMY,0.882726853410612
ERBB3,0.882558195768585
GPR45,0.882390610418364
