Gene,Score
TRIM71,0.99999999955858
FIGN,0.9999999845306
LIN28B,0.999997278451639
IGDCC3,0.999996201687437
SKIL,0.999993773787834
HOXB1,0.99998976667626
CPEB1,0.999983820329857
SLC6A5,0.999959673183431
IGF2BP1,0.999911145353774
ARID3B,0.999901671876631
BACH1,0.999881762189221
RNFT1,0.999881696947446
YOD1,0.999875957311221
C14orf28,0.999854239571498
COIL,0.999846592835609
GDF6,0.999836749064533
ARHGAP28,0.999817501246997
COL1A2,0.999814186934789
SLC35D2,0.999782676774005
PLEKHG6,0.999751468207295
NFAT5,0.999748257613341
NR6A1,0.999700896490531
MAP4K3,0.999656167971945
ADAMTS12,0.999530465734679
POU2F1,0.999472923648405
AHCTF1,0.999460193089304
MBD2,0.999449078912616
CAPRIN2,0.999340774508686
GAN,0.999284791932052
FAM222B,0.999268892796252
CNTRL,0.999241095149008
ACVR1C,0.999227268152703
IL13,0.999191297251391
PRKAR2A,0.999190733800286
FAM214A,0.999129544406787
HAND1,0.999112604878784
WNT9A,0.999028800943733
TTLL4,0.99900367259437
ACTB,0.998907784892181
STX3,0.998827334741231
ULK3,0.998772700988933
FRAS1,0.998707561453035
ADRB2,0.998685346467063
VSTM5,0.998657234453445
ZFYVE26,0.998604889140879
ARHGEF38,0.998548338173863
CLCN5,0.998509495574281
UTRN,0.998461515898085
PRTG,0.998388237170254
NGF,0.998376065038785
ZNF738,0.998305974432906
GALNT1,0.998177294922896
MFSD4,0.998159304399628
PAG1,0.998078334747322
USP44,0.998001503342382
LRIG2,0.997928676324621
ALG9,0.997789345566516
PAPPA,0.99778527407982
TGFBR1,0.997612397051556
RBMS1,0.997456708544573
CBX5,0.997274461038309
SYNCRIP,0.997228152408064
LA16c-431H6.6,0.997223147225432
MAP3K1,0.997014971434938
IGF2BP3,0.996846308425924
SMC1A,0.996655674937045
PLXNC1,0.996575366229432
LIN28A,0.996284893809122
COL3A1,0.996272628861431
DDX19B,0.996016252260221
BZW1,0.995947939575213
PTCH1,0.995332869635479
PTPRK,0.9947298434953
CLDN12,0.994659629085489
ADAMTS8,0.994562568339025
HIP1,0.994234987791807
RICTOR,0.994081412235334
MYCN,0.994032736134769
BCAT1,0.993583863041951
MAPK6,0.993137897538139
IGF1R,0.993103117349294
PRR23A,0.993091846877976
SYNC,0.992998217376237
DNA2,0.992908599915095
CCNF,0.992278391111519
PLEKHG7,0.992053217656277
ZNF341,0.992003940999831
CPA4,0.99197832114693
DTX2,0.991899941051819
KLHDC8B,0.99181789525565
ACSL6,0.991561646879325
XK,0.991464369066632
IRS2,0.99128898532861
PXT1,0.990869835950926
SENP2,0.990586705550682
XKR4,0.990565119102358
ONECUT2,0.990537896349878
TTC31,0.990312322369266
CCDC71L,0.990141808575521
EIF4ENIF1,0.990130445393312
ADRB3,0.990126692553712
REV3L,0.990073266229417
SFSWAP,0.989965026606827
CTD-2535L24.2,0.989917135709518
CD200R1,0.98986972341825
RPS6KB2,0.989786059795488
ACVR2A,0.989593678519749
GAS7,0.98947214413591
PPARGC1B,0.989360996514055
GOLT1B,0.989335455339081
GXYLT1,0.989264756816878
IFITM10,0.989229177882709
KCTD21,0.988813797722891
KHNYN,0.988256281162368
HIF3A,0.988042014532127
PARP8,0.987991383248737
C15orf39,0.987845037924181
FRMD5,0.987821297441181
KMT2D,0.987418314986385
PPAPDC1B,0.987398251141861
RASGRP1,0.986742487795717
ING3,0.986641751107782
EDN1,0.986416786608019
ZNF280B,0.986318590915127
TNFSF9,0.986279358679963
SLC2A12,0.985962635425982
DUSP22,0.985932636264357
CASP3,0.985662335462651
XKR8,0.98565364961851
NYNRIN,0.985552505787418
PCYOX1L,0.985392401199118
KCTD17,0.985026597972579
COL27A1,0.9847043062085
CCNJ,0.984546009346801
STARD13,0.984153393683789
MRS2,0.984112364240799
ASAP1,0.984099978247694
HIC2,0.983911293417118
CPEB2,0.983822582641236
AIFM1,0.983780502026164
CTDSPL2,0.983776791420304
SLC30A1,0.983762122280786
SCD,0.983672104798375
FRMD4B,0.983537910755648
CYP2R1,0.983410546660624
TMEM211,0.983324659229771
ZNF689,0.98300341150845
PTPRD,0.982870036081598
NAA30,0.982760523320935
OLFM4,0.982353351116302
MAP4K4,0.981719305556879
HELLS,0.981696977292266
ATPAF1,0.981547144957705
IGDCC4,0.981411523302336
B3GNT1,0.980866137810827
MAPK8,0.980747606841325
ABT1,0.980625697747382
FNDC3A,0.980439811831027
FAM103A1,0.978973840127868
FZD3,0.978259417779104
NAP1L1,0.977880410636694
INTS2,0.9778673001254
DMD,0.977590138349139
RANBP2,0.977513733822002
SIGLEC14,0.977465213656117
PALD1,0.977300652761714
FBXL12,0.977234248231035
PBX3,0.976901519981486
PPP1R15B,0.976664458095555
PRPF38B,0.975748152465974
FNIP1,0.975297468703132
DOK3,0.97489455208238
LPGAT1,0.974691460263438
ERO1L,0.974087054464437
IGF1,0.973878569313276
PGRMC1,0.973612984050556
GPR26,0.973132190554398
GPCPD1,0.972982311329696
PPP4C,0.972687941458474
SNX25,0.972214666770035
OSMR,0.972143115793542
C9orf40,0.971741187633835
CYP19A1,0.971638550410618
THOC2,0.97061264108079
ABCC5,0.970502484977887
PCGF3,0.969919325940643
IGSF1,0.969169723657949
ADAMTS15,0.969006594330395
RNF217,0.968936329401316
HSPA14,0.967958302499541
LBR,0.967594968351319
USP12,0.966983231950806
PLEKHA8,0.966802221175984
TRIM67,0.966681443566677
TET3,0.966111632350934
MED8,0.965598088886616
GHR,0.964712791688742
SYT7,0.964481355479167
PDE12,0.964468615635355
TBKBP1,0.964322220036361
GTF2I,0.964024734145885
MDM4,0.964011774091255
CDH8,0.963904613985695
TMPRSS2,0.963702203573866
DPH3,0.963463249432256
SLC5A9,0.963098889674773
GOLGA6L4,0.962185292882264
WDFY4,0.962049158413143
PPARGC1A,0.961648164716973
SLC22A23,0.961592800882682
CTNND2,0.961273976783604
CDC34,0.961196938776421
RBFOX2,0.960097591859921
TRMT13,0.960079169660754
USP38,0.959711988416703
SMCHD1,0.958110721724875
C20orf194,0.958043598561651
DAGLA,0.958043582989633
FAM214B,0.958000368998333
IKBKE,0.957979745410251
FAXC,0.957293001502877
TNFRSF1B,0.956529040774443
ADAMTS5,0.956359568456899
FAM189A1,0.956290621314343
AGO3,0.955984258613749
CYP4F2,0.955769619502608
ADAP2,0.9556210931989
TRANK1,0.95554558429199
SMARCAD1,0.955525220667996
SOX6,0.9552275175303
DLGAP4,0.955147008519511
NID2,0.954789693597187
AC008443.1,0.954711847772268
GIPC1,0.954698356957557
TMEM167A,0.954375632344109
STRBP,0.954328244827051
PLA2G3,0.953931144481557
ZNF347,0.953743864961205
DMP1,0.953733826992396
ERCC6,0.953354899782647
IGF2BP2,0.952394537277603
FASLG,0.951179061861795
GCNT4,0.948827490855977
SENP5,0.948814797691894
PTAFR,0.947859420338407
FGD6,0.947461004460835
HELZ,0.946738093276253
KMT2E,0.944528099849522
ZC3H3,0.944300132904815
GIMAP6,0.942980222584772
ARID3A,0.942907098444073
EPHA4,0.942798281073265
ITGA7,0.942691791681731
RDX,0.942359446265568
ADRB1,0.941856943860984
SLC38A9,0.941703793024349
GPR61,0.941563249425091
ABL2,0.941381729584206
GYG2,0.94103179185774
AGO4,0.940772843519247
MACF1,0.940589946083353
RAB3GAP2,0.940382421489227
IMPDH1,0.940287400190989
FAM118A,0.940103812646386
ACVR1B,0.939966549410558
DVL3,0.938696964880971
BEND4,0.938326026789575
IL6R,0.937840035218635
CDV3,0.937286700519021
SNAP23,0.936966500720574
ZSWIM5,0.935845687295572
TTC26,0.934210892016207
ZNF462,0.934156527684063
SYT11,0.934048561982272
PHLDB2,0.933679894721461
ZNF644,0.932950438452221
DICER1,0.932595291016817
PORCN,0.932574710426426
HDX,0.932128301205878
UHRF2,0.932023321474773
MGAT4A,0.931903600930419
SLCO5A1,0.931724415248271
HOXA1,0.931719358987269
AC068987.1,0.931668862115837
C20orf112,0.931277968673745
XRN1,0.930570298778299
SLC30A4,0.930198372220238
IL10,0.930193872671721
GATM,0.929808847566699
COL4A6,0.929376474178905
HOMER2,0.929327770912556
CCR7,0.928885017742647
GDAP2,0.927849905985601
ACTG2,0.927648378699813
SEMA4C,0.926968092941819
FOXP2,0.926435344129464
ZNF200,0.925804588368449
IMPG2,0.925751652649968
BCAP29,0.925747370800436
TTL,0.924578080239741
ONECUT3,0.92431318319287
ARHGAP8,0.924277110672046
DPP3,0.92405073086816
ZNF784,0.923818713770311
INSL4,0.923705194133825
TPP1,0.922741243591319
CLOCK,0.922625827800798
STX17,0.922405370970099
SESTD1,0.922349979107167
AP1S1,0.922196628740231
SYT1,0.921313339580346
DCUN1D3,0.920204245286006
OLR1,0.920118206389333
RNF44,0.919989205875921
CHSY3,0.919773775840716
RP11-133K1.2,0.919609291398033
MXD1,0.917961676049851
PLS3,0.917891246806086
CNOT2,0.917348772199869
LYVE1,0.917305533887673
POTEE,0.916914914478835
NHLRC3,0.916217984316402
CPEB3,0.915286034019179
MYCBP,0.915230157585244
PTAR1,0.915052124033322
PLEKHO1,0.914312527348088
GRHL3,0.914042241705039
SH3TC1,0.913512045395478
DLC1,0.913485311776874
PCDH19,0.913192270776857
WASL,0.912983456789181
ZBTB39,0.912927115732055
SLC38A2,0.91181076443386
LRRC23,0.911780399562506
NDUFA4,0.911611104834531
MASP1,0.910812313423175
ZNF710,0.910691676613882
MARS2,0.909189761579714
COL5A2,0.908836479706159
SLC16A10,0.908147697039402
GPC4,0.907708809553941
MLLT10,0.907508352153805
OSTF1,0.906770970436072
BCL2L1,0.906053260820771
ZNF880,0.905437404407918
SWT1,0.905409106492187
ZPLD1,0.904864058352541
SLC25A27,0.904845453536367
TARBP2,0.903495071515854
RNF170,0.902821552727912
PGAP2,0.902349079607598
ETV3,0.902147054721245
HDHD1,0.901049166580322
DDI2,0.900608251719379
AC004381.6,0.900380850526836
SOCS4,0.900205705323133
KLHL31,0.899918892633323
MED28,0.899892655425582
NEK3,0.899746834197439
LPHN3,0.899355255503027
AEN,0.899086236471992
POU2F2,0.898943583579664
CAMK1,0.898919850910223
C1orf159,0.898795062314975
COL15A1,0.898567270565709
IGLON5,0.898161440813985
DUSP1,0.897960348393496
CPM,0.897686570764472
PREB,0.897251064798212
MGA,0.897226493262058
GABRA6,0.895891408100453
PCBP4,0.895889273529951
ALPK1,0.895527554630116
BSN,0.895377452931068
PIK3IP1,0.894483552935354
CERCAM,0.894454126290975
CHRNA7,0.894292730665778
ARPP19,0.893981530494408
NIPAL4,0.893704663387969
SLC16A9,0.893282294401887
SUB1,0.892985467575084
LRP8,0.892534078528341
RRM2,0.892088205272332
C18orf21,0.892016957806861
ARL6IP6,0.89157171270384
MAP3K4,0.891008554845987
ZNF774,0.890835298253402
SKIDA1,0.890529146681388
INTS6,0.89004202240863
GALE,0.889844729933347
TRABD,0.889357138589544
TSPEAR,0.888765749634155
MEX3A,0.888209876668576
E2F5,0.887865883885318
FZD4,0.887811733043425
SLC30A6,0.887760250924454
ZNF620,0.8876707355679
TMEM65,0.887228350091667
KCNT1,0.887040928855559
COL4A1,0.886564063884979
SCYL3,0.886182425596026
SLC25A18,0.886104756600608
SREK1IP1,0.885750328190663
ZNF566,0.884871027161484
ASIC1,0.88469783097817
DAB1,0.884495389401838
SEC14L1,0.883532929979211
DEFB119,0.883505638065143
GAREM,0.883464673721798
ATP2A2,0.882756171451949
TMPPE,0.88247749154665
TFR2,0.882154326198456
CTPS2,0.88201081257304
FBXO15,0.881985330509827
EFHD2,0.881828209189351
UGCG,0.881470190850602
OTOF,0.880924035988893
ZNF429,0.880272945669219
LINGO1,0.879985244623611
TRHDE,0.879630295143989
P2RY13,0.879363467476404
SMAP1,0.877931269255472
CTSA,0.877922236637876
NPIPA7,0.877625772051758
INSR,0.877434371371657
DYRK2,0.877372485984941
TXLNG,0.877304977369133
ZBTB26,0.877054802228125
POTEM,0.876975220880155
TPM2,0.876738235858282
ZNF275,0.876647286572218
EDEM3,0.875894357277345
ANKRD49,0.875324306502757
SRD5A3,0.875056113330887
NEFM,0.874110541233536
USP24,0.874001507561361
ZNF10,0.873477141237521
GOLGA4,0.873470887379936
MSH6,0.873278380272562
CRTAM,0.873226561251173
ZCCHC9,0.873190606438767
TFAP2A,0.87302252904566
WDR11,0.872816009764511
USP21,0.871620116711019
HFE,0.871584931485002
ABCC8,0.870809084351968
EPHB1,0.870599138752794
ST8SIA1,0.869964491934595
HOXA9,0.868661037198321
TECPR2,0.868597391049542
NDST3,0.868568375371674
MCCC2,0.868200508522771
ZFHX4,0.867826159813713
CECR2,0.867685005762563
FGF11,0.867606029687234
THRSP,0.86731721218448
LCORL,0.866976318004331
GJC1,0.866885360523124
PDPR,0.866598364024526
MEF2C,0.866374869505584
PARD6B,0.865766467988144
PCTP,0.865083960195468
EVI2B,0.864949037069231
FAS,0.864133374298796
ZNF879,0.863277633061926
DSCR8,0.862465117707934
CHIA,0.862401936865534
BEGAIN,0.861178556431003
NRAS,0.861008511585567
NTRK3,0.860426787326267
FLNA,0.860420673841369
RBFOX1,0.860086099592035
ACTA1,0.860077458654398
C1GALT1,0.860054625717843
MTDH,0.858948954659334
AMER3,0.858858589495934
IL22RA1,0.858372913788367
DPF2,0.858145241116662
E2F2,0.857697618444944
ACP6,0.857676791798179
LRTOMT,0.857580406953187
RGS16,0.857295721355895
BRD3,0.857099302042102
FADS3,0.856962361181694
GRID2IP,0.856480208091367
ATP8B4,0.856473263902577
HECTD2,0.856375302140643
PXDN,0.856088463530449
ISLR,0.855975521784579
ZNF599,0.855620608559825
CYB561D1,0.855552068445196
ITGB6,0.855549476769998
FAM178A,0.854845884454573
KIAA1161,0.854838266694055
AKAP8,0.854765630070218
EGLN2,0.854019181303734
SDR42E1,0.853829760162862
HAS2,0.853504142552527
MYB,0.85280625091957
FAM135A,0.851798827863073
CPEB4,0.851393287989628
STARD3NL,0.851326722491552
NT5C3B,0.851121417192343
IFI44L,0.850865819323589
EIF5B,0.850422861607662
CDH22,0.850208667034622
MIB1,0.849422813617324
POTEG,0.849331079240656
TRPM6,0.849091071074157
BTBD3,0.84877266573322
CCND2,0.848614520719644
PSME4,0.847776116532969
FAM135B,0.84748480936267
ITGB3,0.846509533116081
TMEM135,0.846452683949517
NCR3LG1,0.846194913900456
FNDC3B,0.845814240509459
PAWR,0.84578054142474
CTSC,0.845681929158326
ACAD9,0.84557362782692
XYLT1,0.845171478894834
CASP5,0.844750775294059
STK24,0.844605123324443
DDN,0.844058376837418
ABCD4,0.843352308632508
MAGEA6,0.842642995829637
UFM1,0.842243464341696
SYT2,0.841365171358374
CLDN16,0.841238398551831
RBM38,0.841071652863809
HDLBP,0.84033178486635
SLC25A24,0.839989457502164
TNIK,0.839914649403649
AC023632.1,0.83959549792001
NIPA1,0.839117701293442
PARS2,0.83886280398572
ZNF583,0.838843273437375
SPAG16,0.837504602307421
EIF3K,0.83734864673181
DCLRE1C,0.837289311839852
RSPO2,0.83670871158893
LIMD2,0.836378104216544
QARS,0.836038718525567
RNF38,0.835433638074986
MINK1,0.83539692767702
KIAA1958,0.835324718888649
TAF9B,0.835074094227966
TP53,0.834697060833328
GPR157,0.834556416069025
E2F6,0.834445964776352
GPR63,0.834281918017539
ARHGAP20,0.834265009116542
CYSLTR1,0.83406166725269
HIF1AN,0.833620801317946
C16orf52,0.833160012582755
ZNF202,0.832282688403727
PBX1,0.832279893056524
IRGQ,0.831474952617168
RFX6,0.831357195610842
CRCT1,0.83019197679251
PMAIP1,0.830136114408961
SLC20A1,0.830062882279114
NME6,0.829744416310222
SMARCC1,0.829697976331326
CCL7,0.82966543710451
PPT2,0.829484605783453
DIAPH2,0.82934128405592
GOLGA6L20,0.829285730745599
CEP85L,0.828898123550295
C5orf51,0.828670967779483
XPOT,0.828502436540182
SULF1,0.828017627161172
KCNQ4,0.828000120656151
SLC17A1,0.827504731761993
RPS6KA3,0.827275790765266
NPIPB4,0.827183658699675
ESRP2,0.82690867415414
SOCS1,0.826459929129271
LMX1A,0.826301945167926
RMI2,0.82603945807735
ERRFI1,0.825994640508681
DNAJC10,0.825877509055875
ZNF512B,0.825692032505283
C11orf86,0.825653906288477
TMEM194A,0.825495161647869
CRB1,0.825244288653363
DDX26B,0.825240675341292
DDX19A,0.824798339733334
RAD9A,0.824669877974554
PUS7L,0.824610646730532
USP47,0.82419199371054
TMED4,0.824013805888725
ADIPOR2,0.822940714351421
TMOD2,0.82289385353982
VASH2,0.821841871076467
DNAJA2,0.821501599248598
TRIP12,0.820047884325908
ARIH1,0.819686514557234
MFSD12,0.819670837575437
ARHGEF28,0.819440902296091
PDZD9,0.81906231887206
PHACTR2,0.818954587227244
SREK1,0.818631966377508
CSTA,0.818440600794846
RNF165,0.818105364776507
CDC25A,0.816632159869403
AGPAT6,0.816077776978606
CSNK2A1,0.815966441367528
AGBL2,0.8157023942569
BTBD9,0.815676065372471
PRKAA2,0.815600308827655
GOLGA7,0.815069280959413
ARRDC4,0.814877925341528
ZNF256,0.814601519056114
GDPD1,0.814344527993213
CUX1,0.814276263064632
