Gene,Score
CXADR,0.999986313019517
RSBN1,0.999964516914797
TANC2,0.999713789073001
DAZAP1,0.999663366386852
NPAS3,0.999404841092703
USP34,0.999333295386715
WNT2B,0.999286968407833
RBKS,0.998930033529772
NEK9,0.998148839718627
GABPA,0.998101395707384
TOP2B,0.997848169953934
NCDN,0.996669976601538
ARHGAP31,0.996447628745368
TMEM218,0.996067017418074
ST8SIA1,0.996010041561359
NRG4,0.99565263266762
KCNH8,0.99281979093207
AVEN,0.990766755986971
BCL11A,0.990395104043449
ATG5,0.989460850916265
ZNF385B,0.989294935599868
STK4,0.987961729342587
FAM106A,0.987303432493963
KRTAP3-1,0.987284873816611
JAG1,0.986313798360315
ENST00000358138,0.985859622417237
TMEM245,0.98505813514155
SDHC,0.984206656706615
NEU3,0.983281112243851
HNRNPR,0.982017088640383
RFX5,0.981965747899105
FMO1,0.981932976647406
SMIM14,0.981601010084435
POLR3G,0.981436707558385
ADIPOR1,0.980800442812339
PTPMT1,0.978820525880335
ERCC8,0.978547876295252
SEL1L2,0.977560622187485
ARV1,0.976346165889696
LHFPL2,0.97580752824738
GPR180,0.975108727910291
SMU1,0.974815892780243
SAMD5,0.974494745280806
BCL2L11,0.973707123577836
BHLHB9,0.972358297687111
HR,0.97163657184058
ENST00000622074,0.971565598358894
PRR20E,0.971382040870652
IDE,0.97133080747894
CEMIP2,0.971306036297251
PRR20B,0.971036975701268
IMPACT,0.970669279107615
BCLAF3,0.970538966433749
BBX,0.970286438996995
DIS3,0.969498780479045
F13A1,0.967775937536861
NAA11,0.96719544536753
PHYHIPL,0.966655908342931
KCNA1,0.966077114227958
CCDC6,0.966023228961558
SMARCE1,0.965993210776501
DDX3X,0.965791316512983
KIR3DL3,0.963985167038462
SH2D4B,0.963342512013524
GRIN2B,0.962135499284982
SNAPC3,0.96181203313107
COL5A2,0.961588468861993
SLC39A10,0.961371289246984
GIMAP1,0.960487617869553
KCNQ3,0.960242834532725
KDM3A,0.960169980015693
AHNAK,0.959110706151507
ADAT2,0.958724901639627
CLCN4,0.957626607495425
MTNR1B,0.957378835106416
TFAP2B,0.957376761925096
XPO1,0.957359507150097
FOXP2,0.956973720814308
BLOC1S5,0.956605255532679
CADM1,0.956140374537796
INHBE,0.955971490893657
GJD2,0.953713900619506
PPIL2,0.953488864766994
MAB21L3,0.952823506575763
ADCY7,0.951350019899693
FLRT2,0.950351543544883
CNKSR3,0.949000447383172
MSH6,0.948476027793872
HDAC2,0.948111617050915
PPP2R5A,0.948105927921737
EIF5,0.94801629564793
GAP43,0.947946634287362
ING3,0.947885298924928
FGF13,0.947745064663731
OLFML1,0.947598847122959
AK9,0.94675212434422
ENST00000276461,0.946522800829426
MKLN1,0.946203093130057
ARID1B,0.946184562192978
ATPAF1,0.945914227822691
MBOAT2,0.944902724833046
DYNC1LI2,0.944862716697404
SLC44A1,0.942850861641015
NFAT5,0.942699746234155
ACOT11,0.942376181722284
CHTOP,0.942152824220198
PPL,0.942057951701877
KIF1B,0.941509106019897
NR2C2,0.941258400466651
EPHB1,0.939564877476938
GYS1,0.939074023387061
PPP1R12B,0.9384109236952
FER,0.937886934901632
MYO5C,0.937664417705609
CPEB3,0.937486970815702
FNIP1,0.937157638321712
TSPAN9,0.936111447358017
AMIGO1,0.935903872725981
HACD4,0.935729700853811
ASRGL1,0.935482646342752
CEBPG,0.935427273874686
TCTA,0.935354575135246
PDPK1,0.935332379606047
ADIPOR2,0.934909975070494
FMNL2,0.934695062522888
CYB5D1,0.934373144563332
C3orf67,0.934259615934907
TM9SF3,0.934251618496908
ETS1,0.933659818499097
UBXN2B,0.933434898369728
LRRC69,0.933192471862178
ZBED8,0.933006541536434
KRTAP2-3,0.932798618844372
SERPINB13,0.932506276402364
SLC7A9,0.931025903959754
DNM1L,0.929631437839582
CTNNBIP1,0.928996440716294
ZNF280B,0.928831358426549
