Gene,Score
MPDZ,0.959681949753334
GTF2IRD1,0.946276686821864
MOGAT3,0.943328294905889
FBXL2,0.942272116565204
NDUFV3,0.935131264331117
OAS1,0.929146106310046
CACNA1G,0.927099026328572
AP1S3,0.925796380387825
OBSL1,0.925452417239966
CAPZA2,0.91810466537416
ENST00000558190,0.91446823498748
COL27A1,0.911830302480114
YIPF4,0.903504022422384
ENST00000396008,0.898011930707656
SSU72,0.894730686241028
RRP7A,0.894202200082593
PANK2,0.892925814076246
DRAXIN,0.887790870576262
ETV2,0.885057790367865
FXN,0.873649793277262
ERAP2,0.87075841819662
ENST00000355439,0.870347021248372
RINL,0.867668720122151
BCL2L12,0.866942820935327
USE1,0.865532627101969
HM13,0.860726388132676
TARS2,0.860492054210018
ENST00000283684,0.860400812467489
OPA3,0.858089341359226
PHAX,0.855028265887068
TRUB2,0.84893979791423
GORASP2,0.848641063801668
SLC35E3,0.842706737943901
AP002495.1,0.840966210781305
ZNF605,0.833566343428974
PROCA1,0.833321204905994
DCAF16,0.831194819574521
ORAI2,0.826619356273129
KIF1C,0.82496969213886
LARP6,0.824446873867798
BHMT2,0.82283165464508
KLHL32,0.822006429214382
SNX22,0.821117480996373
PTDSS1,0.817853403346214
AC099489.1,0.816484328427492
ENST00000359786,0.815314691924163
GCNT2,0.812221840684325
MED18,0.811088141761416
TRAF3IP2,0.810120506803853
OTUD6A,0.809078861742911
GOLGA6L6,0.806244112456673
ZNF843,0.805662481903017
IRF1,0.805476522653765
SRGAP1,0.804656862792514
GPX2,0.803284016910157
CGAS,0.803152422730623
ZFHX3,0.802144920159012
ANKRD11,0.800330153166755
