Gene,Score
RSBN1,0.999205775375019
ZFHX3,0.991402654374468
RGS18,0.984778201285471
YOD1,0.982364209289455
LYAR,0.982153507065695
TMEM170B,0.979510157220053
PDCD4,0.976076035814687
GDF6,0.975478742046176
ENAH,0.973063802410267
HOOK3,0.967063632833663
DIAPH2,0.964143451977429
SLC30A1,0.963362849805048
CUL5,0.958691444278054
MMP8,0.95835725345652
CSRNP3,0.958009725219412
C11orf87,0.955378108473159
AKAP5,0.953203351179827
ELAVL2,0.952906039140302
OTUD7B,0.951618718066221
UBE2D2,0.946122293495456
KIAA2026,0.941099439220125
CCL28,0.940615443910185
MBNL1,0.939541992512871
FAM177A1,0.939055887099061
SOST,0.93877538107927
HNRNPA2B1,0.936959733846695
NAA25,0.933070506973214
SP9,0.932652736318941
IREB2,0.932148015455059
AMOTL1,0.930866121659064
SPIN1,0.93025010247308
CENPH,0.927929599445541
MIER3,0.927846069315921
CITED2,0.925894469952207
FBXO28,0.925759943684555
ASB4,0.924281333465101
FAM98A,0.923370122838224
RPS6KA5,0.922784436873563
FAM118A,0.920829312415545
STX7,0.920000391579363
INTS2,0.919701458689675
PDE7B,0.917043946222938
GABRA2,0.916189324677867
GUCY1A2,0.915357564509639
XKR4,0.915283880531709
HAS2,0.913790693581906
CCR2,0.913510598920362
HNRNPR,0.913444191959928
SFTPB,0.912699128484312
ARHGAP5,0.912390254086921
PSMA3,0.911278634221059
TARS1,0.911216505420839
MAD2L1,0.908985646444384
ACVR1C,0.907672330235214
TEX15,0.907082441137649
ZBTB25,0.905599856102432
JMY,0.903914000953094
RCOR3,0.902431098037509
PTBP2,0.901977606976464
ATG14,0.901797001756843
ANKRD50,0.90082934516265
PIK3C2A,0.898895895980146
PRDM6,0.898226792905813
USP53,0.897375713076922
BDNF,0.897184229654095
MTPN,0.897024211629883
DPH6,0.896679499394195
AQP11,0.896475867062546
KBTBD8,0.895077093215055
MIA3,0.89482350912783
DMRT2,0.894244058427834
TOX3,0.892891033199545
SH3GLB1,0.891697348708144
TNPO1,0.891294221475857
FBXO11,0.891183504141455
LCA5,0.891168986271517
ZNF148,0.890659931432954
ZNF606,0.890157946902293
CCDC91,0.889716360613495
RAB3GAP2,0.888940308495117
CPEB2,0.888080327246792
BICRAL,0.887063376589074
EIF2AK2,0.886236947390816
TRA2B,0.882713012347212
INTS6,0.882341467566534
GVQW3,0.881456951814765
NR1D2,0.879564953938395
KLHL28,0.878632392505848
C3orf14,0.877258996426345
TLCD5,0.877217663906594
CROT,0.877124846522322
SLN,0.876954842583793
MGAT4C,0.873234128935079
RELCH,0.871078866512507
DOK6,0.870330507463389
ATRX,0.870106934063058
GPR82,0.868852507473968
REL,0.868369878881537
BORCS7,0.867480689117316
SESN3,0.867341048027707
KIAA1143,0.867147629802552
PPM1L,0.867015322583861
FAM122B,0.866754426332519
PLEKHA3,0.866057858836932
LLPH,0.86603846433517
ESR2,0.865808347555626
GTSE1,0.865137524690564
AGFG1,0.864347447572973
ATF2,0.863444081015531
MMP16,0.862935584666607
SLITRK5,0.859763225458873
TENT2,0.858968014428085
RNF111,0.858427051114698
PUM2,0.858053752211573
AKIRIN1,0.857237533541113
FGF12,0.85715472796288
DCP1A,0.857114906427237
DAG1,0.85668400201383
RNF7,0.855491243071737
CD47,0.85538182801457
FAM228B,0.855074268226034
INMT,0.854761159302101
FAM135A,0.854581148832639
SLC25A3,0.85431615494443
MYNN,0.85418614190422
PJA2,0.854104684798581
ZNF627,0.853011774588573
ARHGAP6,0.852869092973347
ADH1B,0.852012143613324
QSER1,0.850004675929155
TSR1,0.849756165835776
DOCK9,0.849575746186374
BMPR2,0.849357199862824
ZNF814,0.848813806199624
WDR41,0.848092068799227
NAP1L1,0.84675009046571
LEMD3,0.846239142685845
MAP3K4,0.845768988461742
VGLL3,0.842722257586168
POU2F1,0.842630368788748
ZNF695,0.842308944852665
DYRK2,0.84172272786938
NACA,0.841692082511132
POM121C,0.841445805421185
ENST00000374710,0.841364396353835
ATP11C,0.840224447045913
SGMS2,0.839992582373734
REST,0.83977903433114
ASXL2,0.839689742073874
TMX3,0.839402243362388
FLRT2,0.839279298108021
MOSMO,0.839156695717533
LNPK,0.837963894167808
SOWAHD,0.837764267529539
ATP7A,0.836324456985939
PER3,0.835501976640166
TRHDE,0.835397116783593
DCHS2,0.833542085259298
CPEB4,0.831160921114033
TNIK,0.830427098500107
TDP2,0.830107004681946
ZEB2,0.829832499621992
SLFN5,0.82898648763666
TMEM106B,0.827693338508323
PURA,0.827305051655799
CYLD,0.827241908667101
ZNF207,0.826984128875952
NABP1,0.826433655036584
TMCO1,0.82624561420866
PLPPR4,0.823527024603919
SYT16,0.823445876271926
REEP5,0.822928750067436
RFX3,0.822780253337639
GMFB,0.822617266974713
TXNDC5,0.822012618572944
C2CD5,0.821525229972669
KLHL24,0.821328255972648
NPAS3,0.819961652602596
LIMS1,0.819607489436001
AMOT,0.818980583143812
FXR1,0.818884862004543
GABRG1,0.818754544184214
KDM7A,0.817691682714768
ZBTB8B,0.817039416038626
SIX4,0.816997509800787
PCDH9,0.816837172871055
CTBP2,0.816116031874776
POP1,0.81610735216195
MATR3,0.815729709947214
EBF1,0.815048789581496
RBBP4,0.81504024294346
GDAP2,0.814774100179683
NRXN1,0.814146699907699
KYNU,0.81379950348693
EPS15L1,0.812741684279749
SCAI,0.812715730439328
SNTB2,0.812318179443133
NAMPT,0.811038939305187
CEP44,0.809564894808425
RAB10,0.808939308815758
ZNF124,0.808320148955903
MEIKIN,0.80815284120968
ADGRG2,0.808048086581976
CREB5,0.80745321720245
ADAMTSL3,0.807284475611443
BIVM,0.806491766708372
AKAP7,0.805901711805246
MBD5,0.805786077003219
ZBTB37,0.804823545286426
THRAP3,0.803860259694971
LIFR,0.803405677483899
STEAP4,0.803157101068584
DCUN1D1,0.80283579150577
STK39,0.802431085343363
NKTR,0.802194776705617
NR2F2,0.801495150865052
TNRC6B,0.801489083593477
BCL11A,0.800080904396647
SRSF1,0.800014778108181
