Gene,Score
TMEM212,0.986059932783269
SPDYE3,0.983231328325651
SLC8A1,0.974822871884862
RORA,0.974070132127783
DNAJC10,0.973062647746141
HNRNPM,0.970928525198619
ELAC1,0.970886381462213
C6orf47,0.963371187884477
SLC4A4,0.960982828374743
AL121594.1,0.960963380952638
UBA1,0.959836368998327
DACH1,0.955756985394169
CNTNAP2,0.954472482848634
SMARCA1,0.9534927178813
ZNF37A,0.952054092590531
MTF1,0.949112980324216
SEC23B,0.948044648685133
UBE2H,0.94798845558425
PRDM5,0.946389386498884
ENST00000574641,0.945399727149265
MAP3K2,0.945380671655583
GNAI1,0.94201257878924
CHD6,0.940292970355483
LCLAT1,0.932860000161156
AL023806.3,0.929603758917318
ZBTB41,0.92933501359886
SLC35A5,0.923575110099916
NCKAP1L,0.918971642385458
ENST00000612396,0.917934807420694
SPDYE5,0.917292232621889
DNAH10,0.916788942856
GFRA1,0.91512682311256
BRWD3,0.912064063541177
SLC9A9,0.910246943352129
AK4,0.909121240649619
SPDYE1,0.906613923718335
CMBL,0.905302130097282
ZNF451,0.90474592093942
BEND7,0.903873015223192
EFNA5,0.902785012492099
RASSF5,0.898980084544753
SPDYE16,0.897328764325436
FKTN,0.896730006855887
ZNF571,0.89564719070797
ENST00000523944,0.894479573402709
MTHFD1,0.893335419946078
RAP1B,0.891041035589516
KNL1,0.889315793405571
MGAT4C,0.888433648703715
CTSS,0.88838771289276
SRPX2,0.887151376802416
MYO1E,0.886021500175696
LRRC29,0.885453070107528
ILDR2,0.883256453903987
PDE11A,0.881893226033192
KIAA0586,0.880843572132755
PTAR1,0.879782930370505
ACVR1,0.877634519199818
MBOAT2,0.877588422871063
ARHGEF38,0.8774440015385
ARPC2,0.877291970875971
NPFFR1,0.876917685756207
TMED5,0.873709980762159
SYT10,0.871985763484574
SORCS1,0.871582802152377
APC,0.870974383623996
EBF2,0.870640280308003
NUDCD1,0.869000183111599
CCNG2,0.867901263719839
ENST00000622074,0.866119691570157
SPRYD4,0.863368207972611
WDR75,0.862445893176956
USP50,0.861233453342521
ACOT11,0.859944992823142
CCDC66,0.857729958569724
TMEM184C,0.856788047275543
PRLR,0.855982835094506
ZKSCAN3,0.855832992324273
INO80D,0.855089014362001
STPG2,0.854653101044759
PTPN3,0.85257040835197
CDCP1,0.852319029293289
TMEM19,0.852177787339891
FZD3,0.851966427684511
USP9X,0.850013239161832
THAP9,0.846164397488617
FMN1,0.84361185881846
TBC1D32,0.842812980592338
SPIN3,0.841013327414872
KCNJ6,0.840683016798272
PSMC2,0.840452664464182
ENTPD5,0.840138573824728
CHST9,0.839335885347964
PDP2,0.839294062204422
AGO2,0.839235341664155
RALGAPA1,0.838275950623935
NECAB1,0.837575193640687
RGPD2,0.837540311240266
WBP11,0.837045040836532
MGLL,0.836890062530045
FRG2B,0.836820349266764
CSF2RA,0.835436992153829
HIBADH,0.834391311211655
KLRD1,0.833803866650848
CSE1L,0.833789652718391
FBXO3,0.833321688712843
MPZL2,0.832678622693912
NRK,0.832566606005844
TXNL1,0.832462894356178
BMPR2,0.832320524901892
DEFA4,0.832312428392243
CABYR,0.832212416260344
KRTAP1-1,0.829350679264775
SIK2,0.828440672607641
DTD1,0.828233034131774
DLEC1,0.82715828003466
SLITRK3,0.826710680468463
PFKFB3,0.826609264056886
GMFB,0.825935652086913
KDM6A,0.825398950401525
ZBTB37,0.824294536918074
SRSF10,0.824163407522359
INSL4,0.822997052884829
ADAMDEC1,0.822537512704359
ASAH2,0.821660247600333
EXOG,0.821058636187198
LRRK2,0.820704167361711
UBE2W,0.817629822766754
GAS1,0.817493058997422
ATG3,0.81740809219738
TM6SF1,0.816789497877224
STRADB,0.815458568735133
CBL,0.815101928564282
INSIG2,0.814454434855062
SRGAP1,0.814358454997053
DDX52,0.814354614966082
FAM217B,0.813538382554652
MAPK8,0.813438926676811
TREML1,0.81317182064301
PI15,0.812795799897721
ATF7IP,0.811785027606182
COL26A1,0.811360411811667
PDE4D,0.810336240492138
ENPP4,0.809735828708563
GNAI3,0.809360702743792
MLF1,0.808977053942177
GPR34,0.806571926059391
RNF169,0.806134189748545
PIEZO2,0.805537560452721
ATG12,0.804646805623373
TMPRSS11A,0.804481584980083
NTPCR,0.802941367932902
AC026786.1,0.800646881344217
CIP2A,0.8003993383512
PROX1,0.800231987147731
