Gene,Score
GSTM2,0.999867297900641
CPEB4,0.998962045247987
PTPRG,0.998590872743314
SKIL,0.99842347089441
TP53TG3D,0.998419940496241
SYNCRIP,0.998370364322968
SOX11,0.997975497109503
BRWD3,0.997928238880861
KDM3B,0.997894106699817
FAM135A,0.997840214510188
PABPC5,0.997735454324915
LDLRAD4,0.997715315025918
SERTAD2,0.997400591622277
CSRNP3,0.997386283265816
STX7,0.997349913710176
SNX16,0.997313124834143
PRKG1,0.997254320970747
KLF9,0.997153557186362
MGAT4A,0.996925370957415
LINC00692,0.996733014921151
TCEB3,0.996600936566861
MED13L,0.996195098248899
STOX2,0.996042042348229
PPFIA1,0.99583337402069
ACAP2,0.995682641879216
RAB27B,0.995509029734182
SERBP1,0.995437480645881
TP53TG3,0.995226621732358
RABGAP1L,0.994992653147044
SOX6,0.994851513070455
TP53TG3C,0.994699681004657
CDC27,0.994553132084357
ZFX,0.994492693034052
SLITRK4,0.994420287386524
SREK1,0.994013341127164
CTBS,0.993533224537292
LHX9,0.993526850373109
CCNB1,0.993484792875043
REV3L,0.99347917262863
MAGT1,0.993429677893586
PRKAA2,0.992978349923195
LRP1B,0.992905340603563
ADAM22,0.992745066929029
NAA30,0.992617138890741
UBR5,0.992580748663732
FRRS1L,0.992568500164866
PLEKHA3,0.991936621530548
CCDC144NL,0.991866396861719
G3BP1,0.991788419966921
PHC3,0.991678627447624
GRM5,0.991218951803792
PKN2,0.991045653220073
LPP,0.991008971438451
TMEM194B,0.990840522761842
AKAP11,0.990816284918503
MARCH7,0.990758882783488
PAWR,0.990521762570244
RAB11A,0.990366489348706
SMAD4,0.99027042090601
ZNF738,0.990263612300848
CDK6,0.990149031611843
MYLIP,0.990137346824166
LNPEP,0.990010310697429
PPARG,0.98985633908201
MZT1,0.989848218620346
WDR26,0.989667207565286
LRRC58,0.989650287577459
ATRX,0.98963133594334
TCTEX1D1,0.989228608178584
ITGB6,0.988802084274381
TRA2B,0.988799087444772
TCEAL8,0.988552032662284
HNRNPA2B1,0.988418399003678
BCL2L2,0.988347425960655
MAST3,0.988290164661805
CD47,0.988288949776426
HIVEP2,0.988271803046622
VLDLR,0.988008166063118
XPNPEP3,0.987675704506649
NEGR1,0.987423445351681
PVRL3,0.987393493304544
CTDSPL2,0.987123011464957
FLT1,0.987117716135772
TTC13,0.986864042063202
FOXP1,0.986811560595572
IPMK,0.986754010675837
SDC2,0.986563748222118
LY75,0.986520352548709
SMG1,0.986390574187332
KHSRP,0.986364485089646
ZFHX4,0.985916170350453
TMEFF2,0.985911416008057
U2SURP,0.985892804518575
ETF1,0.985783897378211
ACVR2A,0.985486727151508
ZMYM2,0.985300979974861
MLTK,0.985122305388379
ELAVL2,0.984948150461484
SKIDA1,0.984824443149915
GTF2I,0.984621887935835
SIX4,0.984403777937279
INSM1,0.984398143926273
SLC4A4,0.98429325168876
CHSY3,0.984004115802842
SAR1B,0.983938591280697
BCL11B,0.983819256984045
ZC3H6,0.983814371254937
RC3H1,0.98365092168934
DPP8,0.983619970913777
APPBP2,0.983100733346893
NEDD4L,0.983046773180452
GUCY1A2,0.982601613101101
CACNA2D1,0.982377556149381
RORB,0.98237119455956
STRBP,0.982326486074711
PDE4D,0.981969502023402
SLC15A4,0.981962438543513
SIRT1,0.981879356930223
