Gene,Score
SLC35G3,1
AC092850.1,0.99993134311436
SLC30A8,0.999888829062823
CCDC113,0.99966263405787
PTPN12,0.999179371831642
ZDHHC16,0.995624259362295
FUBP1,0.995431588713083
CHP1,0.995207469686006
SORT1,0.993919637668398
KLC4,0.993384945162926
LSM12,0.992016516656864
PRKCH,0.991785545102888
FAHD1,0.99065082329821
UHRF2,0.990614141515669
FAM230A,0.990100365198636
INO80,0.989719195132343
CNTNAP2,0.988920154726447
MARCH9,0.987262720215442
DLGAP1,0.984020781775847
OXR1,0.983786213617768
ACSS2,0.981388785603885
CUX1,0.980893428631802
PARK7,0.978304541625875
BMPR2,0.978169597708928
PLAGL2,0.977814375715459
CAMK2N1,0.975688164613836
GDF11,0.973859942299556
DCAF7,0.971867243966689
STRN,0.96921960097876
FMR1,0.969212287153987
GAB3,0.969076464206366
LMO4,0.966907227393069
CCDC15,0.966510763777093
RP11-706O15.1,0.966508153945519
SNCAIP,0.966103667055924
PAK3,0.964699618717715
OPRD1,0.964025375868386
NAV3,0.962830752486958
ST5,0.960836257716402
IL1A,0.9603488972992
ZSWIM5,0.959543431571387
DNMT3A,0.959324567784761
AGAP8,0.959021024664931
BPI,0.957740522768006
GRHL1,0.956350461930485
FAM160B1,0.956148122188765
ADAM19,0.955929386212642
C1orf170,0.955785236670673
CDK16,0.955405534618078
DBN1,0.953260435183643
CPA6,0.952628643778577
PARVG,0.952356433824512
SLC39A5,0.950054894585141
PAK7,0.947075718686364
CDAN1,0.94663477858888
SMEK1,0.945690420801806
PIWIL4,0.94538388358083
KCTD21,0.944474339313658
USP8,0.941862662136403
SNTB2,0.941666646531878
PAAF1,0.941381673727406
ECI2,0.939933478314636
BCKDHB,0.938665207672512
THAP2,0.938631764260734
PSMD3,0.936592957530948
UFSP2,0.936582920679324
SLFNL1,0.936173568795367
ARPC2,0.936138556104658
RGS4,0.935273011064501
BTBD11,0.932359689040459
PPP1R1B,0.931553698806853
PTPRD,0.930555696509555
CPEB4,0.929922090221556
TIMM22,0.928770809488006
AVIL,0.928506325932855
CYP2E1,0.927685779283929
KIAA1033,0.926973448864898
KDM5A,0.925385856363651
UBTD1,0.923792218921317
TBCEL,0.92377057852089
RRBP1,0.921595378497433
SLC8A1,0.921467285261793
MXI1,0.9210104009386
TCHP,0.920932298585253
GBA2,0.920353527757012
RASAL2,0.919450209553899
NOVA1,0.918881104115735
CD276,0.917923524508072
FMNL3,0.917526682217999
HIF1AN,0.915750401770352
C12orf68,0.915551899146459
NUFIP2,0.913704582409756
ZSCAN2,0.912878484496458
LAS1L,0.912083265409306
FAM135B,0.910846366622096
LINGO1,0.91067035030769
RP1-27O5.3,0.908224609062936
CELF4,0.907450597035604
UBE2Z,0.907216336993764
LSM14B,0.907145155602837
C10orf113,0.904515041320337
FAM129A,0.904351243304963
SIGLEC5,0.904146245893136
RASGEF1A,0.899837489236831
SBSPON,0.899486970351316
MEX3C,0.895364054223381
RAF1,0.893571312089306
TMEM92,0.893225902491452
CTC-398G3.6,0.893038952919849
UNC5A,0.892543489307983
CCDC57,0.891534746140415
ELN,0.891348816391146
THRA,0.890927924761219
ZSWIM7,0.890907554409055
ABTB1,0.890753449321873
COPS7B,0.890184291677882
EPC1,0.889122139108954
PLEKHB2,0.886996153721849
CCDC61,0.885497654488647
PRSS8,0.884645891508031
RPS6KB2,0.8830063247845
RHEB,0.8827025838669
BCKDK,0.882467799799311
RILPL1,0.881994852595359
CMPK1,0.881867428712802
PPP6R2,0.881474387509284
TMLHE,0.881123342294161
CNP,0.879519072695944
ZNF623,0.879361770690322
CPT1A,0.87904157651565
MAGEC2,0.877889263186016
MSRB3,0.877842906196868
ABAT,0.877734351393691
IGFBPL1,0.8766555247793
TEX22,0.875805009249849
SLC5A3,0.875264793651178
ZNRF1,0.875024907809295
SLC5A3,0.874805045046492
KCNA1,0.874770494886301
