Gene,Score
WDR44,0.999857449297248
MBNL2,0.99949005311538
NOL4L,0.998487722939204
RNF44,0.998229134557694
PPP1R14C,0.99772091540432
CCT3,0.996085018414201
APLP2,0.996045782516944
PFKFB3,0.996005040598394
AC046185.1,0.992828187396017
TAF15,0.992439269548583
OSTC,0.991773903067067
FGF18,0.991692439569108
DHX40,0.988585498876532
YES1,0.987571871893394
FANCD2OS,0.9874876823343
CXCL12,0.984115147690084
SOBP,0.983399784358804
HCFC2,0.983330050858398
OSER1,0.981319302829877
SLC12A1,0.980899632447194
CD302,0.97944645164925
BCL7C,0.977054376497691
CASKIN2,0.97607724562979
ERCC6L2,0.97573239719233
ENST00000620556,0.97514914212981
OXTR,0.974426399034662
RGSL1,0.973988765702065
STMN4,0.97376917185918
TWF1,0.973509994608521
GRM8,0.973501886613558
PPIE,0.972496325705829
NKTR,0.972040171818612
UBE2D3,0.971207259245604
KCNK10,0.969581985937552
MRPL35,0.967212648662659
SEMA6D,0.965714574408055
AXIN2,0.965497676085563
MAN2B2,0.963427379983978
BRWD1,0.961112502677702
RAB21,0.960576292593993
SYCE1,0.959027752628231
PRTG,0.958985679118676
ADRB1,0.957978130158571
H2BC4,0.957830827123401
UGGT1,0.957211663312713
GTF2IRD1,0.953066251532062
CACNA2D4,0.952780060322518
CPA6,0.950794692528551
MEIS2,0.95025647706415
NTAN1,0.949863103188666
ENST00000373985,0.948634111563591
FILIP1,0.94853719928658
TNKS1BP1,0.947162308906893
PLS3,0.946386973922119
GSDME,0.945450557870065
RAB27B,0.945001004085815
AC118549.1,0.9444835338669
LGMN,0.944302521238257
MARCHF1,0.942235982120224
CXXC4,0.938566400371101
TMEM174,0.938046987654591
AZIN1,0.936967877139528
AGL,0.93688829100986
CD44,0.936287263517997
ZNF37A,0.936065767592615
MYBL1,0.935523698663972
RALGPS1,0.934465161728916
CFAP69,0.934450228875782
PADI2,0.933345718497727
EEF1AKNMT,0.932442811177416
CYP46A1,0.931900751485331
ENST00000328528,0.928436512444607
JCHAIN,0.926525922528523
ARHGEF9,0.926401776302449
FZD4,0.92473418755091
SPRED2,0.922667848604361
ACER3,0.920752085852989
GLS,0.918295475871863
SEC62,0.916892057733544
DNAJB14,0.916655543431063
QKI,0.915512766412431
HBZ,0.913801470508678
GPR137C,0.913658179345313
TDRD10,0.912910451477033
PUM1,0.911946741740817
RBM11,0.911635170920729
GNG12,0.910955438500061
BMP2,0.909811142060026
SNX4,0.908579353263684
HTR2C,0.907923666088651
HAPLN1,0.907156320506589
GPATCH2L,0.902813187717393
KCMF1,0.902518497303234
RASA1,0.900190575647093
GPX7,0.899356484781069
FLG2,0.89908393754119
AP2B1,0.899039463167226
KDM3A,0.897905309082235
TYRP1,0.89771060007606
YTHDF2,0.897084821940526
TNN,0.896675501178812
NPAS2,0.895525544525752
REV3L,0.89452047741633
SNAP91,0.891301750897401
FAM3B,0.890896963409528
CSNK1G3,0.889558333017027
KIZ,0.889187038735722
SMNDC1,0.888835708253932
TMEM212,0.887227811178153
ERCC6,0.886627401786468
XDH,0.884950746120096
PDHB,0.884420664066771
BMP7,0.884137374528357
CNTNAP1,0.884071659923068
UNC5C,0.883721048139848
PDS5A,0.883202529885716
ATP13A5,0.882731216162011
RPP30,0.88270304552425
LRRC7,0.881749047332836
TMEM167A,0.881747287287717
KDM1B,0.881322569607379
NPNT,0.880857428739461
PRDM6,0.87984821813963
NCKAP5,0.878612326746405
BMPER,0.878252226448819
CPD,0.877990298231207
KCTD16,0.877967229334761
TMEM229A,0.877099805152612
SESN1,0.874979318211146
CYSLTR1,0.874417993004115
C11orf88,0.872941207942799
SESTD1,0.871501378945226
NTRK2,0.871431089275966
LILRB4,0.870968502093091
NBPF4,0.870034326873495
ST8SIA4,0.870030242008269
KCND3,0.870017703195155
MYOCD,0.869438683135476
ZFP82,0.868480877392915
APOL2,0.868387783734829
NOVA1,0.868030478046538
RNF152,0.867969369615221
ZNF618,0.867434765590234
FGD5,0.86685982033728
TMED7,0.865339758394
MAD2L1,0.863799683359774
MCM8,0.863759383982189
FAM91A1,0.862956920673566
ZNF280D,0.862192398279364
NPAT,0.862047138519761
NFAT5,0.860371966934435
ZNF561,0.859988193521766
DNAJC25,0.85938056445303
CDKN2AIP,0.85920980750505
FAM98A,0.858324107038229
EPHB1,0.856917862363057
SATB1,0.856837615057745
RHOT1,0.856067916657198
CCDC103,0.855843422425375
EEA1,0.855256594270932
BPY2,0.855215823922772
BPY2B,0.855175736773129
BPY2C,0.855095550633775
IKZF3,0.852911067210413
MYLK,0.851796015712299
DOK6,0.851041351560818
ENPP2,0.850937178613368
CXCL17,0.850795142083396
SFTA3,0.847866124829181
VWC2L,0.847741378833343
CP,0.84361239232677
KCNJ6,0.842323669968841
ZNF670,0.841659556398498
LAYN,0.84124690821547
SUGT1,0.841118392198929
IBA57,0.840833474110709
PNPLA8,0.840586976472237
BBX,0.839544782348743
APOBEC4,0.839144205966329
DCAF11,0.838114156380092
FGFR2,0.838107324542434
SPPL2A,0.837749504055035
KIAA1217,0.837723385198195
CNKSR3,0.837547476290823
EXT1,0.837375252718119
GABBR2,0.837300901140721
ARHGEF15,0.837136381112148
PTCHD1,0.836303082095525
DMXL1,0.83616262570582
RRP15,0.834125415649248
RBM39,0.834055054650901
TECTB,0.833988760568165
MBNL1,0.833638034117831
PCDH17,0.832418523640134
PPP1R9A,0.831415672785222
ARHGAP5,0.82934095658526
PDE4B,0.827535974087727
COL5A2,0.827372711932702
PDE4D,0.827108200062199
ZNF556,0.82618304308959
PTPRK,0.826069141472793
SMR3B,0.825815569705317
CLLU1,0.825045841492904
APOL1,0.824752661517103
RBM43,0.824651526074275
PGAP1,0.82435312629155
DLG2,0.822296758425879
UBL3,0.82061610568039
LRRK2,0.820211659382789
AL096711.2,0.819180338960821
HMCN1,0.818520906273752
SP100,0.818047938046705
FMN2,0.817704826961538
ENST00000294652,0.816969215477646
ITFG1,0.815309672978095
MINAR1,0.814663196156064
ZNF614,0.814576726690595
AP1G1,0.814170005467276
MINDY2,0.814076168016237
LIN7C,0.813674161730456
FRY,0.813639952402328
AGBL2,0.81336801143075
TRHDE,0.812640456234468
C1S,0.811906571985883
HIF1AN,0.811580177428194
PABPC4,0.811419039394117
