Gene,Score
ELAC1,0.99123966468942
FOXG1,0.990015592612953
SETD5,0.987635965621483
C2orf88,0.986770823628819
DSCAM,0.985098750725896
DBF4,0.980073725655518
DACT2,0.979401433500162
VANGL1,0.97874355543877
PLEKHM1,0.977213229687138
DKFZP779J2370,0.97517298307565
TMED7-TICAM2,0.975041346951275
NARG2,0.971189610332688
FAM179B,0.970495374366574
MSI2,0.968454937958261
KIAA1429,0.967311310074482
NCR3LG1,0.964137596359396
PLAGL2,0.96321572908143
ALMS1,0.961839490100256
JADE3,0.961364625517648
WDR31,0.960690009456555
PIGS,0.96015761921352
COL24A1,0.959337699793712
C17orf74,0.958270017064631
KIAA1522,0.958100334636366
BMP2,0.956352528991026
C1orf158,0.954906133088197
INO80C,0.95006268387826
NUPL1,0.949984054197596
NUDT9,0.944723514684529
ZFAT,0.944343657282982
CNTN5,0.942775269161834
FAM215A,0.940625064961856
NKX3-1,0.93979652117793
KIF3C,0.939719000736719
ESYT3,0.939439521619624
SLC5A10,0.933099671401169
AMMECR1L,0.932547863826209
WDR16,0.93187283952887
HOOK3,0.931793004935356
ATP6V1G2-DDX39B,0.927863852459727
ITPRIPL2,0.927563598650737
TRPC3,0.926482632472574
KBTBD7,0.924504591935867
GLIS3,0.921686882857358
GNA13,0.921184497671861
NDST4,0.919565605356971
RFXAP,0.918921785952603
KIAA1958,0.917908635550655
ZNF134,0.915486793104645
CTD-2368P22.1,0.914745663082255
PRPSAP2,0.912587633488109
DHX36,0.911806124542252
RBM14-RBM4,0.911121418563028
RAB10,0.910289451781486
FNTA,0.908949877802727
RPN2,0.908057620968643
HERC2,0.906837237464536
HNRNPA1,0.906529390260764
TLK1,0.901133718423927
VPS35,0.900109882045398
FAM219B,0.899574861775601
WDR75,0.898841922067912
WSB2,0.898192971614929
MSH3,0.898124589625032
SHPRH,0.897398767109753
TRPM1,0.894982134598706
USP6NL,0.893531593530034
KIF26B,0.892724284283713
CIR1,0.89178856694064
EFNA5,0.891582057222124
FOXN3,0.891344541003714
NAE1,0.891131951604858
MTFR2,0.890463051704707
TMCO1,0.888949541954111
ADAR,0.886874927462952
SRSF3,0.886294105540755
SSPN,0.885500922502565
KDSR,0.885067932443424
ELK4,0.884132238735515
PITPNA,0.883654759943418
C17orf72,0.882898355241
IGF1R,0.882625324533226
GPN1,0.881519274729677
PTPN11,0.878329206248468
TMEM106A,0.877634659817506
ACOXL,0.877205318577474
PRR23D2,0.876666477226129
LENG9,0.876645077768901
PTK2,0.876518560607567
PRR23D1,0.876401314543198
ZNF507,0.873083030707434
MYO18B,0.872912347171317
PRR20E,0.872267761723089
PRR20C,0.872002033900926
FBXO40,0.871500659350693
NEUROD1,0.871349623505243
PRR20B,0.871051140403629
PSMA5,0.871046259611206
IL6ST,0.870705668904796
PRR20D,0.87002092495366
PRR23C,0.869617280568334
TOB2,0.868489905942128
ZNF511,0.86809569591321
HLTF,0.866833386235567
FANCA,0.865388830580513
VAT1L,0.862987335891598
SFSWAP,0.862624582715853
FAM8A1,0.86240886991747
KPNA6,0.860977204299101
SLC25A26,0.860379135605599
ALS2,0.859371114501956
LCA5L,0.859350429382046
DYNC1LI2,0.859321658092784
RBX1,0.858673373390332
PPP1R12B,0.858473389476277
C12orf29,0.857369950984478
ANKRD52,0.857069437750581
OTUB2,0.856908437105803
HN1,0.856048184831828
E2F2,0.855773072354929
CCDC117,0.855475172459976
IRAK3,0.855403912116459
UCK2,0.855327286144748
DCBLD2,0.855170265694468
WDFY3,0.855069046889772
MNAT1,0.854878658942721
NEUROD4,0.854517357874704
EML6,0.85383969569454
GOLPH3L,0.853755851278755
PAH,0.85333445388395
ATG12,0.85154448626275
FLNA,0.851509267212386
PDIA4,0.851294126121527
NT5E,0.850269826149128
GABRG2,0.848940227107009
ARL10,0.84891684055653
FMNL3,0.847747860774151
PAX8,0.847468297645246
MAGI1,0.847338577890325
HSPA12A,0.845288864507243
NCBP2,0.844726700750461
RAB6A,0.844287684356259
SSH2,0.843766111797303
SFTA3,0.842111490391348
RP11-295D22.1,0.841097085441919
SEPSECS,0.840248430791935
ZFPM2,0.839268892809125
OR7D2,0.83726520993802
AC135983.2,0.836974726235393
CCR7,0.832648045674844
SKP2,0.831827536301234
NRG4,0.831313259062359
MPP6,0.830904939783217
PLCXD2,0.829256144769814
ZNF776,0.828850254428833
PI4K2A,0.828835797705358
PAXIP1-AS2,0.828789171054727
PEF1,0.828760918336426
MKL2,0.827378346926904
GAB3,0.827194754132146
CARF,0.826349206050162
GPR156,0.826044857829659
OSBPL5,0.825654731827856
ACTR3,0.825512497689866
INTS4,0.825257432279171
RBMS1,0.824386196609088
RRP1B,0.8239957204181
C1orf21,0.823725942134806
ZFP28,0.822808651599747
CERS3,0.822770008109901
EFCAB5,0.821931268571934
PIM2,0.821814162363997
TRAF3,0.821195390433704
AC093802.1,0.81953465152408
GEMIN7,0.819326123434914
SLC4A5,0.818431832786826
SNX25,0.817213763600103
KCNJ10,0.816671157510038
FAM230A,0.816248843581187
LY6K,0.81542594250652
INPP5F,0.815302526128961
GOLT1A,0.814552866427833
SLC2A1,0.814008641012914
NAPG,0.813747957439558
PAPOLG,0.813726489520038
PRELID2,0.813596629714913
BPY2C,0.812740201561543
BPY2B,0.812094222681808
EIF2B5,0.811644989930717
PHC3,0.810774932778977
BPY2,0.809735077881108
SKP1,0.808189919278401
GPT2,0.808104467997517
CELF5,0.807779141485857
GABRA3,0.807586611480211
CSNK1G2,0.806224204396711
C14orf132,0.805881209020841
NEK4,0.804954626181041
AL117190.3,0.803333629914796
CCT3,0.802938040167174
ATF7IP2,0.802829736880716
TBX3,0.801914558965576
ZDHHC2,0.801795282677224
FSIP1,0.801149836090517
ZNF124,0.800504178510508
TSPAN17,0.800361595518239
