Gene,Score
MUC5AC,0.999924744607525
RAD23B,0.996599582819842
TMEM212,0.99638657974811
GPR63,0.988321610964869
LACC1,0.986017949860386
MAPK11,0.980650528623695
SCRIB,0.980572481050371
MEX3B,0.98023953272572
LMLN,0.979739173555965
TMEM263,0.973122435095667
SLC26A7,0.967389304414911
RNF115,0.963166166499986
ERVFRD-1,0.960129319230332
SLC25A23,0.959848598661261
VLDLR,0.953816890724949
CORO2A,0.947667578420254
CSNK1A1L,0.947090847015273
SEH1L,0.946836998423711
GORASP2,0.944395915669044
SLC35A4,0.944155507050688
JPH1,0.940154371233744
AC134669.1,0.939145130348029
ZIC1,0.938121261606253
AMIGO2,0.937816635410584
AC005833.1,0.935995412407621
TLK1,0.935166757799122
MOBP,0.933296904544157
DTX4,0.933096704106891
MANEAL,0.93300168162554
ANKRD36C,0.931567523035807
LGR6,0.930609254997037
MBNL2,0.929979731595658
ENST00000615798,0.929763918128381
TAF5,0.927509628500692
HMGN1,0.923904143499926
HNRNPUL2,0.923612064077692
ERBB2,0.923599739341943
ZNF519,0.923279903215448
ARID4A,0.921959437816012
SMCHD1,0.919486741775906
OTULIN,0.917399911396051
MARCKS,0.91671349068516
CWH43,0.913305262766807
ITPR2,0.910885051122234
LUZP2,0.910067404107122
NRIP1,0.909586076897461
EIF2AK2,0.909354595476684
NLK,0.908747261715444
KCNMA1,0.907507568044776
EPHA4,0.907356207903041
MRRF,0.905555097737477
KAT2B,0.905442840401085
PCDH9,0.905082856695514
CMSS1,0.904874921824398
PCNX1,0.904713628373877
RHOBTB1,0.902622686300912
EDARADD,0.897714493726454
SOX18,0.896855819130709
ZNF764,0.896517807269531
SYNPR,0.895468815773324
ZEB1,0.895289110855177
CD84,0.894501745575637
ERVV-2,0.894088545861061
ZSCAN30,0.893088233912498
ADAM11,0.892783777031554
BRD8,0.892764507477655
RALGPS2,0.891134167545222
SLC8A1,0.890804873181842
METTL8,0.889718063630828
EFCAB14,0.888895308430052
TUBG1,0.888835986929881
ASH2L,0.8880906645285
P3H1,0.887326109883828
SMAD2,0.887095358060718
MPHOSPH9,0.886362548834846
TNIP3,0.886051359521483
CDH19,0.885824422121885
ENST00000265023,0.885625343654361
NFAT5,0.885320759068404
DDX17,0.88520061831619
DTNA,0.884030403629557
HS1BP3,0.883194426819268
F3,0.881472480523966
KLHL31,0.88101958247284
CYP2R1,0.880024348081906
ENST00000422223,0.879724164790797
FLRT2,0.879565856022727
RSF1,0.877753749704531
CACTIN,0.875994471231994
NEPRO,0.875179681989972
ATRX,0.874962646809678
ARPC5,0.872814366610526
BZW1,0.869174965823901
TOGARAM1,0.868836399307695
BRINP1,0.867091422353547
SEPTIN3,0.866816553594294
OR2H1,0.865853687546547
ARFRP1,0.865692130976095
C10orf67,0.865627828280508
PRKCA,0.865520359775313
HSPA4L,0.86511063622801
SMTN,0.864575117290236
RAB28,0.862819295239863
ZFHX2,0.862812955625215
LRRC1,0.861331496841908
HDAC8,0.860226502259735
MTARC1,0.8591672613672
DUSP15,0.858208602171183
BICRAL,0.858089626571924
SDHC,0.85727805645283
MGAM,0.855308902129163
CBLIF,0.853084347362397
CAPRIN2,0.851211800125477
TMEM115,0.850697898702375
PGM3,0.847945632474408
PLXDC1,0.847878919815385
POU2F2,0.847702765783138
FAM78A,0.845672093459493
LMCD1,0.845086117611485
SNX30,0.843035936940115
NEK5,0.842870367210297
ENST00000309893,0.842805153087338
HEXA,0.842659427831452
CABYR,0.841590714905558
TFAM,0.841503747461924
PTCH2,0.841390025222317
DMRT2,0.8410517939903
LACTB2,0.838641089691817
PANK3,0.837571617826845
ENST00000611416,0.837400472164884
NDUFAF7,0.837162482823763
CDV3,0.836979340144264
ERBIN,0.836668335749671
PDZD8,0.836466033061333
MTAP,0.835073045974537
BTAF1,0.834739228238135
RBM12B,0.834351204942687
SNAP91,0.834337040537166
PCYOX1,0.833173079381547
MROH7,0.832941918004763
LYST,0.832909593472598
TBC1D2B,0.832298669251365
BEND6,0.832054564262803
CCDC25,0.831462966494922
SLCO2B1,0.831146624666923
ENST00000388925,0.830476005379238
CTSO,0.830432089677629
RPUSD2,0.830241787347416
FLNA,0.82974610921164
VXN,0.827024217661369
ENST00000620556,0.825669964502263
KCNIP1,0.825432610417527
NEDD9,0.8252649739421
SAMD3,0.825101880113673
ABI2,0.82477363055243
LRRTM4,0.8242875435591
PCYOX1L,0.823133971464013
ARFGEF2,0.822922537542018
ZNF551,0.822587282414311
NUFIP2,0.822566653743684
ZRANB2,0.82249970881047
ECM2,0.822262276066874
C8orf89,0.819802591352645
EML6,0.819770101839238
GBP3,0.819714677479379
SMC5,0.819220416573452
TRIM52,0.819133676667799
SH2D4B,0.81900966961875
BLMH,0.818574283720009
MUC13,0.817413569472481
ZNF608,0.816765669689826
SMARCD3,0.816653708241303
PRR23D1,0.815947629137496
LMAN1,0.815775935777156
PRR23D2,0.815662859403056
PFN2,0.815085714755434
RORA,0.814551105486771
CXCL9,0.81453492420887
AK9,0.814456804037736
SENP8,0.814292377707442
MON2,0.814084081540772
YTHDF3,0.813398165911898
C2orf73,0.813245267528142
CYB5D2,0.813181623182575
OMD,0.812886181130652
ADGRL3,0.812646599952285
CCDC3,0.812638804611663
EGFL8,0.812415230870585
ZNF614,0.810441297209381
HDGFL3,0.809883031797016
KLHL29,0.809451759936997
REV3L,0.808583822833456
ZNF827,0.80759469805616
ZFP90,0.806949750484893
PPP1R12B,0.80691973331653
ZC3H14,0.80685375950353
SLC44A1,0.805746167483315
LRWD1,0.805152141595729
CDH8,0.804009170514937
GSTM2,0.803918952493459
PAPPA,0.803014049620339
FNTA,0.802832296366596
EFEMP1,0.802016123769105
DDX11,0.801705102734978
ARL6IP5,0.800774512279264
