Gene,Score
LRP4,0.991129281739005
DNAJA2,0.9894088413516
TMOD2,0.987167769463549
LHX2,0.986373602715881
AC106886.6,0.984015419267614
CADM4,0.983517483422786
FNDC5,0.98081528400532
ZNF800,0.976423028205085
HSPA4L,0.971330576957045
LMLN,0.969254816719666
STK17A,0.967337519097389
DACH1,0.963073088859128
FLRT2,0.95966148555977
ENST00000617179,0.959276597156938
ZMYM4,0.958503916080062
CHD8,0.957847702064835
SCRG1,0.955027984689799
FGF9,0.952399105166846
NFAT5,0.950331119923505
ELSPBP1,0.944638190360682
CBLN4,0.943096657966215
KAT2B,0.941454201818566
DOK4,0.939541452089235
SLC25A23,0.930632335982321
PALM2AKAP2,0.929891484257208
NCOA1,0.929101095664334
TTYH3,0.928777269353049
BMP2,0.927915960437538
STIM1,0.923262025909765
SPRY1,0.922557823745528
CUL2,0.920719911517461
HDGFL3,0.917675455740001
ANKRD29,0.917107828290427
DGKB,0.916570242241167
SHROOM3,0.911192126442233
LTBR,0.910949813104266
SRGAP1,0.909587573850549
SRP14,0.905163187206388
BAG2,0.903467079007048
MED4,0.894363088095157
ADCY6,0.892942131122648
RBBP6,0.892720193126386
HAL,0.890798886143554
UBE2V1,0.887397749372026
DGKI,0.887260815805935
DPYSL2,0.8846150908871
ENST00000610431,0.884542207130884
SMAD2,0.8803951164592
COL17A1,0.879796684633775
UBQLNL,0.878277539305701
NUCKS1,0.878034003287589
COL28A1,0.876644480246906
CAPN1,0.87587507137729
BAZ2B,0.875792044736745
LRP8,0.87507020004314
TFRC,0.874950495176774
GCA,0.874127349047938
ZNF716,0.873389263816511
BOLL,0.873067665057817
MON2,0.871685830923933
DCUN1D3,0.869580645807318
JAG1,0.867490844159956
LCOR,0.866364258749285
MTAP,0.863452512322555
SNX27,0.863094752427221
RALA,0.862883905374764
ADCY7,0.86267763269672
RSF1,0.862467809327956
CDC42EP2,0.862111114206259
EMG1,0.860704115749939
NBEAL1,0.859775102792287
VEZF1,0.853264074991356
SMARCC2,0.853181298900131
NCKAP1,0.853067349985227
PHLPP1,0.852703514119642
PAX8,0.851373777340201
DFFA,0.848369401031032
RPUSD2,0.848183024168852
YOD1,0.848066512502423
GALNT16,0.847021829596175
GPRIN3,0.844698879252869
IGFBP5,0.843869144638869
GLUD1,0.843303573230965
RAD54L2,0.842380741715403
TMX2,0.842140302922946
PLP1,0.84104416485776
IRF6,0.838127826504395
ZSCAN9,0.83808229175395
MRAS,0.837691695466394
BCL11A,0.837298839912125
PDE4B,0.836258738643112
TSPAN12,0.835157060660222
NCR3LG1,0.833051613173902
ADGRL3,0.832182077607178
TGFBR3,0.83085997263258
AC112229.3,0.829425819498831
EPB41L4B,0.828743393979801
DBT,0.828077882464479
SBNO1,0.828041076517584
CCDC43,0.826952430792427
GPM6A,0.825096386987659
MYO9A,0.823520452993484
ANKRD12,0.823453233302051
PDGFB,0.822606597581345
TMEM35B,0.82163485237086
FOXN2,0.821378065015098
CELF2,0.82049440783128
PCDH9,0.820210239604941
CELF1,0.819651929596846
BRCA1,0.819211999318321
GRIN2B,0.815674975293783
STOX1,0.814367758842832
TTC39C,0.814367245009607
PRR5L,0.814360336870005
TPCN1,0.81355488728477
TBC1D3K,0.811794072266149
TBC1D3H,0.811565515032379
TBC1D3G,0.811085386448652
CORO2A,0.808734726019004
TET1,0.808038601284598
OSBPL6,0.806464794343973
PDGFRA,0.805314182204727
SPATA6,0.80480716038998
ZNF557,0.804727770989689
DMD,0.804597508882636
ENST00000369130,0.804371062648103
NFXL1,0.802208284334601
LRRC70,0.801901320649466
