Gene,Score
QPCT,0.998415419003137
CAPS2,0.997276709102139
HIPK3,0.995474971230795
ENAH,0.99380993975169
ZNF844,0.993513259556759
POU2F1,0.99246327176562
ASRGL1,0.989080495084139
ZNF763,0.988022239152147
ZNF791,0.98591192109248
ZNF846,0.984252621936121
MED13,0.981426423107781
AC010422.6,0.981348703372889
FRMD4B,0.971843392286212
RAC1,0.971507470951674
RAF1,0.970526475902209
RNF38,0.97018307682488
MPHOSPH9,0.96556669140724
KIF3B,0.965241492827336
CDC73,0.962289449712978
ATP10D,0.956308988598938
ZNF106,0.954885000543497
EIF4G1,0.953226779856334
SNTB2,0.953193958004205
TP63,0.948402179300499
C20orf194,0.94824598788766
TARDBP,0.948088297640409
YME1L1,0.947710420386641
NXF1,0.947326530008097
DOCK9,0.945778408543619
CSNK2A2,0.945579462686725
KMT5B,0.943995137407792
ENST00000558084,0.942087143402953
TAOK1,0.941856475186099
ZFP90,0.94077517402807
PARP16,0.937441526147489
TRIP12,0.936689495947934
HAUS6,0.936144821821719
ZNF700,0.935775277594343
ERCC3,0.935633176337708
CEP350,0.934626008278095
BBS9,0.934035111645621
TENM4,0.933580839328367
ZNF569,0.933419267566954
TNRC6A,0.931535476090352
XPO1,0.930946593790796
ARHGAP32,0.930484637776418
STAT6,0.930069880005297
MEX3D,0.928098097814663
MOB3B,0.926842993902488
GRIN2A,0.926544489528008
SERTAD2,0.926411899911311
LRRC36,0.92528241496683
ABRAXAS2,0.923815327797613
ZNF625-ZNF20,0.923627341142557
ENST00000622502,0.922895462757584
PCGF5,0.92154328264515
GALNT1,0.921474206654221
CTSC,0.921023478508364
MED14,0.920711153625566
ZNF35,0.919616997210219
HIF3A,0.919527720275002
ASB1,0.918190735935916
ZC3HC1,0.917787920505865
ZC3H10,0.917516644221061
ACACA,0.917440509228326
PTPN9,0.912382107864171
PRKAR2A,0.912203831841358
ZNF317,0.912106725617097
MFSD9,0.911052480210004
GAB2,0.911016645579334
FBRS,0.910149180989986
ZNF14,0.909411120515179
OPCML,0.909154079336435
AAK1,0.90889228659004
ZKSCAN8,0.906460230754712
SPDL1,0.906076400431892
LHFPL2,0.906035074747993
TRIM47,0.905514976269831
AGO1,0.905495502803973
MTAP,0.905341721923134
DCUN1D3,0.904757649636178
SLC35F6,0.903830596148128
RTL9,0.901567324716917
ZAR1,0.900269432019805
RAB3C,0.899412245233092
EML4,0.898171517019363
RFX8,0.898015344596298
FAM91A1,0.897354651297132
ARHGAP21,0.895649917853287
AIF1L,0.894545123575796
FGF14,0.894030422714845
KCNC4,0.893580501404106
ADPGK,0.891752426710578
AP002990.1,0.891285612955416
ZNF440,0.890558842086233
GGH,0.890468925873933
EMSY,0.888368863596863
BMF,0.88800879623081
ZNF490,0.887005358726361
ILDR2,0.886581632476364
APLN,0.885280531622679
AGO3,0.882711679606228
LHFPL4,0.881883225064288
ACTG2,0.881771825056922
CSNK1G1,0.881770544079653
AC007040.2,0.881274274394791
FAM135A,0.880283575176154
TNFRSF21,0.880042178723291
BMPR2,0.879706738615466
SLC20A1,0.879114998552729
UNC5D,0.878609400337743
LY6K,0.877938304883866
EDEM3,0.877496105931398
ENST00000558190,0.877300065245976
RBM23,0.877183480589945
SLC5A3,0.876733146534836
TP53INP1,0.876134386954962
MERTK,0.87183964643541
ZNF544,0.87164338340623
TOR2A,0.871376794709359
PURA,0.869831355637742
PER2,0.868638576415689
GALNT5,0.868471713934765
ZNF627,0.866798875172371
MAT2A,0.866271244004475
