Gene,Score
ZNF429,0.999999999229162
MET,0.999925479764849
RAB3C,0.999922591467859
ELMOD1,0.999921232749614
PTPRG,0.99990243173501
FAM49B,0.999777181631608
RAD54L2,0.999736286768939
STMN2,0.99961152787467
CD40LG,0.999572727846465
SOX6,0.999364188954588
ALX4,0.999287660007498
KCTD16,0.999270482226968
CNTNAP1,0.999116763879266
ZZZ3,0.998833743839808
TAOK1,0.998558098938038
CADM2,0.997977503198052
SRSF1,0.995840404284122
ANKS1B,0.995209809853536
RAP1GAP2,0.995021868904412
COL12A1,0.994308678818125
CCNG1,0.993427587461839
STK38L,0.992795423324008
TP53TG3,0.992793429795162
TP53TG3D,0.992774427342154
ATP11C,0.992641036070745
TP53TG3C,0.992628063830584
DYNC1LI1,0.992054568327796
FBXO40,0.991977614669509
LRRC9,0.99163737093281
CDK19,0.991497564361281
MORN4,0.991122217629363
FOXJ2,0.990971130526441
PPIG,0.989895331052607
TENM1,0.989033405752753
G2E3,0.988664987094642
MYF5,0.988645678734513
SELK,0.987453356109769
HOXB8,0.986444213367901
PROX1,0.986402780581661
AMER1,0.986278681677396
GPRIN3,0.98620698098941
PTPN4,0.985604530866187
MARCKS,0.985467179257746
VAMP3,0.985063197016315
NR4A2,0.984990470198872
ELMSAN1,0.98493049638072
ARRDC3,0.98482358923042
MLLT3,0.984126479288877
ACSL1,0.981815040699667
CTTNBP2,0.981557005699444
CNOT4,0.980137214765363
DLL1,0.980023536825876
CLDN8,0.978777422593087
UBE2W,0.978655407655125
RALGPS2,0.978601719955362
CBX5,0.977178134738036
SUCNR1,0.977152851586874
RICTOR,0.976576104117933
NRN1,0.976228779141936
PPP1R12A,0.975536373652412
ADD2,0.974420304861877
MAT2A,0.974377711717679
HNRNPR,0.974111003527693
MAPK1IP1L,0.973802517242269
TP53TG3B,0.973558913743782
TPD52L3,0.973256118125063
SLC25A13,0.973231338578502
PALM2,0.972757104784164
TARSL2,0.972403756703296
INPP4A,0.972167121749823
RHOH,0.97172598861613
ATP8B4,0.970690481377473
FOXP1,0.970426486433638
ZNF536,0.970192799701831
MPEG1,0.9701485735989
SLC8A1,0.970007497022441
POU2F1,0.969829651818031
FAM208A,0.969508798445056
FRK,0.969268036501605
SGCE,0.968566128474361
YWHAZ,0.967338230847751
C8orf37,0.966053334914942
EVI5L,0.965476019720501
LRRC7,0.963444322237113
CAPN6,0.962734678181279
SRGAP1,0.962284864252786
PHF6,0.961624527665052
SOX4,0.960880911317605
TNRC6A,0.959816561159996
PURB,0.959624354413769
DNAJC18,0.959578473546815
TRIM2,0.957651384426887
JAKMIP1,0.957382815134445
NHSL1,0.957303202430911
ZNF44,0.956087804437325
CREB1,0.9546825602362
CEP55,0.95394591905816
CNTN3,0.952678439083202
NTPCR,0.952015760627142
SLC29A1,0.951118337239117
KCNA1,0.948515889375753
PRKAA2,0.948388975307293
IFIT1B,0.947649916254812
PEX26,0.945727291618997
HS3ST3B1,0.945484474945879
CPEB3,0.945463144244038
ZNF286A,0.944595630418762
DMRTC1,0.943691916236212
CALCR,0.941538403893159
ATMIN,0.941393816526462
IGFBP1,0.941285403377928
NOTCH1,0.941279110545308
CELF2,0.940674257242581
ARID1B,0.939314161198013
EFCAB14,0.939301806307327
PDE8A,0.939260554086567
SGMS2,0.937618824409248
FKBP1B,0.937493721677506
ST8SIA3,0.937489586342039
XYLT1,0.936727094011333
G3BP1,0.936521218240254
ARHGAP1,0.935246205687235
TFDP2,0.9346081107985
C4orf45,0.934476344066846
KRT74,0.934027929255305
NUP50,0.93339635519629
CNOT6L,0.932534181204994
EGR2,0.931153516847391
ANGEL1,0.930453510560317
LMAN2L,0.928381459624302
SIX3,0.927990215551535
RIMBP2,0.926325979850977
MYH9,0.924520129728409
EPHA4,0.924305698371826
HGF,0.923957194915861
REL,0.923944354703109
TGFBI,0.923685875217825
MYB,0.921409690441935
BRPF1,0.921228097990501
TMEM167A,0.921100902580251
RFX3,0.919730267915198
SLC17A3,0.919531002018581
ADAM22,0.915912063758137
GPR158,0.915855437141477
ALCAM,0.915746487507871
ANK2,0.915418848923151
ESRRA,0.915026848040042
WASF1,0.914780260217087
ARID4B,0.913887607970658
ZBTB10,0.913319981763032
FGF18,0.910571037581006
KCNMA1,0.910480357157766
ARNT2,0.908704476870706
TARBP2,0.908474665081137
TTLL7,0.908381949284588
MYC,0.90826356085361
AHCYL2,0.908263375181575
SLC39A9,0.908130326774336
NAV3,0.906359013194902
ACVR1C,0.906013411558327
MINA,0.905805088010568
PIK3C2A,0.905763232642799
NCOA4,0.905676353065248
NBPF20,0.904668488475892
C5orf54,0.90319018827351
SLC35D1,0.902869293189708
RP11-514P8.6,0.902566644061812
ESD,0.902416557073656
PCBP4,0.901722471833191
SPTB,0.90147797644366
DGKI,0.901254384175089
DYNLRB1,0.900252776959661
DMRTC1B,0.900032545422218
SLC24A5,0.899708235114039
PTGR1,0.899705774243478
SLC6A14,0.899540348088048
RAB14,0.898808788414187
MAK16,0.898671890847494
DCN,0.898333344155852
RPL7,0.897674636675764
GATA3,0.897574076922818
NUTM2D,0.897319836073642
HN1,0.895845507363473
GRAMD2,0.895222968287731
CALCRL,0.895150756247971
SPOCK2,0.894690585926472
SLITRK4,0.894381279787221
FAM219A,0.893678810715071
MAP3K9,0.892066275734738
ZNRF3,0.891863101708268
MSANTD3-TMEFF1,0.891734696744865
HDGFRP2,0.891195912618904
ILDR2,0.890689114028671
TMEFF1,0.890625460219971
PTPN23,0.890334010440396
ZC3H12B,0.889189910708767
PTP4A2,0.889168345344667
ST8SIA2,0.888754988773866
BRD4,0.887582542409313
ZFYVE26,0.88694623970885
