Gene,Score
SLC9A5,0.999999840427224
HIGD1B,0.999971447457909
PURA,0.99637652402598
AC006994.1,0.991304744730634
B3GALT1,0.990573098146607
YTHDF3,0.990046060481029
HID1,0.977731513665952
AFF3,0.971146086933146
MYF5,0.970810814619343
TRIO,0.967245043881404
SMIM27,0.964099395103956
KHDRBS3,0.962339064330056
CABYR,0.961945984348162
RAPGEF5,0.955749802999003
ERVFRD-1,0.954428751817077
TRIM44,0.954141923394068
SAP30BP,0.953984774953857
NTM,0.953117376068507
CLDN18,0.951941834194734
ADAMTS6,0.951906259766066
REPS1,0.951857321131551
SMG1,0.949960470020908
ENST00000558084,0.945210854420045
GNAI3,0.943291703292265
RFX5,0.9427365158954
FBXW2,0.942285774592955
KCNMA1,0.941821927100384
SYT7,0.937734189129884
TGFBI,0.936447755493716
GLCCI1,0.935609248014464
DIPK2B,0.933751559801106
CTSH,0.931556896730588
SEC24D,0.929749885690718
RAP1B,0.928866176316021
ACTN1,0.925244755127335
HDAC2,0.924605678401363
SETD2,0.924136371904429
BHLHB9,0.923492659059628
GABRR1,0.923383959078968
ENST00000480462,0.923293341780955
DNAI2,0.923143682862853
HECTD1,0.921493810389845
EAF2,0.921218477519045
STARD3,0.920726262651363
PLLP,0.919766270907384
DUOX1,0.918554629981592
RPAP2,0.917252861196412
PKNOX2,0.915062457546604
SCIN,0.914416060425459
GDNF,0.914288518960806
HSD17B7,0.913127861061358
SOGA1,0.913065804923484
DNMT1,0.912988330191972
CXXC4,0.912955409527553
CNTFR,0.912506509895553
DEGS1,0.911562789677589
HNRNPUL1,0.91051063892993
MTF2,0.90905047866644
OLFM3,0.908794788622325
POU2F1,0.908106495205098
DHX38,0.908063909492056
EVC2,0.90798564481876
NKD2,0.906455714406758
HAL,0.906411377235406
ENST00000610431,0.905855263125423
KLHL7,0.905440879946811
MYO18B,0.904333415975916
PRDM6,0.903271123988453
KCNJ6,0.902904256175765
ZC3H14,0.902653987187589
FAM155B,0.901442936956603
SRGAP1,0.900912088247583
SHISA7,0.900048249923957
SIK2,0.89983108936939
GPR158,0.899657768948544
ERC1,0.899160650535247
PGM3,0.897814455122972
LPA,0.897486417654172
SMAD2,0.896966443697042
FCAMR,0.896593602002399
EPSTI1,0.895477235110096
FAM186B,0.895466060903686
TNRC6A,0.895420263375364
UBE2I,0.893953123947473
ALG12,0.890347020395233
ERCC6,0.890150577584437
DNAJC15,0.889938706088764
MDM2,0.887804532544704
SYT9,0.887343945989527
SYNJ2,0.886432397407276
ROBO4,0.883006066355353
ENST00000558190,0.881886300517335
PSD3,0.879743484154331
ANTXR2,0.879396814225723
PTK2,0.877043563531965
NFASC,0.87538480469818
ZNF609,0.875368578658857
LRP10,0.87521939697798
MUC15,0.874212906474206
C2orf73,0.873169231479221
B4GALNT1,0.872942038486884
MYO18A,0.872562397996721
ATXN2L,0.87210974813754
ITSN1,0.871849033710672
AC007546.3,0.87184493197301
CRAT,0.871644106023582
MOGAT2,0.871587068289753
SIGMAR1,0.871270343408401
RBMX,0.869969270888887
XPR1,0.869522351712428
ENST00000621003,0.869475084245714
NCR3LG1,0.868427351104433
SIRPA,0.867508912495095
ZNF142,0.866096420598501
FDFT1,0.865147943052277
CASZ1,0.863677253617338
ZFP36L2,0.861613079743195
EYA1,0.860486605371976
HUWE1,0.859918013152934
SVIL,0.85964136382301
ZNF19,0.859466260779501
TYW1,0.858114664736038
AFF2,0.857626328215571
TSR1,0.85749679640864
NHS,0.856807943293802
EFNA5,0.856390551277267
RPS6KA1,0.855506428628105
NEDD4,0.854351695416986
OGN,0.853960846573637
ZNF480,0.853493821252018
TMEM63C,0.853090998032277
ONECUT2,0.852677791615453
CPNE6,0.852526120881204
KLRD1,0.852200989544688
DDX19A,0.851927789462437
CREB3L2,0.851714201904901
SLC30A3,0.851352756304114
RNF128,0.851199467774941
TJAP1,0.850938218741922
ZNF827,0.850427439221778
WFDC5,0.850238864475867
STRADA,0.849923440404323
RBBP6,0.848097659087585
NECTIN4,0.847026408814718
GJA3,0.846429987748552
DNAL1,0.846384765043915
DSG4,0.845736533757438
PPARA,0.845633506867756
AMDHD1,0.845533863621788
PTPRD,0.844868812705843
SS18,0.844703216591289
GRIN1,0.844031374386522
CADM4,0.843823487060537
DNPEP,0.842725686496566
KCNH6,0.841957811637999
ABCA2,0.841534509943749
MUC21,0.841355660902109
CHST12,0.840114180100599
TRMT13,0.839969633315473
UBAP2,0.839964435925637
TMEM65,0.83973995560074
ZRANB3,0.839675314394182
STMN2,0.839451370915315
DAPK1,0.839353652530902
MUC22,0.839301348504857
SLC24A2,0.839105601520654
RUVBL2,0.838045582415124
CBFB,0.837271891915788
RCAN2,0.837111565268329
MRPL42,0.836830511943648
DERL2,0.836434789119181
BTBD9,0.835908216735492
MXRA7,0.835207225706614
MIS18BP1,0.834998047175934
ZNF576,0.834403570668291
MED1,0.834142966320722
ZFP36L1,0.833922932449097
REEP3,0.833351271938719
SLC22A9,0.832955985799841
ENG,0.832866309188306
DFFA,0.832699689792904
NAA30,0.832335969818265
DHX57,0.83212803863218
SYS1-DBNDD2,0.831958323745685
NOVA2,0.831606116075085
GNG13,0.831380387642212
PSD4,0.83062237013186
LY6K,0.828750301479531
STK3,0.827990354480571
TP73,0.827660904773116
CCDC198,0.827459576249461
EMC8,0.826937809253782
SPRYD4,0.826883107581123
RAB11FIP1,0.826810941576794
KMT2E,0.826118181954965
ENST00000468418,0.82516732326664
ARF6,0.824580924994623
VPS25,0.823644229734473
AAK1,0.823643027240711
GGN,0.823032060924918
SAMD4B,0.822990805880928
LSM12,0.82279373167992
MAPRE2,0.822764276136125
POU3F2,0.822118450792937
ZNF773,0.822041528848239
HHLA3,0.821633477820731
GDAP2,0.821137302585713
LRRK1,0.820870069170287
IFIT2,0.820493390730419
TMPRSS11A,0.820194883853922
CMC4,0.819937597179792
PDCD2,0.819829406833105
PRDM15,0.819402882555636
GABBR1,0.818092687060343
UBA3,0.817943069298204
MTAP,0.816795159152506
SNX1,0.815994686196053
XIRP1,0.815706139884484
IL10RA,0.815575980282268
ZNF704,0.81548879946299
GRIN2B,0.81545754693582
AC091551.1,0.815365854460756
BARD1,0.814771566604653
ST8SIA4,0.8144843149314
SLC22A25,0.814375766405659
RBMY1A1,0.814085303330416
AC008758.1,0.813927778417061
RBMY1B,0.813905441562976
RBM41,0.81363991034428
INTS7,0.812991904989839
H2BW2,0.812634576124081
ARMCX2,0.812491569926315
RBMY1E,0.811361420113489
ANKRD52,0.81119898992442
RNF165,0.810607103852063
OPCML,0.81060072996029
KPNA4,0.810582120415666
PNMA2,0.810517303899157
KLHL21,0.810191553644196
DHX30,0.810173942986123
ABCC8,0.809715265040009
HECW1,0.80965103527369
CFLAR,0.808317242155274
SOD2,0.807930431715791
IGFBP1,0.80762237694944
E4F1,0.807144429048807
COG6,0.806802439008056
KANSL3,0.806770840213477
MED13L,0.805926835751789
C4orf47,0.805265218134998
DEPDC5,0.804889355728118
KIR3DX1,0.804655009480151
MCCC1,0.80461310037472
INO80C,0.803871990357335
CSF1,0.803702063634216
AKIP1,0.80368171097226
PKP4,0.8030224591989
VWA5B1,0.802881699144556
UNC5A,0.80284220271344
AL360294.1,0.802502896695219
PRPF40A,0.802350916847202
LETM2,0.802120931997179
FOXA3,0.800310909462205
