Gene,Score
TMEM212,0.990485298619162
SPDYE3,0.987754017866841
ELAC1,0.97929822582862
HNRNPM,0.976733523090084
RORA,0.975691851691654
SLC8A1,0.974971800833019
DNAJC10,0.974117056631194
AL121594.1,0.968415064946122
C6orf47,0.963371187884477
ZNF37A,0.962792085549019
SLC4A4,0.960978349741908
UBA1,0.959836368998327
CHD6,0.956435922538469
CNTNAP2,0.956349128709913
DACH1,0.955756985394169
SMARCA1,0.955207927254032
PRDM5,0.952981987823786
MAP3K2,0.951460000355702
MTF1,0.949112980324216
UBE2H,0.948734015450788
SEC23B,0.947940706695774
ENST00000574641,0.945399727149265
SPDYE5,0.94522859566118
LCLAT1,0.941886892501565
GNAI1,0.941820138548249
ZBTB41,0.937167601571278
SLC35A5,0.93423193235649
ZNF451,0.932220226089445
BEND7,0.929908981042159
AL023806.3,0.929603758917318
SPDYE16,0.928970500973818
ENST00000612396,0.928641029948142
RAP1B,0.920189077166983
SPDYE1,0.919089406098025
DNAH10,0.916788942856
NCKAP1L,0.915216412883983
GFRA1,0.914892764902552
BRWD3,0.912064063541177
NPFFR1,0.909891419579137
SLC9A9,0.909803394292698
CMBL,0.906562834745041
LRRC29,0.906140010881309
ACVR1,0.903261235852726
CTSS,0.902582965439842
RASSF5,0.89967138952296
MTHFD1,0.898479941113468
FKTN,0.896687727295442
ZNF571,0.896301520775979
SRPX2,0.894792749509078
ENST00000523944,0.894627994802321
CCDC66,0.890888888798929
KNL1,0.889315793405571
MGAT4C,0.888377767606634
SORCS1,0.885775390702066
MYO1E,0.885764116237473
PDE11A,0.885272095902648
AK4,0.882615169079077
ILDR2,0.882502797695217
KIAA0586,0.880898267215297
MBOAT2,0.878551894602923
ARPC2,0.877291970875971
ARHGEF38,0.877281832531068
PTAR1,0.877171814021138
TMED5,0.876745220020488
FZD3,0.875947443071424
APC,0.873852482472766
INO80D,0.873570459180453
PTPN3,0.872584448270152
SYT10,0.871930974125762
NUDCD1,0.871873937289151
EBF2,0.870640280308003
CCNG2,0.867901263719839
ENST00000622074,0.864767454515389
PRLR,0.863873193463457
WDR75,0.863786649481581
SPRYD4,0.863072968611775
USP50,0.861233453342521
ZKSCAN3,0.860704882709214
ACOT11,0.859944992823142
TXNL1,0.857525981713229
TMEM184C,0.856788047275543
STPG2,0.855880003776817
ATG3,0.855308608053731
PDE4D,0.85519805992232
CDCP1,0.851408124686854
THAP9,0.850852409192093
TMEM19,0.850594324731236
SRSF10,0.84629412706894
ENTPD5,0.845485260511542
KCNJ6,0.844754408052669
SPIN3,0.843403072052257
FMN1,0.843155911151587
USP9X,0.842739943165476
TBC1D32,0.842049246583063
PSMC2,0.841550588023884
SIK2,0.840533642679759
PDP2,0.839294062204422
CHST9,0.839247488907878
NECAB1,0.839031306086101
RALGAPA1,0.839006292202919
RGPD2,0.838684819575064
WBP11,0.837898328888299
MGLL,0.836890062530045
FRG2B,0.836820349266764
NRK,0.836404502137895
PIAS1,0.836351251859689
CSE1L,0.835918730681918
CSF2RA,0.835436992153829
EXOG,0.834711318466905
COL26A1,0.834708506456308
FBXO3,0.834647777837368
HIBADH,0.834391311211655
AGO2,0.834287903666565
MPZL2,0.833826977198316
TMBIM1,0.832375789184646
DEFA4,0.832312428392243
BMPR2,0.832283019704258
CABYR,0.832212416260344
SLITRK3,0.831316101278037
KRTAP1-1,0.831088296514548
INSIG2,0.829830030003569
CBL,0.829157373507406
DTD1,0.828233034131774
PFKFB3,0.827928419294869
TPX2,0.827245259463574
DLEC1,0.827092386126568
GMFB,0.82627931965551
TMPRSS11A,0.823473901984739
INSL4,0.822997052884829
TM6SF1,0.822875275822183
ZBTB37,0.822824914105992
AGXT2,0.821994723895523
ASAH2,0.821660247600333
ADAMDEC1,0.82050098783786
KDM6A,0.819361137248981
UBE2W,0.818094334906616
LRRK2,0.817811117442725
GAS1,0.817493058997422
PTPRT,0.817371925495837
CIP2A,0.817364863016014
STRADB,0.815458568735133
FAM217B,0.814632581981082
DDX52,0.814347771117121
MAPK8,0.813438926676811
ATF7IP,0.81319105173703
TREML1,0.813054477656651
PI15,0.812749692553781
SRGAP1,0.810125216808608
ENPP4,0.809735828708563
MLF1,0.808977053942177
TEX13D,0.807049972754742
GPR34,0.806571926059391
CSTB,0.805656761691615
RNF169,0.805499360399713
PIEZO2,0.80501900499786
ZNF23,0.804866668576535
ATG12,0.804074416151257
NTPCR,0.802941367932902
ADAM28,0.80241892166326
HARS2,0.802084653081
PUM1,0.801684321195801
AC026786.1,0.801371346537401
ENST00000631802,0.801202516416158
PROX1,0.800234870169571
KCNMA1,0.800137398265818
