Gene,Score
RC3H2,0.999361105314607
ZNF430,0.99794523050843
XPO1,0.99728933515687
CREB5,0.997273661697135
C12orf36,0.997113540778728
LPPR1,0.996931164805377
ADAMTS6,0.996802146492126
ZBTB37,0.996332803081039
TGOLN2,0.995572375025499
HELZ,0.995314373708852
ENAH,0.994927993105933
GSPT1,0.994809275926496
ZNF117,0.994245371924497
EBF2,0.993107633481962
BVES,0.992978041987433
BX255923.1,0.992804158484818
RAP1A,0.992198373368853
MSI2,0.991652038515263
QKI,0.991044566463061
MMP16,0.990866961604841
ONECUT2,0.990599749034366
ABI2,0.990265863788747
CDK13,0.990193203675728
CDK6,0.990085135749785
TMEM47,0.990082993284564
PLXNC1,0.989810910277518
ARMCX2,0.989578064863144
METTL10,0.989541703601513
GMCL1,0.989516725743861
ZBTB21,0.988410623383126
BHLHE41,0.988058797207289
CPD,0.987508346255765
BMPR1A,0.987336831051869
CAPRIN1,0.987292175125284
PCDHA2,0.986957302335173
PCDHA5,0.986943851509136
PCDHA6,0.986857881388425
PCDHA13,0.986777939857926
PCDHA10,0.986767923955889
PCDHA7,0.986761252705516
PCDHA1,0.986748811498263
PCDHAC2,0.986706947585174
PCDHA12,0.986696605390903
PCDHAC1,0.986576206631579
PCDHA11,0.986551775845618
PCDHA8,0.986548931017667
PCDHA3,0.986511707803895
PCDHA4,0.986369573310529
C1orf95,0.986043911715978
TMEM255A,0.985819363081159
GTF2A1,0.985554609111963
LMO3,0.985512156712165
TPM3,0.984916266877056
DHX15,0.984529214885362
TMEM106B,0.98300532203653
ARF1,0.9829740584731
SUGT1,0.982870801118833
ARPP19,0.98210843123692
MIB1,0.981601674190122
RBFOX2,0.981180620926402
ESRRG,0.980912844451634
HLTF,0.980834351892986
TNRC6B,0.98082686193646
HSPH1,0.980668167861604
RGS9BP,0.980248820447395
PBX3,0.97999985730756
PCDH19,0.979694869421732
GLIS3,0.979384041376771
PDLIM5,0.979334910121427
BRWD3,0.978871232274761
AK4,0.978650457304379
YOD1,0.977634170565233
CNKSR2,0.977528639311611
RBMS2,0.97640528447934
NFIA,0.976277661721412
ZFHX3,0.975776433842652
COPS2,0.975089484470617
IRF6,0.974878777076224
UBE2D3,0.974768155031637
TNKS2,0.974637653670373
LIMCH1,0.974136569479859
PARP8,0.974003994747079
HOXA5,0.97383152860893
MXD1,0.973574167735574
MAP3K7,0.973258723624884
NIN,0.972997993390021
NFATC2IP,0.97272292723469
PPP1R12B,0.972701096265347
SLC5A3,0.97254802851741
FAM199X,0.972230538723754
BLCAP,0.972010634636835
POLR1B,0.971788962573355
GCG,0.971751299140558
SLC5A3,0.971669362677611
FOXP2,0.971293953514925
PPP4R1,0.970752274960993
RIT1,0.970338568491005
NFATC3,0.970276416456759
ADAL,0.969676914975144
PHF1,0.969563014100267
RAB11A,0.968783766414789
SREK1,0.968613937190966
ZFP91,0.968577186780212
SECISBP2L,0.968540129598215
TSC1,0.968506361296448
NUFIP2,0.968210474190536
TRAPPC8,0.968133603768086
DNAJC10,0.967695359175736
ABHD13,0.967377002218562
HNRNPF,0.967359984240959
TRAPPC2L,0.967190003671977
HECTD2,0.967142421442292
NR3C1,0.966924538805388
ZHX1,0.966630836669783
ATG2B,0.96617665320138
ZNF708,0.966116491598168
MAPK1IP1L,0.965992886243468
ALKBH5,0.965893855231138
NAT1,0.965831837376473
MSRB3,0.965818908263531
RAB18,0.965494763394783
HIVEP2,0.965474601544574
SPOPL,0.965157615795854
LHFPL3,0.965034463717511
ELL2,0.9645525957345
FAM160B1,0.964424719971685
KITLG,0.964268646082878
CBX5,0.963958841555766
CEP120,0.963745263802197
PPP2R2C,0.963571860935059
PRCP,0.96356776283704
RPA3-AS1,0.963454548962765
CBWD3,0.963168645623586
AP3M1,0.96259929620567
RAB3GAP2,0.962211200455344
PNN,0.962145807691724
CBWD1,0.961986136992664
CUX1,0.960729710939677
RAD9A,0.960123261781985
SMURF2,0.960004846317339
FAM63B,0.95999895508344
CREB3L2,0.959970659085606
TROVE2,0.958968519699206
LCOR,0.958916280638394
SASH1,0.958692314326606
ZNF281,0.958679995269843
E2F7,0.958093923571462
FAM188A,0.958001422266205
MLLT3,0.957891678324587
IL6ST,0.957852304990624
ARFIP1,0.956966125312772
CD47,0.956714695045532
AC012123.1,0.956217584065254
CHIC1,0.955757399773316
MAP7,0.955521054084949
KPNB1,0.955476011485056
ARL8B,0.955468037613603
FEM1B,0.955449067339069
CNOT6,0.955308828754217
EXO1,0.955252130734911
SLC9A2,0.955194299880773
NXT2,0.95489890725174
IGF1R,0.954878979993091
NCDN,0.954124884008795
KIAA1958,0.954124117740822
ZC3H12C,0.954060407853293
FAM155A,0.953760020731101
TRIM52,0.953709591086654
N4BP1,0.953185776348894
ARHGAP5,0.953160866429398
RBPJ,0.953156642604453
MIER3,0.953107249839034
SOD2,0.952758858756207
EIF4E3,0.952748641524243
DNER,0.952673650630668
KDSR,0.952622953862254
SRSF7,0.951915755819407
ATL3,0.951628874764192
EFS,0.951476491066363
ATXN1,0.951216483363911
IRAK3,0.950945616599739
EMB,0.950642596761396
PAN3,0.950611784509367
GRIN2B,0.950358301991851
TBC1D9,0.94994467249732
REEP3,0.949716755661789
SLC6A6,0.949585527006544
RP11-293I14.2,0.949559706003675
NUCKS1,0.949459427518386
MAPK1,0.948620209409794
SH3GLB1,0.948019419705463
NPAS2,0.947986968989889
BHLHE40,0.947971369055028
AFF4,0.946968178076063
NABP1,0.946741657444629
TANC2,0.946448499592986
ZNF207,0.946097335419206
FAM69B,0.945719331052221
PCNP,0.945665903576365
MIER1,0.945643517219148
RC3H1,0.945610659032829
VPS39,0.945456317153781
MAST4,0.945184494837423
TOX,0.945017221587944
BNC1,0.945005829076555
MLF1,0.944957052999475
BMP2K,0.944938229627998
MRPL35,0.944915393433477
KIAA1671,0.94469730368449
INO80D,0.944632359046939
TTC14,0.944349509897603
KCNS3,0.944269207300091
BMI1,0.944059930420734
MAP1B,0.943644957532879
TDG,0.942780245555583
IPO7,0.942693902142058
SEMA3A,0.942509311360172
NR3C2,0.942434878872239
FST,0.942416380561822
SFT2D2,0.9416284216953
MAT2A,0.941542874673359
E2F3,0.941482631315751
KDM7A,0.941123756084684
CBL,0.940599414077031
SESN3,0.940587853589968
RUNX2,0.939758241688377
TNIK,0.93959477560541
GOLPH3L,0.939391735639519
