Gene,Score
BCL11B,0.999548989113841
GRIK2,0.999440899578845
FLRT2,0.998818781125942
HIF1A,0.998699868797789
ZNF124,0.997978983386597
LHX6,0.996325873849672
ZC3H14,0.993541275988628
AHCTF1,0.992587765141071
CT47A3,0.989512603283764
CT47A2,0.989498568970895
CT47A10,0.989491546110396
CT47A9,0.989449329001437
CT47A6,0.989414043230612
CNGA2,0.988864688278914
SMAD2,0.988748227953317
AGBL3,0.988092956897031
G6PC2,0.987003004278491
IPO7,0.985550425555107
LIN54,0.984456998223108
AL049697.1,0.983724377569627
TRAPPC8,0.983599784404921
AKAP6,0.983559650491434
CT47A11,0.982947889449125
CT47A1,0.982792081398489
CCDC62,0.98149845550385
OTP,0.979662192443417
CPSF6,0.978786214281884
CT47A7,0.976416246086401
MTAP,0.97638241867093
FRK,0.972732958883175
PAQR3,0.97263877873534
FKBP1A,0.972556275568274
ECT2,0.972190294296554
CCNL1,0.97187021704113
CT47A4,0.971225607187467
TMEM106B,0.968841634924142
MGAT4C,0.968430320210228
AKAP5,0.96818223451041
AL772284.2,0.967942494047837
HSCB,0.967814021355063
SULF1,0.966541516091714
UBE2Q2,0.966061468291045
TNRC6A,0.96470352361371
SPTY2D1,0.964214889085059
MS4A14,0.963423546181695
ACVR2B,0.963307130816283
DHX57,0.962273726320929
KMT2A,0.961059836766068
ABCB10,0.960376310584383
CT47B1,0.959911858409055
MAGED1,0.959313087986058
PRKAA1,0.959290421859053
ARID4B,0.958198617896841
ADAM22,0.955379985976736
FAM76B,0.955332925396863
NEGR1,0.955061390239725
STEAP2,0.954398164891899
NCR3LG1,0.954244470888908
KLHL28,0.951747248462275
VASH2,0.951740225871118
PGGT1B,0.950699342075348
PURA,0.950405703080461
SMC4,0.949284771145122
CPEB2,0.948830337268295
PDE10A,0.947607436716293
RAD9B,0.947388436283905
REV3L,0.947018080716823
ELF2,0.946930983229248
PLEKHG1,0.945868555666915
CBX3,0.945701261971717
STC1,0.944265042191766
NFIB,0.944247314470825
EML6,0.943910693969953
ZDHHC21,0.941896058227605
SPRED1,0.94138604953135
USP15,0.941091306532284
ZNF26,0.940161070860125
RNF138,0.939872770222994
UNC80,0.939540728327705
ROR1,0.939369565760781
TFRC,0.938955783130148
DCUN1D1,0.938089137664865
PNPT1,0.937099244391235
FKBP1C,0.936552411884441
ASAP1,0.935862059103838
CDCA7,0.935818375931137
TRPC5,0.932223744209578
SAMD12,0.931971317815279
DNTT,0.931220821105287
ENST00000408967,0.930906439897069
PIK3R1,0.930823212949817
AC008162.2,0.930553689516371
DAPP1,0.930304800375594
C11orf87,0.929676129747967
SP3,0.929670634380651
RPS6KA3,0.928027316967632
DLD,0.927942826775676
FST,0.926555767001457
TPR,0.926483277099119
PURB,0.925286057813092
NEDD4,0.925121330934556
NBEA,0.924597173597046
YWHAZ,0.924460216419384
FGF13,0.923860617955752
ATXN7,0.923792421187321
TMEM170B,0.922128323725643
NFAT5,0.922097037371524
AP5M1,0.921595824687087
AC135178.3,0.921520460213804
BRCC3,0.921168599613831
FLNA,0.920863906254494
NUCKS1,0.919706268171797
TMED5,0.919233027645594
TRIP12,0.918908522237903
CHRM3,0.918290706378924
GABRB3,0.918221543223666
GNAI3,0.917517299944648
PCDH9,0.917089399686619
GLUL,0.916954764854683
CUL4B,0.916501292875551
ZNF148,0.915131897124948
ZMYND11,0.914951453105551
ENST00000426016,0.914522756518255
PMEPA1,0.913991431766226
FLG2,0.913954336487437
HIGD1A,0.912561293814526
ENST00000616098,0.911571543349527
PRKAR2B,0.910656176258223
TIPARP,0.910420697325374
ATRX,0.909477364965083
FNDC3A,0.909031680869029
TAOK1,0.908699684236088
STX2,0.908649914191872
CLOCK,0.908159573202559
WDR72,0.907848554585327
UBE2W,0.907708851362614
PICALM,0.905408212837688
AKAP9,0.905015694689795
TAF4B,0.903181610898381
AKNAD1,0.902796029203252
CLVS2,0.902705201888669
BNC1,0.902279901546392
ENST00000416816,0.902260168827867
PRKN,0.902181038503351
PPP1R3A,0.901065570915136
DDX50,0.899308969934445
RPS6KA6,0.899167034862177
YBX1,0.89909681222081
OGN,0.899090354182016
RBPJ,0.89748996931075
TNRC6B,0.897489260996035
BLOC1S5-TXNDC5,0.896591125009936
SPTBN1,0.895735147478755
ZNF462,0.895670921592184
FAM83C,0.895448927954252
MMAB,0.895291132403987
IPO5,0.895049573399243
SASH1,0.894970563650418
POPDC2,0.894854276537825
TYW1,0.894304380813278
PLEKHA8,0.894279044631593
BEND2,0.893888917718795
KLRD1,0.889371838440894
FSTL1,0.889117887624865
AGO3,0.888806446792797
CAPRIN2,0.887381577957199
HAS3,0.887284757413318
