Gene,Score
CASZ1,0.999476908913441
PSIP1,0.999108216408742
HM13,0.998070024127051
USP50,0.997921982577919
GSE1,0.99690763130316
HIP1,0.995637064523199
MTMR4,0.995339266310658
CECR2,0.993887472296579
ZBTB37,0.99337209903272
PPP6C,0.993201012411223
RARS1,0.992679260445182
DPYSL5,0.992451992585948
CITED2,0.99180384796322
KPNA4,0.991790221560356
SPRED1,0.989695653206037
ITGA1,0.989548430855013
TCERG1,0.988223615857003
LONRF2,0.988212523613383
TLE1,0.98790080005728
ENST00000367895,0.986274294086577
DUSP4,0.985751111118084
FAM83D,0.985025741588093
EIF3A,0.983353546337396
GNAI3,0.980714603603776
IDE,0.980501472089662
AKIRIN1,0.980189577019586
DDX53,0.979550360178146
TBC1D28,0.979188881797732
ACSS3,0.978985943141781
CALD1,0.978832548514608
BBX,0.977764300864535
INHBA,0.977727364448278
UBTF,0.976967310667935
CUL3,0.976326234755627
SRGAP3,0.97603861189352
ZNF207,0.975352523258757
CNIH1,0.974584255417079
COQ7,0.974440525707217
C3orf70,0.973354473643476
ZNF148,0.972126541441531
HIKESHI,0.971914128834939
CLRN1,0.971877604112168
AL024498.2,0.970444212745448
SOX11,0.970376212981069
MBD6,0.970317116205177
IKZF2,0.968224941634777
IFT43,0.96732462738232
YAE1,0.967299032717528
DNAH6,0.966157357776514
NPAT,0.965602560386919
STRN,0.965133386921141
EPS15,0.963792115483571
OLFML2A,0.963763192383316
STAMBP,0.962405835444647
SLC30A7,0.961840674964497
ZPLD1,0.958895666616846
ATP8A1,0.957254907368168
MIER1,0.956393436898337
SRSF2,0.956323412349025
MGAT4C,0.955866983548239
IMPA1,0.955527717370219
POU3F1,0.954545235329578
BMPR2,0.954070532035085
FAT3,0.95311897973693
DNAJB14,0.952623812172524
AL135905.2,0.952325391157057
ARID4B,0.950959194164175
PRELID2,0.950337663446092
KMT2D,0.94970658081965
ZIC4,0.948373140740429
FBXW7,0.945486234149556
NCBP1,0.94454359086651
ZNF891,0.942810370155013
PGR,0.942570090950406
SSR3,0.941786653014434
FBXW11,0.940497358801032
RNF180,0.93990003391861
ZBTB44,0.939598595271956
PER3,0.939445787611199
SOWAHB,0.939323450766077
MATN1,0.9385258276982
TMEM98,0.937364911248068
LRRTM2,0.936202585032742
C22orf39,0.935849133366865
NR3C2,0.93525107199961
JARID2,0.934083532367381
IGF2BP1,0.933166097131331
ATP2A2,0.932813454634185
CHST12,0.932579253124157
ENAH,0.930415312742546
VPS13A,0.92961665044664
ITSN1,0.928312227725184
DDI2,0.928156251754867
NR4A3,0.926739177506981
PWP2,0.926653674739351
TRIP12,0.925666162831383
STOML1,0.925093955884495
PDIK1L,0.924986018170504
CNOT6,0.92356738850728
TOR1AIP2,0.922939158091107
DOLPP1,0.92280552923263
CD3G,0.922697763774599
SETD7,0.922329130357753
ING1,0.922009723222199
KLHL20,0.921475828711809
SESN1,0.919930256755128
VSNL1,0.919223310673501
HEY1,0.919060228005407
RANBP2,0.918681631361069
PKM,0.918593253972839
ATG4C,0.915825750218548
NFIB,0.915287803234151
GLI2,0.9127096013038
PRKX,0.91209926977813
GPR85,0.911688535306553
AARSD1,0.911196941556369
PDE7B,0.910271935017836
SARNP,0.909703384552925
BACH2,0.907924121461679
EXOG,0.906805413149771
KATNA1,0.906435798148462
PLEKHA2,0.906283921704506
ABL2,0.905881960273117
MINAR1,0.905290940901023
RGS22,0.903151314445119
AGAP1,0.902622070621013
ZNF536,0.902048423666598
TECPR2,0.900955521597264
SLC5A3,0.899046433015617
NEGR1,0.898820691040522
PTBP2,0.897858786269338
MEF2A,0.896645911107842
SRSF3,0.894636626700786
GNAI2,0.892063782355343
SPPL2A,0.891265971400805
PPP1R15B,0.891120311282188
SAXO1,0.891043922965026
SLC12A2,0.890600552310558
ZNF112,0.890522430995163
