Gene,Score
TNPO1,0.988953802570705
ZNF382,0.984701840180572
MRPS21,0.978495670869969
IKZF2,0.963927970486512
MBD6,0.958815862125889
KMT2D,0.9567677903687
NLGN2,0.953529015179101
Z83844.1,0.947253416252801
MCTP2,0.93916979053206
AMER3,0.937715403267608
DLEC1,0.927748645775228
FAM107A,0.925924487132111
CACNB2,0.922707447821653
CADM3,0.922085103329812
RANBP9,0.921918237640307
PPWD1,0.921229692252433
IL18,0.919989473057441
HAO1,0.91703496982392
ENST00000546136,0.916362711361515
ZNF716,0.912258961690573
OS9,0.904553220681794
LIN7A,0.902587190159042
H3C8,0.900700465805921
OSBPL9,0.898775323129202
SLC1A2,0.89810038737521
NCR3LG1,0.896186319902048
TEX9,0.88895920237533
PIGB,0.888791153283948
VAPA,0.887154926798702
CNGB3,0.885980122533339
NOM1,0.885930746395554
PDE4DIP,0.885367542179604
ZNF229,0.882968746389296
ULBP1,0.882683990614565
AP000812.5,0.881194438593554
ZNF706,0.879990557002476
RPAP2,0.878894529178625
PCMTD1,0.876782703823206
PTPRM,0.875915309778897
C2orf91,0.875715007363335
USP15,0.875220563990577
PIGF,0.872471721250018
ASB3,0.871320836870562
TRIOBP,0.868533008938587
EIF2S1,0.866544877723267
USP8,0.866451778161892
CASQ2,0.86620561619024
NCMAP,0.86501306387354
CEACAM6,0.86451385122509
COPS4,0.86309143330473
PFDN6,0.860260077394933
URGCP-MRPS24,0.859254651175207
RPL15,0.858520745755768
CDC42BPG,0.852502559325522
IGF2,0.850985933036906
FGD1,0.850713250430045
TRAK1,0.849482096327176
RBM24,0.849100270159385
AP1S2,0.847005034262897
NUDT10,0.845452567798962
LRMDA,0.845109861295964
GRIN2B,0.844270905394547
KRT12,0.844012435594097
ZCCHC9,0.840528562373654
RHAG,0.840002004188084
ENST00000378004,0.83886865663837
ANKIB1,0.837948910532705
SNX13,0.837185216224501
SPHKAP,0.837046995960435
NPM1,0.83640874916182
ATP2B2,0.8324998595522
PTCD2,0.832357386523334
AIG1,0.831683060762184
NPNT,0.831202977113974
CYSLTR2,0.828696897458134
PURG,0.827185334634259
RPS6KA6,0.825443868268428
ENKUR,0.824583725732145
KIAA1328,0.823817643085121
ZNF429,0.823764932446324
TMEM178B,0.820460911739806
DIAPH2,0.819640964326743
ABCD2,0.817416363830898
ADAMTS3,0.817010498827106
APTX,0.81570104176688
INTS6,0.813334988273262
ANKRD46,0.812840467641512
FAM71B,0.811429425095711
CTRC,0.810476398379276
RTL8B,0.810260488368981
ENST00000611416,0.809785031024077
CBX2,0.80817879698343
ERVW-1,0.807729827572985
ENST00000612180,0.803119347910451
TYRO3,0.80308420840148
DOCK5,0.801782913109774
PKNOX1,0.801092895463718
NRBP1,0.800845337266252
CACNA2D2,0.800343292621056
