Gene,Score
ACBD3,0.99954886974837
RORA,0.999453490853509
ZNF773,0.996496324397696
DCP2,0.99610519988749
AC024257.1,0.994935510629954
SMNDC1,0.99091765122743
SPDYE1,0.990698129409742
RGL1,0.988814021956629
PTPN12,0.987186574150752
BACH2,0.985361702900116
UBE2E3,0.981896574505316
BCL11B,0.981824096691266
FHDC1,0.981506216086042
KCMF1,0.979060687804661
TIFAB,0.976356030929884
PTEN,0.976182211782712
MBNL3,0.973274714839069
NELL2,0.973096321031466
TMEM229A,0.971503017297109
LCOR,0.970049555402788
DICER1,0.969987800715174
CCNA2,0.969888081441108
PPP1CB,0.969280335282597
C1orf115,0.968838019793113
TMEM161B,0.968114638024535
NCR3LG1,0.967323070314672
ZDHHC21,0.96722022734546
CHL1,0.966984883331852
AMMECR1,0.966971440264347
ZEB2,0.966111437965994
GPM6B,0.964772599199512
CASK,0.964409169430794
ANKRD50,0.964317791215628
SNAPC3,0.964058471374376
EIF2AK2,0.96331793864275
CHD8,0.961706804545873
CCDC144NL,0.96127779900723
LRRD1,0.960986953556139
KLHL24,0.959975496504693
GRIN2B,0.959431860752723
DERA,0.957927829974169
SIN3A,0.957441590230187
MPRIP,0.95730607167997
HNRNPA2B1,0.955670772151833
KPNA5,0.955539743546794
PTAR1,0.955450923362348
FAM63B,0.953179493057931
AMER2,0.952554806217072
GCH1,0.951335922098901
ZNF362,0.951099441338948
SUGT1,0.949067558980496
IQCH,0.948945062249358
EHBP1,0.943915588957996
CELF2,0.943808362671034
EXOC5,0.943428364004212
YAP1,0.943315939877843
IRS2,0.941948597775318
DSCAM,0.941583161501159
MORC3,0.940988449604811
FRYL,0.940910804434029
RORB,0.939817284352033
MIER1,0.939448475274874
PSMA8,0.938170877467388
GUCY1A2,0.937774393396213
GCFC2,0.93753850615883
LHX9,0.936993813673692
TCERG1,0.934642857190626
SEC23A,0.933731836492899
SIGLEC14,0.933381777221365
ZFX,0.932283227185727
ABI2,0.931616798947503
GPATCH2L,0.931105647960083
LPP,0.930069834783155
PABPC5,0.929108259310073
ABHD17B,0.9270824596907
GPM6A,0.925353369516264
HHIP,0.923238856057665
PLXDC2,0.922464282945562
MSR1,0.919660184064171
PLXNC1,0.919498354049507
TMEM260,0.919464591842281
PGR,0.919428622989981
MMP16,0.917997721377377
UGT3A1,0.916769933594534
GNG12,0.915884931715513
FZD5,0.915053630232765
CDKN2AIP,0.914579129860716
ACVR2B,0.914294671301518
NAA50,0.912469016323961
TVP23A,0.911438181200865
CLCN3,0.911288965353779
GDNF,0.909708973793353
POLR3G,0.908373208446496
RARB,0.906479977519057
SLC44A1,0.906128182419273
RBMXL3,0.905653110018997
ZHX2,0.905314310262278
RASAL2,0.904792906264282
PCDH17,0.904426877717511
PYURF,0.903984220211465
GALNT7,0.903633743454471
DDX19B,0.902874208477631
NARG2,0.902555734376549
SECISBP2L,0.902481182477207
QKI,0.902135335477045
BICD2,0.902062363338107
