Gene,Score
RAD52,0.999767504481911
FLOT2,0.973274997216802
VWA3B,0.934900458779529
PCBP4,0.926928833920444
TBCEL,0.925711987084641
MED26,0.881451264376585
NCR3LG1,0.870698633327811
DDX11,0.861088162387958
LRRC14,0.860485140317428
KIAA1614,0.853226469018379
SMARCA2,0.849195556184185
NOSIP,0.848943143811179
GLA,0.844538677512415
UNKL,0.840249575359341
KDM3A,0.828448633536878
DRG2,0.816922648055106
SPTBN4,0.814303942536548
SLC24A5,0.813693847524196
PBX1,0.813528112640375
CLIP2,0.803377245444153
NOMO3,0.801094906036155
