Gene,Score
SRSF5,0.99217923725839
ATP4B,0.96694323779576
RICTOR,0.955995844968231
FAM186B,0.9445016031633
SHBG,0.939313688096921
MRPS25,0.91773068035477
PPARGC1B,0.89873005556158
MR1,0.891218428506658
GDAP2,0.887679572495655
ESPL1,0.878212760981495
UPF2,0.872668351378964
AC022826.2,0.863262543981133
NEBL,0.843210572972786
NEURL4,0.841970904785795
FAM90A26,0.838472554677693
MOSPD3,0.836169454579105
FBXO38,0.835882238979387
AP002990.1,0.827336067660508
DPH1,0.824948799263482
EXOC3,0.82388676377699
ADO,0.822014349005107
KCNH6,0.821695590164379
STPG3,0.812804809917566
VPS52,0.809496652019682
ACTN3,0.806644125939933
FDFT1,0.80292568671041
TMC3,0.802548647820416
