Gene,Score
LCOR,0.999997195705704
LRP4,0.999993445873502
FGF9,0.999891516851085
ZNF800,0.999764344329456
MMD,0.999623609767452
PRR20B,0.999390394610322
PRR20A,0.999385095525497
PRR20C,0.999373773496479
PRR20D,0.99937317248619
PRR20E,0.99937136636964
RALA,0.998542621801273
KAT2B,0.998223097296002
STK17A,0.998056869518594
SEPTIN2,0.997570232908872
KATNBL1,0.997495805207871
AC106886.6,0.997175577002816
DOK4,0.997133359354266
NRK,0.997059106192962
BCDIN3D,0.994904585048832
YOD1,0.994862358117424
TTLL1,0.994341179028736
WNT9A,0.993565150127077
EFEMP1,0.993295125473106
ZNF827,0.993281176026326
VEZF1,0.992855671219059
NLK,0.991759160323341
NPR3,0.991031167216019
GPR161,0.990818991494598
RAD54L2,0.98980734957384
IGFBP5,0.989352561064226
PALM2AKAP2,0.989302319637892
EGR2,0.98901733324394
FNDC5,0.987908680097724
SHROOM3,0.986995898310607
HDGFL3,0.986848692303492
BCL2L1,0.98628124368232
CAPN1,0.985569729205174
KBTBD2,0.98497463835825
CORO2A,0.984541809574411
PPTC7,0.984342956617006
UBE2V1,0.983903409995617
TSPAN12,0.982898645143177
ZBTB10,0.980484931413968
NCSTN,0.980017367424825
BACH1,0.979858194039595
C12orf49,0.979613023168375
CBLN4,0.979580321842323
FLRT2,0.978300934774934
NUCKS1,0.97807557544346
HSPA4L,0.978024519200807
ADGRL2,0.976916100146442
SPATA6,0.97584425911609
TMEM260,0.974930460787199
ERC2,0.974034776040365
LAMC1,0.972011185342228
MTSS1,0.970549316356933
SNX27,0.969474707876884
PGR,0.967876961367829
ADCY7,0.966887130877883
CD58,0.965787514179785
GCA,0.962098397896625
WDFY3,0.961691145341097
BOLL,0.960999469576275
BMP2,0.960625598227352
NCOA1,0.960520166377095
WBP1L,0.960418432753411
ARL15,0.957258417672124
DPYSL2,0.957070792621923
NIPBL,0.956926309839493
DGKB,0.955802352884981
ZMYM4,0.955404378110166
RNF170,0.955113268768564
SCRG1,0.954888734611027
SNX16,0.953715809174719
CDH7,0.953357364859783
RPUSD2,0.95257458419072
RBBP4,0.951414140079531
FBXO45,0.950375251713987
BAZ2B,0.950096169144237
ADAM10,0.947307236969873
RNF32,0.946970447923061
NCKAP1,0.945299050910712
FCHO2,0.945257979059275
NTN4,0.944497381893404
ABRAXAS2,0.944117361616314
GALNT16,0.942906474749654
MED13,0.942251013866761
ENST00000556084,0.941832228044176
NR4A3,0.941588067559322
PSRC1,0.940663122450369
HRCT1,0.940569145587718
ATP10B,0.93956787056576
ZNF557,0.938687098832624
ERVFRD-1,0.937897786585399
PURB,0.937688409380596
SRP14,0.93716023142394
ZNF740,0.936148639408612
IRGQ,0.935062201482717
ANO6,0.933789012784008
WASF1,0.932676803222626
HDAC7,0.931752838460369
TFRC,0.931037495624495
YTHDC2,0.930454410335885
DUS2,0.924467965556901
NDC80,0.923440269765869
PGAP2,0.923218456197242
RGMB,0.921331532814563
TLR4,0.921281167397921
TTYH3,0.919590410726972
MED4,0.918355227930782
OTX1,0.9175175260535
MAN1A2,0.915642893488475
BCL11A,0.91449834411502
TMEM115,0.913961021960748
SRGAP1,0.913834898701582
MBOAT2,0.913815949714998
CLDND1,0.911854341240113
VWC2,0.911337751935356
VEGFA,0.910486227222767
KLF6,0.910450691461994
LAMP2,0.90967024616538
MROH9,0.909503824703733
NPL,0.909167220092549
XKR4,0.907899396076364
MTREX,0.906930778550947
ENST00000610431,0.90674447977371
