Gene,Score
MUC5AC,0.999927852017154
TMEM212,0.99638657974811
RAD23B,0.996071631500145
GPR63,0.987692857558514
LACC1,0.984697377320323
LMLN,0.980174997831702
MAPK11,0.979705058071975
SCRIB,0.979495794572243
MEX3B,0.973143065750197
SLC26A7,0.965232814885127
RNF115,0.963240061873904
SLC25A23,0.960125190552297
ERVFRD-1,0.959630765322101
VLDLR,0.953872048463176
CORO2A,0.947992542870771
CSNK1A1L,0.94690516205709
GORASP2,0.942645138144547
SEH1L,0.93971317469958
AC134669.1,0.939371579487075
JPH1,0.93759387671237
SLC35A4,0.93702687654598
ZIC1,0.936148496419436
TLK1,0.93474623844542
AC005833.1,0.932901522723913
ANKRD36C,0.931481297894556
DTX4,0.93137067076872
AMIGO2,0.931104791157098
LGR6,0.930971270761388
MOBP,0.930806672080814
MANEAL,0.930126685890804
MBNL2,0.929979731595658
ERBB2,0.925379704713567
ENST00000615798,0.925013357410304
TAF5,0.924525358718739
HNRNPUL2,0.924215406481807
ZNF519,0.923279903215448
ARID4A,0.921959437816012
HMGN1,0.921190528749683
SMCHD1,0.918364111411158
MARCKS,0.91671349068516
CWH43,0.913906013815518
ITPR2,0.910845988546332
NLK,0.908747261715444
NRIP1,0.908453035875037
KCNMA1,0.907095953346691
EIF2AK2,0.905801698642396
KAT2B,0.905442840401085
PCNX1,0.904728982298355
PCDH9,0.904695859447254
LUZP2,0.903100218070722
CMSS1,0.902046049491237
SLIT2,0.899872956897958
EPHA4,0.899242059995232
ADGRL3,0.896998923000112
OTULIN,0.896372576724952
ZEB1,0.895691439191819
EDARADD,0.895478435914714
SYNPR,0.895468815773324
CD84,0.894450078339186
MRRF,0.893916978284035
ERVV-2,0.892488637273494
RALGPS2,0.891906752829706
SOX18,0.891755242272955
SLC8A1,0.890756484363771
ZSCAN30,0.890512588017886
TUBG1,0.889770758382831
BRD8,0.889464159219053
RHOBTB1,0.889082845480747
EFCAB14,0.888161661052942
METTL8,0.887390522434395
SMAD2,0.887058652757471
MPHOSPH9,0.886906257704169
P3H1,0.886302834724157
NFAT5,0.88611219751753
ASH2L,0.886017715389086
CDH19,0.885824422121885
DDX17,0.885206031141129
ADAM11,0.883706488016674
DTNA,0.881785530047844
KLHL31,0.881186250947445
ZNF764,0.880904069920594
FLRT2,0.880194661268324
ENST00000422223,0.879742329946324
F3,0.879140819273384
RSF1,0.876126665237281
ATRX,0.874730108752732
NEPRO,0.873086176470838
HS1BP3,0.872393322817584
ENST00000265023,0.872003608335051
TNIP3,0.871065672040828
CACTIN,0.870910938953556
TOGARAM1,0.868939151545497
CYP2R1,0.868865490989201
BZW1,0.868174568152343
ARPC5,0.867667754428646
SEPTIN3,0.866871521307695
OR2H1,0.865853687546547
HSPA4L,0.865691232523494
BRINP1,0.865152887553892
SMTN,0.865088739236345
PRKCA,0.864607521760505
C10orf67,0.863728838389866
ZFHX2,0.862892193683476
ARFRP1,0.86078565934398
DUSP15,0.858208602171183
BICRAL,0.858148754362784
SDHC,0.857933247479348
LRRC1,0.856514832233404
WBP1L,0.853826987114713
CBLIF,0.853721017308725
RAB28,0.852210395506662
HDAC8,0.851258948608335
TMEM115,0.850697898702375
CAPRIN2,0.850529034380249
