Gene,Score
RPS6KA3,0.981385761476328
SCAF11,0.980057313251106
RSPO3,0.972948749287945
ZNF708,0.959088548555561
SLAIN2,0.953156487334727
ZNF121,0.951904039909052
CDC40,0.946625995521481
ZNF117,0.943881898376037
ATP1B2,0.938384926466657
ARFIP1,0.936165076805229
ORC4,0.92443248008135
KDM6A,0.920584956759973
ZNF138,0.920247540350659
ATRX,0.919699691608342
PLXDC2,0.91589636048942
TJP1,0.912362415091411
ZNF493,0.910781478042734
ZNF107,0.909169026512772
GRPR,0.906736300919088
SERPINB3,0.902975488926927
ZNF615,0.902110382784771
ZNF99,0.901884671715491
BPY2B,0.900171493017131
BPY2C,0.900102716404321
BPY2,0.900068319048814
SPCS1,0.899298470553643
MSTN,0.898574513000397
GRIA2,0.896560699395214
BRIP1,0.896237820680302
ABCB7,0.895492728058646
INTU,0.892918995102716
ADIPOR2,0.892649366320952
PANK3,0.887478375493966
PPP4R3A,0.885294414174608
FBXO47,0.883646456691832
ZNF773,0.882069256419225
TRPM3,0.88198414334776
RB1,0.880575595914816
FAM71A,0.879208047240198
ALDH1L2,0.876264928952605
KCNJ15,0.874600213900706
RPS6KA5,0.874343382266122
GALM,0.873290102113815
MTRF1L,0.870321989952649
ENST00000298472,0.870161665460929
RAB21,0.868201863346531
CCDC90B,0.867975293597517
FLRT2,0.867731507320265
KCTD8,0.867447617968364
RBAK,0.865604454722873
ARX,0.86300616254341
GLRA3,0.86209582450199
AQR,0.860220424878859
QSOX1,0.857179409105138
SERPINB4,0.855882973881361
FBXO39,0.855045654440277
BMP2K,0.854025292259304
DNAJC10,0.850647414147331
LYPLAL1,0.849662912271144
EMB,0.848761526712607
FRG2,0.84233822598261
SERAC1,0.841775596494972
HSF2,0.838904442015285
FRG2B,0.838723032194649
ZNF813,0.838531342921903
NSUN4,0.836696681951456
DENND6A,0.836615474867152
ZNF471,0.835499559034769
ZNF250,0.833992748488325
HTR1E,0.830128390459091
VGLL3,0.829842241233098
DIP2C,0.829749074489009
PDE6D,0.827804810420651
DLEU1,0.827379607736299
AVL9,0.827264834586805
ZNF730,0.826900990408278
CHST14,0.826639473561375
ZNF185,0.826411016626742
ARAF,0.826073862202856
AC008758.4,0.825477134866473
ZNF573,0.824862964476871
MAP3K20,0.82399582469303
TRIM64,0.823524827833258
TRIM64B,0.823523224451618
GIMAP2,0.823440333603089
RBM25,0.822385331997073
MED13,0.822237677522002
ZNF385D,0.821832135903871
ABCA13,0.820922680300071
SPINT1,0.820671602121948
PGAP1,0.819152635029791
SHQ1,0.817672974418167
LHX9,0.816504958866754
DMXL1,0.81544107791988
FAM210B,0.813460747610833
TRPV3,0.812140210136752
PDCD1LG2,0.811863730197059
CREB1,0.811421404288893
XYLT1,0.810842976342217
DCAF4L1,0.809535808773079
TBC1D12,0.809153943808554
RAB23,0.808690147038042
FRG2C,0.808333560261961
SPOCK3,0.80553481912838
ENST00000622362,0.804530380093414
CHD7,0.802620123349613
