Gene,Score
ENST00000339659,0.999863928576724
IL36RN,0.997605931165195
ILRUN,0.994973657681328
ATF6B,0.992592266546405
ADGRF1,0.991921654070222
GDI1,0.982283892615388
BCLAF3,0.978663296491636
TMEM212,0.977702846922598
PABPN1,0.975793049662254
TARDBP,0.975692936279124
SLC16A3,0.973760404040703
GFOD1,0.969157251927394
ACOT11,0.967692211420286
C16orf72,0.964962655299544
CDC25A,0.961706044744237
FPR1,0.960926779943345
ZNF573,0.958902466503257
INTS9,0.958888804294804
USP7,0.957279550406107
RCC2,0.956511431561763
BCAS4,0.954747662235514
ETV3,0.953380903037581
ERG28,0.950967153043612
ZNF229,0.946230946581386
ADIPOR2,0.944744940403417
TFCP2L1,0.944674751030664
KCTD20,0.943690816154564
ZNF302,0.942012479050684
POU2F1,0.941645754527746
MCU,0.941609423561924
CAP1,0.940375121673591
TFDP2,0.939240191583496
ZNF286B,0.939015347692195
ZNF30,0.938191156682973
RNF41,0.936717282207051
ZNF791,0.935248451729944
ZNF594,0.934691729820478
ZNF788P,0.933166798169289
SORT1,0.932651383473249
AC017083.3,0.930866421789465
ZNF189,0.930847513510793
BRAP,0.930589731033589
AC010422.6,0.930458985853981
DNAI2,0.928589835868883
ZNF846,0.927914688193067
XPR1,0.926178644955901
CNKSR3,0.925857350520412
ZNF441,0.92572328633871
CHD1L,0.921142909051488
FAM120C,0.919369386543153
KCNC4,0.918933832112831
SH2D7,0.917971020529009
CTAGE1,0.91631251544161
ABL2,0.914166099272031
ZFP90,0.913475867979609
PTBP2,0.911710584491331
NKX6-1,0.909431264362517
CSRNP2,0.908893570747392
HES7,0.908439146405143
SLC22A1,0.908003608288622
ZNF256,0.907241543945657
SPEN,0.906766441452565
SCD,0.905984158739136
ADAMTS6,0.904291673968395
ERMP1,0.903867285527788
ENST00000617676,0.903672726177669
CNKSR2,0.900920942928129
SEMA3A,0.900815128108408
TMEM132B,0.900786485116531
ZNF35,0.900619157682487
DBN1,0.900090829358118
UGT8,0.899466821209598
ZNF286A,0.898530367467212
GNAI3,0.89790638653943
ZNF544,0.897905653322071
ETS1,0.897349992016056
ZNF26,0.896722795476939
ZNF552,0.896619906250024
CSNK2B,0.89651603426067
AC067968.1,0.895884844513847
TMEM178B,0.894076053936161
EML2,0.892854683266897
ZNF569,0.892023383143265
ZNF487,0.891526373927248
SLC16A2,0.889648473694467
ZNF763,0.889540356298921
C14orf93,0.889379945603249
DLG2,0.887990813684341
