Gene,Score
LHX2,0.996346057373687
MPC1,0.989278169226695
SPX,0.983894628646504
LPAR1,0.983631537291419
GUCY1A2,0.978815964127447
DNAJA2,0.978024491671424
ZFHX3,0.973016057410727
NR1D2,0.970788524221008
ENST00000247182,0.968932253702396
ZNF800,0.965846462746147
SP3,0.96579018270766
NFAT5,0.96421259117044
WLS,0.962822092775759
TSC22D2,0.962011374524503
OLFM3,0.961235366696039
PLP1,0.957853205776015
ZNF773,0.956707397629462
RILPL1,0.956549333805709
CD58,0.956451156708009
NCKAP1,0.956435890013621
EPB41L4B,0.954449453414208
AP3B1,0.953890485124308
SHROOM3,0.95244106001079
MBD2,0.95021443071943
SCN8A,0.947894851760585
LMLN,0.94603085090396
CTSC,0.94561043351107
CELSR2,0.943152223761159
EIF5,0.938140521277356
SNX27,0.937224736826476
TLN2,0.937128982820096
CNOT10,0.936743310308418
C4orf19,0.934482118213797
SLFN12L,0.933954683927104
SLC25A23,0.932697458668768
AKIRIN1,0.929339649585996
TTYH3,0.928755328291623
SLC1A3,0.928265437968401
FBXO28,0.928179351036427
FBXL3,0.925944218742321
RALA,0.925730046645439
MGAT1,0.925503974391683
WASF2,0.925438099726022
CDC42EP3,0.923563161114935
ENST00000615798,0.923085590282183
GLT8D1,0.921976954455475
CADM4,0.919865196824895
BOLL,0.919705040118188
YOD1,0.916796061497263
ZC3H6,0.915326811792818
C3orf49,0.913568697509933
ZNF594,0.907363517161162
ENST00000617179,0.903329274778774
STK17A,0.903180505860674
RPAP2,0.902609108917262
NCMAP,0.896711711033521
GANC,0.896062139452199
ZDHHC11B,0.895016429968889
KCNAB1,0.8926476259491
ENST00000556084,0.891913670242548
BRAF,0.89127020580346
MRS2,0.890459629274234
NAPB,0.889599650241173
ITM2A,0.889397771928294
PDE4DIP,0.889072224455289
DNM3,0.888717503561254
ADGRL3,0.887205850916459
ACACA,0.885781690144997
MRAS,0.883236349046032
ZNF614,0.882490498840986
USP54,0.881612545092912
ENTPD3,0.881544968102418
GPC3,0.88001229177484
KPNB1,0.878642867627811
NDC80,0.878386070391309
UBA3,0.878273745095639
HDGFL3,0.877756486612857
EML6,0.876467680716755
FRMD3,0.87458237273709
DCC,0.874485138685367
EIF4G2,0.872672936244774
NTRK2,0.871529190070096
KCNMA1,0.871274931671431
CBLIF,0.870892710344557
OSBPL6,0.868876373572743
THEMIS2,0.868801888833669
FLRT2,0.868611093811
TRIP4,0.868491710832741
PDE4B,0.867847700932829
GLIPR1,0.866210962510711
TMOD2,0.865638352049965
FRYL,0.864771158672151
SEPTIN2,0.863916485931135
PUS7L,0.863827205726777
PFN2,0.863463378611239
CYP2C8,0.862683098607492
TFPI,0.862017457067652
ZNF716,0.86193798439444
YAF2,0.860085682690954
GJC3,0.860005426206764
PRKCQ,0.859316191115523
CCNG1,0.859099111754417
MAGT1,0.858920701141562
CCDC85C,0.858303492431653
ELAVL1,0.857312206995185
RTKN,0.856772645315572
FAM199X,0.85654430225792
ERVFRD-1,0.855110237518469
CTNNB1,0.853688130241519
MTA3,0.85221823847534
RIMKLA,0.851477833633004
CCNYL1,0.850650947047719
CCDC6,0.850419800459555
MBP,0.84939001630225
MKRN3,0.849303936096315
NEK7,0.849262959666306
YBX3,0.848669670940061
SMIM18,0.847761474049745
QKI,0.84765872747206
FAM167A,0.846369677766005
PDK1,0.845962751060418
UBQLNL,0.845609380212593
PDGFC,0.844263224582334
PHLPP1,0.843455170898265
DACH1,0.840869451185296
ATP2A2,0.838697668701905
AC106886.6,0.83631693088086
GLI3,0.833982484600372
DMWD,0.832892869261972
PDP2,0.832773120893058
CTNNA3,0.831761863932194
HS2ST1,0.831621352708308
TJP1,0.83073391752952
TTC39C,0.830505327103294
ZFHX2,0.829679710597542
CCDC112,0.82919544187964
ENST00000392845,0.828752300748651
WBP1L,0.827706048264477
SPARCL1,0.826334677623505
ENST00000426016,0.823876246394538
SLC8A1,0.821308484969908
SLC9A1,0.820912741522621
SHC4,0.816832419083325
WT1,0.816725266394091
TOR1AIP1,0.81613490713445
SNX1,0.815744788224761
ARID1A,0.815648081094575
AC099811.2,0.814083682607225
ANKRD29,0.812174551853764
KCND3,0.81161724175195
RAB9A,0.810357161440091
RSBN1,0.809998777902584
PLEKHA1,0.809692651642968
SFXN1,0.809193223758868
DBT,0.808930937170299
POU2F2,0.807240495286297
UBE2H,0.806911136363914
PURA,0.804108512831064
ADCY6,0.802694288954941
KLF9,0.802048857789096
NPY5R,0.801974316740819
KCTD12,0.800935170876698
BRI3BP,0.800389799770757
