Gene,Score
PCDH9,0.997556316479822
SMAD2,0.995698511738099
ZNF148,0.99538342947692
ERVV-2,0.993049268462751
TP53TG3E,0.992177854065062
LAMP2,0.987719087232034
ZMYM2,0.986122875551753
ZNF430,0.98556908460321
MECP2,0.98204616406246
NUP58,0.981370319064155
TP53TG3,0.980977989018502
TP53TG3D,0.980678731695038
DPH6,0.978386492629639
PCDH10,0.978242079786632
KCNJ6,0.975159921157018
SMARCAD1,0.974046635614471
ATRX,0.973994304638135
RAD51AP1,0.973565238388895
PDE11A,0.972302624728442
DAZ2,0.971751092374023
DAZ4,0.971671677136147
TBL1XR1,0.971516462784332
DDX5,0.971428810979206
DAZ3,0.969639565296117
SUGT1,0.969454270653417
INO80C,0.969447485732372
DAZ1,0.969182165520575
ERVV-1,0.969072119278003
FIGN,0.968435230666854
LSM11,0.966807163221283
CD24,0.966685906436391
RORB,0.965472750873577
ZEB2,0.965089021374911
PIK3CA,0.964847975838021
KPNA3,0.962184723466419
ALG10B,0.960826886053256
CAGE1,0.959677318607309
RFX3,0.959613927807112
STC1,0.959193880309297
BTG3,0.958512965840675
TNFRSF19,0.958060437770743
AC098850.3,0.956776269121172
FBN2,0.956004626197923
ZBTB44,0.955984057841838
MGAT4C,0.955393676020709
TWIST1,0.954376741832011
ENST00000222753,0.953875731218716
SALL1,0.953675649174745
ZNF124,0.95282538870876
RPS6KA5,0.952233134705041
WDR41,0.950380558712109
HMBOX1,0.948867305354126
HIBADH,0.948836381003263
CEP70,0.948745157278182
DESI2,0.947011043298287
HLTF,0.946379085739929
RBM7,0.946092485071835
METTL14,0.945430094491095
NHSL1,0.945397206730381
FITM2,0.945381704282872
ACTR3,0.944860619757476
ENST00000392717,0.944352543959905
ZBTB4,0.942760322992819
NFIB,0.941940924284642
ZBTB18,0.940826320532792
PTBP2,0.940223729826224
ZKSCAN8,0.939747010549604
ARHGEF35,0.939572801397477
ITFG1,0.938721627413836
RBFOX1,0.937666016256704
ATF2,0.937401626727068
FAM106A,0.936255112752314
FBXO22,0.936003796382692
STXBP4,0.935417046092466
RAB3GAP2,0.935229212692688
FGF13,0.934494111573853
APPL1,0.933918847791933
FLRT2,0.932871834814459
PCDHA9,0.93254942658969
ZMAT3,0.931914258186942
PDS5A,0.931885166163743
TCF7L2,0.931000725174686
LTN1,0.930970396103536
SAR1B,0.929983162496533
MOSPD2,0.929460129571822
LYPD6,0.928197251881163
MRPL42,0.927709985373364
SFT2D2,0.927005371812306
BBX,0.926896845597417
CAMK4,0.926632843366747
PLAG1,0.926464751219325
UBE2B,0.925758778884205
STX7,0.925757563731254
TMBIM6,0.923263090187266
TMEM209,0.923120003950092
PPM1A,0.923014229370611
SERAC1,0.92277215290259
