Gene,Score
ENST00000618498,0.994961934141949
SPRED3,0.974407688969651
MANF,0.972224648167973
PLXNB3,0.96391840212945
PHF1,0.962007823258244
C14orf119,0.96178592566571
UNC13B,0.954526674768818
BLVRB,0.950531615613567
UBE2NL,0.934516736084507
DYNLL1,0.923459099050674
SLITRK1,0.906958195327911
CCDC120,0.904075935262498
STYXL1,0.89221921892134
ZNF671,0.878054088743233
AC120057.2,0.876525302177075
EPS8L2,0.872955849012195
TXNL1,0.859744408103054
DGCR6,0.85263329153582
GTF2IRD2B,0.849530487681864
MAGED4B,0.840038606042886
UBE2G1,0.838933103767045
HAND2,0.833419619177845
DCUN1D3,0.833122708196152
ZNF562,0.828631578361897
CYP2D6,0.824332906210742
MLC1,0.823043904523606
UPP1,0.818806622947359
HTR3A,0.816162296757488
SEC14L4,0.812329210654521
YBX1,0.802844507788769
