Gene,Score
UBE2H,0.999970149743916
ZNF429,0.998948049223477
AC073612.1,0.998265700975688
ASCL1,0.996023418128757
EML6,0.995083220689443
PPP1R8,0.994496756306596
EIF4G2,0.991321099698838
ARHGAP5,0.991038619282067
ENST00000426016,0.990572065900701
ZNF571,0.988041362683901
CYP2U1,0.985765929104713
PSMC2,0.984906990957196
OSBPL8,0.979250435553829
MAP3K2,0.978007726899823
RUBCN,0.977610776732521
NCKAP1,0.973707750726036
SEPSECS,0.97322060953596
MECP2,0.970266350662281
FOXO3,0.969818047562784
ZNF396,0.966321806149945
DYRK3,0.965833294460195
SPX,0.963968583699346
LHX2,0.963328781340069
RALA,0.962771108134999
NR1D2,0.956050417548017
ZFHX3,0.955170278065874
C10orf62,0.953312643647642
TTF2,0.950290025609952
NCMAP,0.949718658785471
ZFHX2,0.949135197288366
FSTL1,0.947998441892578
BPHL,0.94724083092781
ZMYM1,0.945435437534468
JARID2,0.943940181745301
C18orf25,0.931742706128523
FEM1C,0.93040468530325
VSIG1,0.928524645786558
EPB41L4B,0.928343399677263
GJC3,0.92418972091001
AKAP6,0.921681749884711
MRPL43,0.921094589589167
CSTF2,0.920165097919646
AP3B1,0.919235366203108
ZC3H12B,0.917908776508541
TOR1AIP1,0.917166494619692
CHMP2B,0.917137769277777
OSBPL6,0.912900256931405
IGSF11,0.908862476019724
RICTOR,0.907222539474746
FMOD,0.905485553443982
SEPTIN2,0.904550622685875
PSME4,0.903029356417723
SALL2,0.900594611797557
MLH3,0.900235409258619
SLC22A25,0.897810885757433
SH3BGRL3,0.897422707969746
ZEB1,0.896198542349114
SLC11A2,0.892048051157181
ENTPD5,0.891947342301903
PTPRK,0.891918292066674
ZC3H6,0.891307243145901
RNF40,0.890147632060999
PEX12,0.886891920246452
CLEC4G,0.884415902716056
LUZP1,0.881419022878898
AP002373.1,0.880652315577136
CALCOCO2,0.880555883094427
TNRC6A,0.880538834821288
SLC5A8,0.880471085615
PDE3A,0.880385619039434
ENST00000339659,0.880065272800903
RBM5,0.877250604189911
GUCY1A2,0.875776034903363
DNAJC10,0.875770156159808
COL11A1,0.873962128526028
ZNF385D,0.872957268899339
PDP2,0.871318469687731
GCM2,0.869306990660129
MYO3B,0.868633664887758
KCNMA1,0.867904781101522
BHLHE40,0.867408288177903
MOB3B,0.865157716267493
LPAR1,0.862996335475001
AKIRIN1,0.862801663734791
MBP,0.861829891679012
NR4A2,0.861476981479919
CDCP1,0.861074200370399
NOS1AP,0.860191896184819
PLP1,0.859629278018013
TUSC3,0.858636105142141
ATF7,0.858520391513943
FRYL,0.856952630526674
TRMT13,0.856024789771279
CELSR2,0.847024842089588
NCR3LG1,0.846781735149579
RTL5,0.845775539113193
C10orf53,0.84536811452658
RAB23,0.845275617129102
MPC1,0.84487648758449
SNX27,0.843702892183342
ZNF862,0.842811748948216
SP3,0.839688527907359
SEMA5A,0.837277682287335
PPIL1,0.835948128894933
UBA2,0.835768862258374
KCNMB4,0.833893501660139
GLIPR1,0.833640796572538
PIGT,0.830199471978363
DCAF8L1,0.829969221741285
PPEF1,0.828465545395461
COL25A1,0.828068170926466
ZNF773,0.827382688305269
NTRK2,0.82692146586112
DNAJA2,0.826581433097342
DNM3,0.826470506307628
KIAA1958,0.821782064144961
SCN1A,0.821488005516472
KPNB1,0.821209140734799
RAB31,0.820199026841701
KLB,0.818554150616461
RAB4B,0.818368816703447
KCND3,0.818002543027506
TRIP4,0.816167794158043
TTC30B,0.816112925103266
SLC7A11,0.815016254833449
CSNK2A2,0.813726141511587
NPY5R,0.813165472049692
C2CD3,0.813011273031315
TMEM108,0.812196797144681
MAGT1,0.810632275138359
ENST00000331837,0.810152333522692
RELCH,0.808906748275506
ZNF800,0.808815789571058
VAMP1,0.808051356672021
ZC3H4,0.807284113900416
ZNF615,0.806833871367543
PACSIN1,0.805910529876062
DNAJB12,0.805864164322231
DVL3,0.805696078247705
DCC,0.805339016882296
NAPB,0.803469131710249
DCP2,0.802927337178537
TUB,0.80234082642553
SHOX,0.801919286926957
AC055811.2,0.80190754452796
ENST00000247182,0.801592031163439
ARHGEF26,0.80155198758925
PTK2,0.801324813374215
DOC2B,0.801190945195041
ARHGAP20,0.800674565815778
FBP1,0.800215034130581
