Gene,Score
SLC9A5,0.999999765218104
AC006994.1,0.99967463357322
HDAC2,0.99944187992626
TRIO,0.999031141163187
KHDRBS3,0.99859588757603
NAGLU,0.998021538952181
DHX38,0.997971133029206
HID1,0.997824543329727
HIGD1B,0.997775275041226
ENST00000610431,0.997686718150653
PURA,0.997543476590002
MTF2,0.997420591087654
SLITRK1,0.995996511110475
YTHDF3,0.993649438492083
EAF2,0.993187022032803
REPS1,0.991303345076649
TMEM134,0.989855830804821
C3orf49,0.989083725541133
SAMD4B,0.987964363345065
ACTN1,0.987932448280777
FAM155B,0.985823114058982
ANTXR2,0.982715592323437
GJC3,0.981033910296773
PSD3,0.979155394064746
POU2F3,0.97592420772445
ZNF827,0.97523761952542
CRNKL1,0.975079461655372
CCDC179,0.973315672035039
COG6,0.972629697278883
RGS17,0.971826272728629
MACROH2A1,0.971081917614456
TGFBI,0.970737378067391
SNX1,0.970501615609523
SYS1-DBNDD2,0.970194002811296
SGK2,0.96966570489974
NTM,0.969193307378097
ZNF19,0.967746478124729
FCAMR,0.967467449012669
IFIT2,0.967239018097351
ALG9,0.966434447441683
RBMY1D,0.96630344189366
RBMY1E,0.965472953139921
RBMY1B,0.96523670934067
RBMY1A1,0.965058742225724
CTSH,0.964651217090585
CASC1,0.964189173152849
MDGA1,0.964070349560454
GRIN1,0.963962032378459
CDK12,0.963862572595033
SETD2,0.963084051861888
PRUNE2,0.963006155021866
SMAD2,0.961712627160229
WTIP,0.961554234205967
SGMS2,0.961239943543549
SRF,0.960689470858202
EVC2,0.960150429474965
AL360294.1,0.959512822651081
ENG,0.959056285523894
HNRNPUL1,0.95899478452894
ZNF341,0.958835436589106
LHPP,0.958660384342386
SOGA1,0.958191649843123
ATP13A4,0.95400818207936
TMBIM6,0.953948210413061
HUWE1,0.953876004436536
SLC5A6,0.95215073879575
TEP1,0.951934591484023
ENST00000480462,0.95072280581377
SLC30A3,0.95051553321918
DEPDC5,0.950385912811994
TBC1D17,0.950047570838679
NPIPB5,0.949955159487125
CXXC5,0.949432570207208
VDR,0.949237843143776
PROSER3,0.948747604381347
MCCC1,0.94785293488329
AAK1,0.947019460801497
RFX5,0.946786383586085
RASGRF2,0.945967179804908
ELK4,0.945180607081442
TRIM44,0.944027788782923
DIPK2B,0.943319963658063
PKNOX2,0.941453613268222
SYT7,0.941420197241405
TBL3,0.941343740156846
GJA3,0.941280621086583
FDFT1,0.94090384585507
CHKB-CPT1B,0.939210443671646
GPR158,0.938722263811394
RPAP2,0.936919913914342
LPA,0.936474032919692
WDR60,0.93581735017426
GFRA3,0.935448755289611
ARHGAP42,0.934971635904891
PLBD2,0.933935243459855
TMEM65,0.932745575586734
SNED1,0.932675219198883
CLEC12B,0.932465044843739
ROGDI,0.931998984809777
AFF3,0.93167072124013
PNKP,0.931274513366679
MAP4K1,0.930549291104873
ENST00000339659,0.929865091953532
NLN,0.929707974534201
GRAMD2A,0.928462387541653
SYT9,0.92819759696664
Z83844.1,0.927615200574432
IGLON5,0.926424828390243
MXRA7,0.926253333882953
CXXC4,0.926068470266362
VCPKMT,0.925745970390154
PRDM11,0.925494208210667
SMIM27,0.924902563364274
SIK2,0.924772876798895
RTN4RL1,0.923917455588731
TBX19,0.923735975602489
GRIN2D,0.923540917408198
METTL7A,0.922735908963785
COP1,0.922595624013509
CNPY4,0.922387913307929
HAL,0.922073747272682
MEGF8,0.921998629398502
STK3,0.920413452722979
AIM2,0.920362065928538
AGBL1,0.918750135340995
ACIN1,0.918694479962467
CHAT,0.918239851851855
PGAP2,0.918017397802761
KIR3DX1,0.917766227351048
ENST00000388925,0.914888582821791
KLHL17,0.914163455776259
GDNF,0.913432639022423
EYA1,0.913394662684185
SRPK1,0.913270938369296
SEC24D,0.913099532282525
PTGES3L-AARSD1,0.912347010684168
VWA5B1,0.911769678467042
KCNMA1,0.911633193384084
RBMX,0.911416530376322
TCAF2,0.9108977622837
CRAT,0.910581835499206
ENST00000558190,0.90937673681298
AFF2,0.908553673441373
ZDHHC22,0.908433689172223
ENST00000558084,0.908223795018214
GLP2R,0.907964898706394
CFLAR,0.907270508879036
SMG1,0.907094151307832
MRPL42,0.906970606709896
ROBO4,0.906548731723542
FAM182B,0.906394820830423
FBXL20,0.905618254647413
UBR4,0.905541398968696
SYN1,0.904768225340282
ZBTB43,0.90361431102904
SDK2,0.903313122261317
ARL13A,0.902901955886207
ADGRL3,0.902118989860597
POU6F2,0.902107921994923
LSAMP,0.901538500109709
DIS3L2,0.901205489405118
RAPGEF5,0.901051046227433
KCNJ6,0.90036425484244
DENND4B,0.899404864496984
KLHL21,0.899336645487438
SCIN,0.898477739791586
GAPDHS,0.898136075430196
GNAI3,0.898006200322276
ARF6,0.897333692926176
KANSL3,0.89692079801855
TPCN1,0.893904952815956
LRRK1,0.892774810758237
SFTPB,0.892343381858404
FKBP4,0.891692608467735
FABP6,0.891587041343157
MUC22,0.891541136615377
CNOT10,0.891521623117202
PGR,0.891478004836617
FASN,0.891341275251855
SELENBP1,0.891008359207135
ZNF773,0.890220082832652
ANKRD52,0.89015819464981
GRIK5,0.889194313454745
ATAD3C,0.888985604631589
WWC1,0.888967562327287
TKFC,0.888828741328268
AC006030.1,0.888365622636733
TTLL6,0.888121145842607
IL16,0.887915423632126
SLC10A3,0.887772799150566
SIRPA,0.887191076045392
TNIP1,0.886623080942098
LLGL2,0.885655888500606
STARD3,0.884430644430241
ZNF562,0.883764680058194
XKR4,0.883499648928696
SYT6,0.883288505842763
MOGAT2,0.882996728201027
RCN2,0.882859216674361
ASXL1,0.882801835982591
LGALS9,0.882554647525524
ATXN2L,0.882371879085914
UBE2J2,0.882132804337406
KRBOX4,0.881892752923695
PIK3R5,0.88012274447526
PRSS37,0.87995156462135
ERVFRD-1,0.879239606563578
ENST00000607157,0.878680554428016
TUBB3,0.877782063928594
CRY2,0.877448280398646
AC007546.3,0.876643125878369
LRP10,0.875628876291957
ENST00000437161,0.875242081251299
ERC1,0.875224046710093
KCNH6,0.874882416717174
MYO18A,0.874378798851421
SEPTIN3,0.87432961015423
ERCC6,0.873280186440271
DAG1,0.872362108388122
MYO18B,0.871925225794836
TJAP1,0.871660208734962
GPR137,0.871199621209259
AMDHD1,0.8710272797777
CPSF2,0.870706350155974
CALHM5,0.87048615744457
PTK2,0.870340882890641
DDX24,0.870068737506081
NAV3,0.86923719662501
KLHL7,0.869218287687845
SIAH3,0.868326090533764
HOXA9,0.868082969165961
PDPR,0.86714358730021
LTBP2,0.867003377052668
PKM,0.866657981312731
YPEL5,0.866558801365064
EFNA5,0.866481934492406
IL12RB1,0.865346336313611
NKD2,0.864780033695619
ADGRG6,0.864732405833661
PIANP,0.863722135920636
EPHA7,0.862701384550783
NPAS4,0.861727578531266
BACH2,0.861460592979066
NPHP3-ACAD11,0.861457387905575
PTK6,0.861309369399734
TRABD2B,0.859917185347068
PRKG2,0.859270331210484
IFIT1,0.859184445150636
TCF21,0.859092393188589
FOXP4,0.858289420442852
KCNT1,0.857882667819026
RGL1,0.857224529029181
PPP2R2B,0.856903792154471
MDM2,0.85685489590176
PRMT5,0.856846075298578
PATE4,0.855620969286704
NIP7,0.855493733200086
HPCAL1,0.854829037758564
ZNF142,0.854811823991857
MRPL21,0.854527529285489
LGALS9C,0.854495710893034
IL10RA,0.854398194559203
PPARA,0.854203740259731
TMEM155,0.854056578075035
ZNF704,0.85378893697271
DNPEP,0.853648699199573
ENST00000621003,0.852612161435341
CLIC4,0.852538737346073
MUC5B,0.852489006803687
FAM83F,0.852439568735376
UGGT1,0.851340076057571
GYG2,0.851157132404969
GLIS3,0.851108429266308
ZNF609,0.850947428121586
ELFN2,0.850795416393754
MYO15B,0.850572632231003
FLRT2,0.85027695093809
POU2F1,0.850094446455605
CACNA1C,0.850015622319452
RECQL5,0.849917233496158
PABPC1L,0.849516606741302
DNAL1,0.849488971495877
CYP3A7,0.849408908181844
OR2H1,0.849407819968768
FBRS,0.849400535496655
ENST00000546136,0.849028960307365
WFDC5,0.848307400233761
MYF5,0.847944439699799
ESRP1,0.847584580619122
MLXIP,0.846769854723019
TGFBR3,0.846703442996616
CTRC,0.846169700139266
CFAP97D1,0.845841714942579
ZDHHC24,0.845607964765345
NKAIN1,0.84550273299806
FAXC,0.844807313317785
CLTC,0.844801087338132
PATL1,0.844482796646781
SYNGAP1,0.844434104117248
GLCCI1,0.844408655746673
SAP30BP,0.844044344732747
DNAI2,0.843888382192985
PA2G4,0.84344952825235
SNX29,0.84231411475732
OGA,0.841869832026893
PRR3,0.841868991237539
ALDH1A2,0.840560037386433
ENST00000441232,0.840313346466369
FAM13B,0.839415979554609
ZNF835,0.839145053455358
GABRR1,0.838892053260441
MEX3A,0.838294630889724
TIMM17B,0.838266411501925
C1orf198,0.838106233186832
UNC5D,0.837743219679366
NEDD4,0.837578704088322
CCDC36,0.837260191953867
RASL10B,0.836603259104292
PISD,0.836468996202319
SYNPO2L,0.836256288064072
IFNGR2,0.835826094720562
RAP1B,0.834643594810283
UBAP2,0.834243377055634
IGFBP5,0.834033622131293
SS18,0.833691464478686
B3GALT1,0.833292066903524
ZNRF1,0.83320315521087
NAA30,0.833112627315962
MED24,0.832480334677716
SRGAP1,0.832450141748041
ENST00000610984,0.831914968643491
TTC7B,0.831694984335672
DEGS1,0.831358648435256
ATP2A2,0.831314806748057
TM4SF18,0.83123152609329
C2orf73,0.830782241312579
TAFA1,0.830649295146535
ENST00000396435,0.830518760816401
TADA3,0.830187865918152
KCNB1,0.82986059758307
PLEKHG3,0.829702453313083
SIGMAR1,0.8292820464901
PSG1,0.828944723038583
SLC7A1,0.828850153774233
ZNF740,0.828489720415616
ENST00000328191,0.828323821734348
C3orf14,0.828284733725832
CCDC80,0.827460544493204
CABYR,0.8274583407739
POLD3,0.827101576058682
PLLP,0.827033529414545
MOGS,0.8268888785205
KLRD1,0.826804009107134
PRR27,0.825985271155184
SHISA7,0.825851998319387
LRRC69,0.8257653724058
TM9SF4,0.825738528468337
SGSM2,0.825494384011947
SLC34A2,0.824829905580116
DMAC2L,0.824695158916279
DNAH2,0.823872519279036
CASZ1,0.82374354627982
NOVA2,0.823722046329171
MARK2,0.822996780026807
CPNE6,0.822626247961443
WDFY2,0.822499732878646
ABCA2,0.821794232061673
CDHR5,0.821320478446254
NHS,0.820619586458494
