Gene,Score
MDGA2,0.995953191499318
NHS,0.994652425114088
FAM90A26,0.994425229995373
FAM106A,0.988874934193489
TMEM212,0.988761650606887
GNAI3,0.98791057672482
HDGF,0.982658452307963
TNRC6A,0.980624060418378
ZNF773,0.979952549174406
ZNF429,0.97320510277772
HEMK1,0.968317992957639
ZNF189,0.96759076613676
CDK5RAP3,0.965008069291188
ELAVL3,0.964548104703991
AQP4,0.964483342732852
PSME4,0.962000314045178
KLK2,0.960917116668334
ANKRD52,0.957136339244443
TRPM4,0.955098916238008
AGFG1,0.952909053326356
ZNF99,0.95250331527359
HRK,0.951628588989212
AXL,0.951470726538304
NELL2,0.951249082975956
RFX3,0.948155267827197
PEMT,0.942554322676682
KCNA2,0.940729619168599
GADD45GIP1,0.936727955322353
RANBP17,0.934271188291622
FEM1A,0.933287960537678
LRP5L,0.92931746046635
ARHGEF2,0.928821748115436
RLF,0.927352713858701
ATXN7L3,0.925104082905678
FCHSD1,0.924130562137754
OTUD7B,0.923899646978258
ACAD9,0.9213774338969
PLEKHG4,0.918598171061477
PPP1R37,0.916414864970294
DAO,0.912354944280139
TRERF1,0.911339796998617
MROH7,0.909742735241957
WNT2B,0.908571224615726
MACC1,0.907332619343629
KDM6B,0.90587322733372
ZNF300,0.903021731006635
SLC25A35,0.901760772026811
ABI2,0.901515923297659
ESAM,0.901117358195233
EIF4G1,0.900813495901293
C1orf216,0.900037668322704
ZNF354C,0.899516798180382
RAB11FIP1,0.898963814565684
SRF,0.898743793573441
XAGE5,0.898306873108838
QSOX1,0.893785928093994
SLC22A6,0.892913686076077
CASQ1,0.892509052462395
PRSS42P,0.892334895325398
CA14,0.887642720884264
ZNF23,0.887389726943888
GZF1,0.887244117713256
CFAP97D1,0.886854369569367
CACNA1G,0.886488303713113
ENST00000380310,0.878851859747345
HHLA1,0.87792424415755
POLE3,0.877408998001853
VSIR,0.877193873982862
NOVA2,0.876308294415641
STIM1,0.876227978206782
AGO1,0.875496080581725
CSRNP2,0.8754739714161
CDH11,0.875404789383471
GFRA1,0.873191939240853
KCNAB3,0.873063372772151
YY1AP1,0.872688061287747
AC068946.1,0.872352011310417
WDR6,0.870831324707078
GLP1R,0.870334439076037
ITGA10,0.870119043671158
ARHGAP6,0.869347949753744
ENST00000402966,0.866701425898042
STRC,0.866045535964649
CYP24A1,0.865838661561586
TMPRSS13,0.865816882159437
BCL2,0.865770472619255
SYNGAP1,0.865310127736159
PGPEP1,0.865170516304735
KCNB1,0.864403536129285
TRPS1,0.863532472481698
XKR7,0.863207239639481
MAP3K11,0.862181751388004
STMN4,0.860365079619614
ARHGEF33,0.859919862240038
NMNAT1,0.859531571467853
MARK4,0.859049236143941
VPS37D,0.85843736321913
URM1,0.858430490419261
PARG,0.857902865821131
RBFOX2,0.856326502014069
COG4,0.855939575612202
NUTM2E,0.855444587889461
KDM4A,0.855029167619847
EPN1,0.853658394738272
ZNF180,0.850822234185174
MIDEAS,0.85051685571047
NOL9,0.850148402275096
PCDH9,0.849470998408152
FBXO47,0.847691514661828
UBXN10,0.847586171358336
REPS2,0.846878272123532
DRGX,0.846722462980001
KLC1,0.846655407638347
DDR2,0.844415773582074
SCPEP1,0.843332426517068
AL359555.4,0.84299509465016
PPP1R9B,0.84232689680469
TMEM184B,0.842225799577952
ADGRA1,0.842050953646172
ZNF181,0.841709737555935
DHRS4L2,0.840334531134718
SOCS7,0.840018565849939
ZC3H7B,0.837621451117801
PRDM11,0.837481725073451
ESRP2,0.837383348551913
MEX3A,0.837202633677098
C14orf93,0.835954545911486
MARCHF1,0.83533854400108
STAC2,0.834971399303836
SMARCC2,0.833063151060548
GMPR2,0.830438402969572
RETREG3,0.830043448785238
KDM5C,0.829783245799548
OPHN1,0.829573757989091
PTPRT,0.82770505686864
SEPTIN3,0.826900559475753
TMEM44,0.826160741047404
BTAF1,0.826126408530759
RAB11FIP4,0.826117267567684
IL1RL2,0.825976874989234
RHBDL3,0.825680701339503
SCN2B,0.825643500996424
NDRG2,0.825254148761162
MTPN,0.824482454391535
ALG3,0.823962173516614
SUFU,0.823809830931311
COL27A1,0.823255483809182
C11orf21,0.822279550284739
IL11,0.820632702042541
SDC3,0.820441050511598
RBBP9,0.820079473827503
TSPAN7,0.820071207021503
PRRC2A,0.819315190023195
FAM53A,0.817002457660634
SLC5A3,0.81655920897966
CRLF1,0.815834453017674
COL9A1,0.815419998293758
KLHDC7A,0.815385586046457
FZD7,0.815061970559174
HAUS5,0.814170903295484
TTLL11,0.813731593643225
ENST00000358138,0.813562711293374
KY,0.812998549104798
TG,0.812852715131709
RBFOX1,0.812074965185407
RAB35,0.811212876002897
PFKM,0.811189997840616
HMGA1,0.810836071592953
FAIM2,0.810569477362387
KIF26B,0.809905063885343
AC006994.1,0.809292277648484
DGKD,0.809253405836959
KCTD12,0.809097348517908
SV2A,0.808677122164302
TNPO2,0.808150701662432
NABP1,0.805035613169936
FUT6,0.804388028143678
CHFR,0.803881424061861
RANBP9,0.802789033420005
C12orf49,0.802338705756574
LMAN2L,0.802332160291551
NDST1,0.801954820368014
ENST00000329255,0.801351634759077
PACSIN1,0.801328732713206
KLK7,0.800901798077926
