Gene,Score
PFKFB3,0.993321099892121
RALA,0.992410576267767
ZNF69,0.991273027353284
SPRED2,0.988265718571991
NOL4L,0.987693358304338
HAX1,0.974835535377903
TMEM212,0.9741027836207
DUSP10,0.965827133548102
NDRG1,0.960285573046664
CYP46A1,0.954957906652071
CCT3,0.948159392324169
C20orf194,0.944709682554059
SNAP91,0.94276312490202
TRPC4,0.937278938812305
RBIS,0.936963288474001
UBL3,0.929153755459617
TNKS1BP1,0.923963525580167
MCFD2,0.922570487894745
STAP1,0.918720571354316
EBF2,0.9180321068667
PTEN,0.91255839516983
PDE4B,0.910271135728728
SNX30,0.909792848810422
SMAD5,0.903419130157026
GATAD2B,0.898681592152618
SOBP,0.897028498506569
CFAP20,0.896017527462799
TMEM167A,0.894920146574382
IP6K2,0.889260293329944
STMN4,0.88878396257517
RNF180,0.887935473843714
GSDME,0.885375590959596
FOS,0.884443467725474
ANGPTL1,0.883654202924523
KATNBL1,0.882406356053786
SGSM2,0.881741720569236
KCNB1,0.880184967476571
CDK8,0.877078812307358
COL5A2,0.876792549383558
KCND3,0.876104322345211
UBQLN1,0.875880018068108
TENT5D,0.875346356419913
POLR2J3,0.873592604596327
RAB21,0.873341400582488
NBPF4,0.872859859754875
PNLDC1,0.871899494305116
FBXO30,0.869775704100985
LRTM2,0.869752986739065
FMOD,0.869245941173781
ECPAS,0.864265728834506
LRRC7,0.863366229452341
RGSL1,0.863086240942331
MRPL19,0.861520861301987
OXTR,0.860367397093726
MBNL2,0.860191955812402
PPP1R9A,0.858989641001817
RUFY3,0.858334254901582
VAT1L,0.85782984013355
SCAF11,0.857250837380396
PPP2R3C,0.856471216998926
CCDC148,0.856441685793299
PCDH17,0.854062338906198
NR6A1,0.852381665579466
ADGRL4,0.850695382809972
PDHB,0.84819564814102
C2orf66,0.847694752584678
FANCD2OS,0.844804606847034
SNX4,0.844328716748444
CACNA2D4,0.843482362422215
TNN,0.842944364368877
ZNF814,0.84266148562066
FOXF1,0.842389870720497
NOVA1,0.841232931201012
DCX,0.840935830723902
TMEM126B,0.840609196553789
SLC12A1,0.836766955226592
GRM8,0.836013526178402
UNC5C,0.835983596263524
NT5DC1,0.835759718377455
HAPLN1,0.835589678863935
GNB5,0.835549097965066
GCC1,0.833497950749021
NFAT5,0.832465737915129
ADCYAP1,0.829458996743273
KDM6A,0.829298995742819
SELP,0.829084241200171
C3orf49,0.828946135032698
NTRK2,0.828892437294783
ABRA,0.827069695274864
DZIP3,0.825824339353352
BICD2,0.824306672156576
ZNF280D,0.822221062220482
INSR,0.822183147946396
ATP2A2,0.82205759314643
FAM153A,0.822051928413904
AMMECR1L,0.82099265263514
MAGEE2,0.820915537033012
AP2B1,0.820333327004003
AKTIP,0.819489637133042
NEXMIF,0.817702055286369
ZNF385D,0.814675265766129
MEIS1,0.813572480810711
ENST00000294652,0.811634584604704
MREG,0.810172753492282
PUS7L,0.80976891476177
CAVIN1,0.809743690707784
PTBP2,0.808831759927519
ZNF556,0.808758773575948
CPA6,0.807339697293694
SYT16,0.806324305447302
MLXIPL,0.805663815893862
NF1,0.805510067101937
BBX,0.80481364024339
C14orf39,0.804773466430486
RFX3,0.804197280642108
PRMT5,0.803863102342289
CRK,0.803258556468923
CFAP97,0.802380121932622
MLF1,0.801786880117519
BMP7,0.800601721894497
