Gene,Score
TMEM212,0.999697868776288
RORA,0.99813318015278
SMARCA1,0.996226797161143
ELAC1,0.995869006465238
AL121594.1,0.994331099563426
UBA1,0.993815443618482
MTF1,0.99377891716486
CCDC66,0.993243087992427
ARPC2,0.990846126787472
RAP1B,0.990667673838726
C6orf47,0.989888617196382
CHD6,0.989792818777929
BRWD3,0.987430915106762
ZNF37A,0.985665384554853
HNRNPM,0.984243964078913
GNAI1,0.983118451277687
PRPF38B,0.981969288039864
DNAJC10,0.978423656602232
ILDR2,0.97819095258627
PRDM5,0.977963835707396
DACH1,0.975730923857339
ENST00000574641,0.973193130192696
RALGAPA1,0.968683180717974
SLC9A9,0.966868630736544
SPDYE3,0.965604585606095
AL023806.3,0.965498543573272
AC026786.1,0.964580432185244
SLC8A1,0.963882675173743
CABYR,0.962538950224925
MAP3K2,0.960674710311996
YY1,0.959721320508668
UBP1,0.958820045752129
PSMC2,0.957217660842961
ATG3,0.955211089862482
SLC4A4,0.954719341852283
CMBL,0.953770558002932
SH2D1A,0.953562463113557
ACVR1,0.951201963310894
LTN1,0.948307256093913
FKTN,0.947526832927843
FZD3,0.947269936601037
PTPN3,0.946113577530766
SRPX2,0.94505857853486
ZNF23,0.944610776251528
GTPBP10,0.944581707701554
ZBTB41,0.943631016801413
ZKSCAN3,0.940677836437478
KNL1,0.940650750334989
LCLAT1,0.937979089559176
ENST00000631802,0.937633074425099
APC,0.93628937044884
CNTNAP2,0.93583872770431
GFRA1,0.934984225442652
SORCS1,0.934410591797656
THAP9,0.931408856750068
COL26A1,0.93139951966511
BMPR2,0.929754397480663
NCKAP1L,0.929222827130359
NPFFR1,0.927141417733949
CIP2A,0.924531445493413
NECAB1,0.924006082678649
SPDYE5,0.923937556050456
SOCS1,0.92370347191179
BEND7,0.922499863809393
HIBADH,0.918034913123627
DTD1,0.917835071740396
GAS1,0.91759210223204
LRRK2,0.916529389990692
TBC1D32,0.91638537903531
TAFA2,0.915842678703635
ZNF571,0.914140677138796
SPDYE16,0.911536890163232
MGAT4C,0.910953162251222
RBM33,0.910930999567546
MGLL,0.910737465152962
INSL4,0.910581824561197
PDE11A,0.910384411091332
CDCP1,0.910303632449299
FMN1,0.90861978419895
PIK3CB,0.908272103218466
ASB4,0.907036727200511
KIAA0586,0.9061602465445
DNAH10,0.905737289243101
LRMDA,0.905460334371792
TMPRSS11A,0.905250374679711
SPDYE1,0.904520814253018
PRUNE2,0.90423486442644
CCNG2,0.903068956148696
SLC35F5,0.903064421558722
CBL,0.902641955180373
SLC35A5,0.902393466057186
SPRYD4,0.902385351174033
HARS2,0.901014760949536
FCRLA,0.900590282560866
INO80D,0.897288162771678
GNG12,0.893685718989543
CSF2RA,0.89363623348611
PROX1,0.892512956880577
GPR34,0.891839224853557
LPP,0.891744301189348
ZNF451,0.891603046064132
CIT,0.891139967072827
UBE2W,0.891051321356233
MPZL2,0.889002443792047
CBX1,0.888602740476749
UBE2H,0.888209967662505
AGXT2,0.887404659078416
NUDCD1,0.886527406004901
TMEM255A,0.883556506448068
NFE2L2,0.882345590588402
BCL2,0.882319152022406
DCLK1,0.881626159184522
ENST00000622074,0.880801434840285
ENST00000456098,0.879203263773682
CSE1L,0.879101128824754
FAM217B,0.879065060623203
MBOAT2,0.878970322919158
DDX52,0.878067931186567
MLF1,0.877406072379423
ARHGEF38,0.876253145210165
IRAK3,0.874573369066263
PCNX4,0.87405685649801
XAF1,0.870576231999364
SRSF10,0.870001419622839
INSIG2,0.868591543575435
PUM1,0.868060012769788
NIPAL3,0.867725331970681
FAM177B,0.867289865896858
RGSL1,0.86594493076891
NSA2,0.865072835435757
HGF,0.864969179038768
FAM122A,0.863831941353466
NTPCR,0.863202068892202
ZNF141,0.862018848753044
SEMA5A,0.861314816397715
CATSPERB,0.860429814635781
GID8,0.860021812908581
KDM6A,0.859365772130245
PSMA6,0.859344129311329
DCAF8L1,0.859300174388904
ASCC3,0.859106941384259
CNNM2,0.858429357615796
GPR85,0.858073947298899
FER,0.857613174352268
PI15,0.855899969478896
CMYA5,0.855514812300054
KLHDC2,0.855354432812976
TMED5,0.854766366061161
PDE4D,0.854368198563908
