Gene,Score
SLC30A1,0.997866674776522
CUL5,0.994026816583266
RSBN1,0.991044873071506
ADH1B,0.99014141835393
DPH6,0.987271064005336
IREB2,0.985781874047454
XKR4,0.985364801184525
SOST,0.979739186538667
TRA2B,0.975583439263458
MATR3,0.97557559176794
FBXO28,0.971036357561566
DCP1A,0.97072182951466
RASA1,0.967570277262458
GABRA2,0.967144581227209
SLN,0.966296010359141
MEX3B,0.966262882625372
RPS6KA5,0.966010010007744
GUCY1A2,0.965786431227465
AKIRIN1,0.961986500834841
CTBP2,0.961712440165789
SIX4,0.959644520288866
GPR12,0.958728131528089
ARSB,0.958697462644756
ZFHX3,0.956168520541275
PTBP2,0.954058772672321
MGAT4C,0.952953555429249
SP4,0.952129886130909
TNPO1,0.95179345583217
SYT14,0.951177372039762
PAH,0.950998032714761
NR1D2,0.950880653920192
ARHGAP5,0.94879331740392
BCL11A,0.947678850425397
CSRNP3,0.946542017097989
EIF5A2,0.945106165748171
ADARB2,0.944984580676026
SEPTIN8,0.944218979002057
RBBP4,0.944093754439503
MAD2L1,0.943850310773979
STEAP4,0.943426536651716
AKAP5,0.942695101699719
ZNF124,0.94234811622575
REST,0.939705173165968
FAM126B,0.937139459847712
TSR1,0.934642540473861
HIPK3,0.933909961741431
MIA3,0.933850933012421
CYLD,0.933733197655806
AGFG1,0.933033535524767
PCDH9,0.932740032285456
RGS18,0.931832618772175
ASXL2,0.931352833237177
FAM193A,0.931121909342162
YOD1,0.930953174611512
CEP44,0.930097505026189
RARB,0.929122423979428
PRR20B,0.928956905983006
PRR20C,0.928950883157994
PRR20D,0.928571649009362
PRR20E,0.928067179106585
ETNK1,0.926765376104505
TOR1AIP1,0.926468111882635
SH3YL1,0.926258883153407
TMEM170B,0.925349583856268
DYRK2,0.925072549551073
NFIA,0.922500158682372
DGKI,0.921600683192113
KYNU,0.920151782446745
SGMS2,0.919390593769797
TIMMDC1,0.918774742470118
NRXN1,0.918701955000136
JMY,0.918244511349848
ATRX,0.917210298640035
ZNF814,0.915450892258552
FGF12,0.914496989577817
KCNH5,0.913794287733621
DOCK9,0.912748628474248
TERF1,0.912297061775072
LCA5,0.910782886193294
PCGF3,0.910654940021837
DTNA,0.910080535093475
ZFX,0.909792400158394
CETN3,0.909732565086383
REL,0.909204049179548
CD47,0.909078529820772
SYT16,0.908125508551833
SLFN5,0.907407358021196
PLPPR4,0.907039282344539
MEF2A,0.907002654250482
RGS17,0.90624642406768
POM121C,0.906097626436442
TFAP2B,0.904254341458986
SNTB2,0.904134954731034
GPR82,0.903442874523369
FIP1L1,0.903359407192517
ADAM23,0.903059663429423
HMGA2,0.90176164040468
SLITRK5,0.901723712238429
GNAQ,0.901199270358415
CD226,0.900977112552072
THRAP3,0.90018121671622
ARHGAP31,0.899852813789347
DZIP1,0.899694294922845
KHDRBS1,0.899319655764154
CELF2,0.899071902358018
SCAI,0.898586261595634
SLAIN2,0.897983230361426
MBNL1,0.897983068251269
STX7,0.897818601669154
RIT1,0.89659067203712
BRWD1,0.895450090955896
ZNF606,0.89544064551812
HLTF,0.895193074828578
AFF4,0.89466498261804
NSA2,0.893410665851659
DR1,0.893040778747086
NAMPT,0.893032795205638
HECTD2,0.89222004768078
FLRT2,0.89173260339653
GTSE1,0.89114381020716
NLGN4X,0.890693303628081
CCDC88A,0.890690814489249
BICRAL,0.889259117820295
APPBP2,0.888668507056339
EIF4G2,0.888427939643555
CPEB4,0.886776002104056
SH3BP4,0.885868535567061
DDX3Y,0.885369082985535
SMC5,0.885168240565998
NUDT3,0.884062220359273
RBM20,0.883930533246395
RCOR1,0.88392358862393
SESTD1,0.883827724817269
ENST00000558190,0.883709789362055
GPR180,0.883258973211981
GXYLT1,0.882637684912205
PPP2R5C,0.882443976008131
ZNF695,0.88240845339971
PEG10,0.882301824338812
EPG5,0.882219281216179
INTS6,0.880599992987093
CRY1,0.880317615818734
BORCS7,0.87956368407333
LIFR,0.878613431039516
FAM98A,0.877338472043729
