Gene,Score
RSBN1,0.999208588445042
ZFHX3,0.991398116026324
RGS18,0.984783223862324
YOD1,0.982401798436232
LYAR,0.982153507065695
TMEM170B,0.979523650810307
PDCD4,0.976408949898955
GDF6,0.975721750658967
ENAH,0.972268162969893
HOOK3,0.967079370985752
DIAPH2,0.964143451977429
SLC30A1,0.963361157793397
CSRNP3,0.958057416876809
CUL5,0.957528359389259
C11orf87,0.955378108473159
AKAP5,0.953203351179827
ELAVL2,0.952906039140302
MMP8,0.94620163074321
UBE2D2,0.946122293495456
OTUD7B,0.942900487707309
CCL28,0.940620394152948
FAM177A1,0.940494843143072
MBNL1,0.939552552442439
SOST,0.938876227470837
HNRNPA2B1,0.936959733846695
KIAA2026,0.932996223385828
NAA25,0.932709012622713
SP9,0.932652736318941
IREB2,0.932148015455059
CENPH,0.927929599445541
AMOTL1,0.926093439423231
FBXO28,0.925759943684555
SPIN1,0.922413079273251
CITED2,0.921178320193578
FAM98A,0.920799386527145
INTS2,0.919701458689675
STX7,0.919223493134822
RPS6KA5,0.918251041356022
PDE7B,0.917045898189965
GUCY1A2,0.915357564509639
XKR4,0.914896812438538
GABRA2,0.914891590430619
HAS2,0.913790693581906
HNRNPR,0.913490305852729
SFTPB,0.913005166432773
ARHGAP5,0.911640297840077
CCR2,0.911558212644507
MIER3,0.911423426044028
ASB4,0.911419863995304
PSMA3,0.911278634221059
TARS1,0.911216505420839
ACVR1C,0.907787999659538
MAD2L1,0.907194872271361
ZBTB25,0.905864989774022
JMY,0.904093280051581
RCOR3,0.902431098037509
ATG14,0.901797001756843
ANKRD50,0.901123999799325
TNPO1,0.899513004104632
PIK3C2A,0.898895895980146
TEX15,0.898778866720225
BDNF,0.898452605408865
PRDM6,0.898389896408871
AQP11,0.897954939682623
FBXO11,0.897390989892933
MTPN,0.897306209462291
USP53,0.89679380714625
DPH6,0.896679499394195
KBTBD8,0.895077093215055
DMRT2,0.894244058427834
PTBP2,0.893755683295787
ALG11,0.893090360976695
TOX3,0.892891033199545
SH3GLB1,0.891939376367524
LCA5,0.891168986271517
ZNF148,0.890776284677869
RAB3GAP2,0.889294254161557
CCDC91,0.888652369258656
CPEB2,0.888155179582616
FAM118A,0.887398947158769
BICRAL,0.887063376589074
EIF2AK2,0.886236947390816
TRA2B,0.882713012347212
INTS6,0.882630253218545
GVQW3,0.881456951814765
KLHL28,0.878678458231273
NR1D2,0.877300844046043
TLCD5,0.877217663906594
CROT,0.877126704482809
SLN,0.876954842583793
MGAT4C,0.873339312304866
RELCH,0.871078866512507
DOK6,0.870985484055817
ATRX,0.870516557948809
SESN3,0.867843264448142
KIAA1143,0.867484570060413
BORCS7,0.867480689117316
FAM122B,0.866754426332519
PLEKHA3,0.866627546381139
PPM1L,0.866365076329268
LLPH,0.866096195894168
GPR82,0.865664813242487
GTSE1,0.865137524690564
AGFG1,0.864347447572973
MMP16,0.863584586135168
MIA3,0.863509856459737
ZNF606,0.863503739590689
ATF2,0.863444081015531
TENT2,0.858968014428085
SLITRK5,0.85864397971609
RNF111,0.858427051114698
PUM2,0.858053752211573
DCP1A,0.857114906427237
FGF12,0.856443708339536
CD47,0.85538182801457
INMT,0.855280371089472
FAM228B,0.855074268226034
AKIRIN1,0.854931235706802
FAM135A,0.854581148832639
REL,0.854166020696387
ESR2,0.853579036401341
MYNN,0.853207085183334
ZNF627,0.853011774588573
DAG1,0.850534698006105
PJA2,0.850497830667148
TSR1,0.849647359018016
BMPR2,0.849581217343309
DOCK9,0.849575746186374
ZNF814,0.848813806199624
QSER1,0.847039952772332
NAP1L1,0.846901544086867
MAP3K4,0.846748332091673
LEMD3,0.846239142685845
C3orf14,0.845526896604654
ARHGAP6,0.845409243722285
VGLL3,0.841991179138384
POU2F1,0.841695402709068
ENST00000374710,0.841682884326188
ASXL2,0.841166875226264
SGMS2,0.840591527713878
REST,0.83977903433114
LNPK,0.839256489945941
MOSMO,0.839156695717533
FLRT2,0.839082850253474
RNF7,0.838604459373872
TMX3,0.838044683395924
ATP7A,0.836490228404914
PER3,0.834602034899521
SOWAHD,0.834169174468266
DCHS2,0.833542085259298
DYRK2,0.832470913753543
CPEB4,0.831099959025704
TDP2,0.830354753466719
WDR41,0.829921549006966
ZEB2,0.829832499621992
TNIK,0.829398989926246
SLFN5,0.82898648763666
TRHDE,0.828821171156276
TMEM106B,0.828046664002053
POM121C,0.82780487936243
CYLD,0.827572482145794
PURA,0.827475305365134
NABP1,0.826433655036584
TMCO1,0.82624561420866
ZNF207,0.826004195534579
NACA,0.825967640737715
PLPPR4,0.823527024603919
GMFB,0.823009415013604
KLHL24,0.822160313615927
SYT16,0.822093663688186
TXNDC5,0.822012618572944
REEP5,0.821586793289878
ADH1B,0.821156618906008
RFX3,0.819919149118876
NPAS3,0.819736128485498
LIMS1,0.819607489436001
AMOT,0.818980583143812
GABRG1,0.818760085934657
KDM7A,0.817961047487392
ZBTB8B,0.817388982514729
SIX4,0.816997509800787
PCDH9,0.816873417462092
CTBP2,0.81523641436417
EBF1,0.815048789581496
RBBP4,0.814526911670761
NRXN1,0.814244274801528
KYNU,0.813829116254971
GDAP2,0.813806006315293
SCAI,0.81346802900243
RAB10,0.813054829838287
NAMPT,0.811849439798753
SLC25A3,0.810811316926932
EPS15L1,0.809693801318551
FXR1,0.809313745282137
ZNF124,0.808686077447721
MATR3,0.808428369016197
MEIKIN,0.80815284120968
CREB5,0.808113170627676
ADGRG2,0.808048086581976
BIVM,0.806661426721887
STK39,0.805977343056362
AKAP7,0.805901711805246
MBD5,0.805786077003219
ZBTB37,0.805741611015216
CEP44,0.804878622562487
THRAP3,0.803860259694971
STEAP4,0.80368690279986
LIFR,0.803367612501286
TNRC6B,0.80274721010777
ABI2,0.802478447787475
NR2F2,0.801760589896502
NKTR,0.801615668392154
DCUN1D1,0.800713110553934
SRSF1,0.800125905860441
BCL11A,0.800080904396647
