Gene,Score
OAS1,0.996452192838093
EPHA7,0.978888276511682
GLIS3,0.971502960245133
SHOC2,0.970130055489648
RPS6KA3,0.968416160910305
RAB21,0.962134834142741
E2F8,0.955846413327935
AP5M1,0.95552371580544
IL31RA,0.954462337014997
FLRT2,0.952704406427907
RSPO3,0.951392636140921
NEXMIF,0.951339997169719
SCAF11,0.949557138265492
ELOVL6,0.942990244331036
STAG1,0.942107597364668
VTI1A,0.939201560317771
ZNF708,0.933842897440015
DNAJC10,0.93366136966467
IBTK,0.930707168125696
PLXDC2,0.930230075678135
NLN,0.929985215385891
PRPF40A,0.927766482363446
DTWD1,0.925229160386096
PJA2,0.924938288517187
PBX3,0.92454595052491
DMD,0.922509231301641
KCTD16,0.922045598834544
ALDH3A2,0.920213873803731
MRPL3,0.919888341412502
A1CF,0.919844862342193
ADIPOR2,0.917833809547963
LPGAT1,0.913476033652559
SLAIN2,0.912770926393166
MUC15,0.912728974528109
UBR2,0.908744326402256
RICTOR,0.907811338088626
SLF1,0.907477515791315
SPAG9,0.907324184219855
ENST00000308100,0.906890293326571
ATRX,0.906858276092678
SLC22A15,0.905038495753365
DNAJA1,0.903353417185326
SNX20,0.902263582947378
MGAT4C,0.900311129037454
GPR180,0.89981668532395
DHFR2,0.899289623913357
CDH8,0.898344852851866
ENST00000298472,0.895901995283732
SUV39H2,0.895858859274369
THEMIS,0.892693580172583
ZFX,0.890867835147378
CREBRF,0.888621090494493
NDUFS1,0.888125304580526
MAPKAPK5,0.886445538614342
LRRK2,0.885291507001885
C16orf46,0.883885905336243
GTF2A1,0.883146007730812
ZMYND11,0.88142851955611
FZD3,0.878993721654461
ISM1,0.878190522673038
LIPC,0.877840759371987
MTPN,0.876330267972678
MAP10,0.876233995634577
ARAF,0.872638294924502
CBX5,0.872378373437796
TXNDC15,0.871721155838762
CLDN1,0.871612542572434
GRIK2,0.87088618574521
PTGR2,0.869865971195537
CADM2,0.869118012006644
DGKH,0.867634876884605
CLSPN,0.866181097980336
BORCS7-ASMT,0.86554010436384
PLEKHG4B,0.864256849468024
PDCD1LG2,0.862241505492884
COX11,0.86176217790403
KCNH5,0.859970379828316
PARP11,0.859027495548772
DACH1,0.858518940853369
SYT14,0.858233403807417
RPAP2,0.85738565321889
PCDHB7,0.856365344209046
AL365205.1,0.85625971748343
SIX2,0.856001006462147
LHX9,0.855731277780734
PIGK,0.855605902009793
VSTM2B,0.854518045901398
ENST00000367895,0.853861732646654
HIPK3,0.853818937440279
C4orf54,0.853412451928515
MS4A4A,0.853401230528465
GRPR,0.851419582666955
FAM168B,0.850752616508723
PPP4R3A,0.850257301915495
APAF1,0.849125976713204
ZNF519,0.848891668266057
NECTIN3,0.848727273854725
RASSF9,0.847961742422472
RBFOX2,0.847604880864236
GRIN2B,0.847559353050287
FGF13,0.847358639106
PANK3,0.847157714350113
BMS1,0.846703878286249
USP15,0.844631635816171
PAXIP1,0.844619679892512
ARFIP1,0.843599867653245
ZIC4,0.842985845703022
CCDC38,0.842453883307818
AMMECR1L,0.842439011854534
SRSF1,0.842303217554934
BPY2B,0.842134587372925
ZNF680,0.842045335827291
BPY2,0.84172167467977
BPY2C,0.84170718692137
SCFD1,0.840835859307888
KLF11,0.839050336974264
STAR,0.8390063830908
CAND1,0.838801902178767
FAM126B,0.838790058200339
ADH7,0.838787906095761
PRTG,0.838498975415821
LANCL3,0.838167939406359
SLC8A1,0.837831409516124
KCNJ15,0.835824423429842
CDC40,0.83546984314234
PLCB2,0.834841216793766
CTCF,0.834401517803321
NUP107,0.834140927477462
NTRK3,0.834043170072421
RCAN1,0.833511318812551
SLC14A2,0.833137512732439
VGLL3,0.832763633563417
ZNF525,0.832760791311839
ZNF773,0.83214627298579
TMEM215,0.832128802221579
EBAG9,0.831608904136489
RCHY1,0.831498149065291
AVL9,0.831379691329106
NUDT9,0.830514943188822
SLC38A4,0.830423738996887
VWC2,0.830402939540263
CLTRN,0.830352449221308
MAK16,0.829229281977488
NCKAP1,0.82860051728955
MANEA,0.828258314445747
RBAK,0.828242936483827
BMPR2,0.828066522277112
NKTR,0.827799127477795
SPINT1,0.826823035733021
SERPINB3,0.823263313003405
CPSF6,0.823059453210534
AFTPH,0.822264336718299
AS3MT,0.8217031830961
BEND7,0.821163633321227
EIF4G2,0.820898546337898
KPNA4,0.819204567917088
ZNF660,0.818367694383089
ABI2,0.817621955756718
CCBE1,0.817008247195723
DOCK9,0.816309947504227
RORB,0.815990733122963
DDTL,0.815769962542169
RPS6KC1,0.815337100246208
ABCA13,0.815237029623379
MRFAP1L1,0.815160852145209
ZNF121,0.81504571404295
PLPPR5,0.81404000418929
ABCB7,0.813647048272891
DIP2C,0.812464013622156
HNMT,0.811875502741918
ZNF432,0.810466197677788
FBXL20,0.809161997477294
RFX7,0.809034149977199
PDE12,0.808380459742868
CGRRF1,0.808138495803372
PIN4,0.807031492514039
GPR83,0.806790234193665
AL135905.2,0.806348046476019
LNPEP,0.805939901114831
ADGRL3,0.805893044768893
IRX1,0.80554731761392
ZNF813,0.805517882165346
PDCD10,0.804865909836633
FEM1C,0.804850439874429
CPNE4,0.804755875317148
CFL2,0.804652918704497
NAALADL2,0.804029696919314
GNAI3,0.803558704706057
PHF10,0.803475731801572
RB1CC1,0.803017729091818
MEI4,0.802802342604346
ZNF185,0.802117744883719
