Gene,Score
LHX9,0.999713696634598
SOCS7,0.999167653195901
ELAVL2,0.999088177073284
API5,0.998989299803089
FLRT2,0.998895310337633
HDAC9,0.99832681531052
PCDH9,0.99795733304505
ARF6,0.997715667788799
GTPBP10,0.997220322387943
TMEM106B,0.99642142728338
SOX2,0.995858711864028
DNM3,0.995299057254779
NLK,0.995262023460655
MGAT4A,0.99456777677439
DDX5,0.994273905572218
RFX3,0.9942180988599
TRIM67,0.99393072468756
GCLM,0.993898962728566
RBMS3,0.993764447379822
NBPF20,0.993749799399546
PARP8,0.993184511211395
GAD1,0.993142146615202
RNF128,0.992717930000547
MGAT4C,0.99234882437305
SUZ12,0.992266829493976
GRIN2B,0.992251581552778
ENST00000521891,0.992024900472606
TARDBP,0.991568257056397
SLITRK5,0.991106383625688
MEX3B,0.991084217089656
ZNF69,0.990637656488508
ALG10B,0.990587042843354
TSPAN13,0.990574050287348
HIBCH,0.989427104820268
MIER1,0.989044810808071
ERBB4,0.989024841270131
RBM20,0.988999835276582
CEP78,0.988799512518346
TTC14,0.988797127047679
CCNT2,0.988442211755097
METTL14,0.988306914892356
ATAD2B,0.988262288894973
ZC3H14,0.988062384759842
FEM1B,0.987720836317179
GFPT1,0.986724933049442
SPATS2L,0.986380501637772
ROBO1,0.986309367055202
ACVR2B,0.986188051251803
NBPF15,0.986007081342322
SLC8A1,0.985226990070388
TBL1XR1,0.985042249302279
TENM1,0.985019137765891
LARP7,0.9842055921251
GSPT1,0.984005365049906
ENST00000558084,0.98387550400433
ACVR2A,0.983667032629024
TMF1,0.983608816162975
THAP2,0.983334554178031
LIN7A,0.983002314601044
ATP8A1,0.982997332996265
CCND2,0.982957014873032
NEK7,0.982446225414432
MIER3,0.982140785689323
ABI2,0.981962932718142
NDUFA5,0.981862778494567
CPD,0.981818615995528
FAM122B,0.981685259384688
CD47,0.981456746660255
ONECUT2,0.981358449995324
CSPP1,0.980674155684007
GJA1,0.980555850503561
AP5M1,0.980366283994523
FAXC,0.980322039821286
PDE7A,0.980170240703995
MDGA2,0.979851105660807
NCKAP1,0.979521888428954
XKR4,0.97941024065213
VAMP4,0.979328017844142
ALG11,0.979187333159154
SMAD2,0.979153655731079
SLC44A1,0.979058980449624
ZNF148,0.97852269087098
SAMD8,0.978247268665427
CRK,0.977673630294279
TNRC6A,0.97757461360698
NRP2,0.977410848272253
DDHD1,0.977408816010163
PSIP1,0.976702137389544
PLEKHA3,0.976071051848899
CASK,0.976013701874137
PAPOLG,0.975962905061083
PHTF2,0.975749596245515
ZBTB37,0.975646050345832
MAB21L1,0.975503194918564
GPM6A,0.975490277518847
MRPL42,0.975404163391539
OAS1,0.974326692171869
CREBZF,0.974267187538432
WASHC4,0.97425318960111
ABHD18,0.974224808801237
RASA1,0.973932619008331
MBTD1,0.973896947398394
CLVS2,0.973640107848696
NEK1,0.973250664140323
NIPAL1,0.973132772695782
SMCO4,0.973003706015463
DGKH,0.972935828807044
CDK12,0.972431350098297
REEP1,0.971482525791837
ENST00000456098,0.971343456600698
AGO3,0.971212760873981
PGAP1,0.971161717081111
EGLN1,0.97107696203535
NAA30,0.970992556975437
RYBP,0.970980118798543
YTHDF3,0.970658328550976
ZNF367,0.97058811118036
ZNF26,0.970467113138149
SYT16,0.970361036742341
SUCO,0.970259861460564
INO80D,0.970003551852533
MYO5C,0.9698673822231
DDX25,0.969759254307496
TM2D1,0.969507953769092
ENST00000628277,0.96912087524209
CEP85L,0.969026848747014
NBPF12,0.968899339876756
GSPT2,0.968841973741127
APOOL,0.968818163372001
SLIT2,0.968795533320966
MTDH,0.968678095212261
ENST00000481445,0.968618922671652
SOCS4,0.96846902434169
UBE4B,0.967987881267982
ZDHHC21,0.967665159621788
UBE2D1,0.967648544797166
PREX2,0.967605388340128
MEGF9,0.967545458675339
FIGN,0.967475365496538
ENST00000584874,0.96697475174239
DTNA,0.966779398478063
CCNY,0.966714579870434
ZFYVE16,0.966390374802913
RGS17,0.966179936760278
TLK2,0.966133286844362
FBXO30,0.965519139125023
RC3H2,0.965519083966519
VPS26A,0.965106979511829
ENST00000558190,0.965102457849657
LGALS8,0.964778723237093
RNF111,0.964320970888516
CCDC138,0.964238825482023
ENST00000306867,0.964086010077213
MAP3K2,0.963975890450772
ZNF23,0.963902693104195
LOX,0.963734271917948
SLC35A3,0.963622640557654
ABHD13,0.963592138526415
HELB,0.963245328594174
AZIN1,0.962876781839017
PDS5B,0.962753987114046
FGF7,0.962713399178257
ANP32E,0.962663018834827
BDP1,0.962597303183563
RELCH,0.962056039315838
PRPF4B,0.962004172373689
LARP1B,0.961977488269842
SKP2,0.961971992583546
TOR1AIP1,0.961901703629889
LYPLA1,0.961621847771958
PTBP2,0.961553593987746
DENND4C,0.96143776979892
ALKAL1,0.961435701363972
RUNX2,0.961265189142578
GNAI3,0.960952424882298
FAM13C,0.96039107329552
LEPR,0.960324194232826
SPPL2A,0.959902916774005
ATXN1,0.95976977262111
CCDC68,0.959278189905363
IDE,0.95926496063982
ENST00000392845,0.959142430069451
TLCD4,0.959061208792106
MAP1B,0.958541280939617
IRX2,0.958500120837351
TNFAIP8,0.958212694038603
IGIP,0.957723750030921
PIK3CA,0.95752049894028
NEGR1,0.957504474817566
SLTM,0.957464555090264
TAFA2,0.957176254851387
ZNF546,0.957077667440835
SENP6,0.956806588004868
DOK6,0.956515904097894
PUS7L,0.956385371750285
DCUN1D3,0.956378870097243
XPO1,0.955936543315815
SUGT1,0.955668329752878
MACROD2,0.955590400716475
PTPDC1,0.955460211070885
FAM9C,0.955314734053055
STXBP4,0.955301722566778
WAC,0.955174149281012
USP15,0.95496054451396
TRAPPC8,0.954601343199367
ZNF207,0.95442249412965
KLHL2,0.954394354811556
REV3L,0.954315044787882
CAMK4,0.953987489748696
MIB1,0.953923530424063
ST8SIA4,0.953781229100313
FUT9,0.953375495093119
FMR1,0.953031289605245
SLC16A10,0.952975331114597
THAP6,0.95272962949952
SEPSECS,0.95238732824039
FNBP1L,0.952286269490292
PTBP3,0.951810514138476
ZNF521,0.951807205713245
BCL7B,0.951786237596991
TMEM30B,0.950711704381387
RBPJ,0.950601493329268
IFT74,0.949887182086519
NR6A1,0.949632473094545
POGLUT1,0.949508237423343
STOX2,0.949418060415933
TSPAN12,0.94933512653411
GABRA4,0.949319788891104
TMOD3,0.9490318604124
PEG3,0.948618345958123
ZNF326,0.948334902089274
ANKRD44,0.948299793421204
BNIP3L,0.948237033872917
SPDYE3,0.947891255472336
MAPKAPK5,0.947863976389027
GIPC2,0.947740379788205
RASA2,0.947509534018127
KCNG3,0.947462558128628
NUDT10,0.94724873131215
TMEM260,0.946809435090871
DPY19L4,0.946552414729495
ENST00000373985,0.946405339168811
PRKAA2,0.946209660354494
NEK5,0.946159525902149
NMT2,0.946152600175817
EDIL3,0.945949700513242
FRRS1L,0.944937127842701
IRAK3,0.944926757198408
WDHD1,0.944839163070524
LARP4,0.944709516577052
SEH1L,0.944664829633608
TENT5A,0.943815064826436
SERINC5,0.943749490641171
TNRC6B,0.943143266886651
CNOT8,0.943123564192486
CBFB,0.943007524977017
ZNF518A,0.942931112736507
DDX52,0.942900199812878
CYP2U1,0.942783111801
CMC2,0.942765752142022
C14orf28,0.942704739189717
SLC36A4,0.942691170381852
MPHOSPH9,0.942557188269311
VWC2,0.942484053146104
VMA21,0.942469761883598
AC139491.7,0.942231827031357
TULP4,0.942231768441912
ACAP2,0.942219578978144
NFIA,0.942213848959506
COMMD2,0.941958362911671
ATP7A,0.941879384898693
RBM25,0.941640926447704
MGA,0.940973463226528
C1orf127,0.94060375497125
ZBTB33,0.940567435954543
PRICKLE2,0.940558314438392
ASF1A,0.940472187695937
RPAP3,0.940226795883548
TET2,0.94012606513828
AGAP4,0.940037495001543
LNPK,0.939929681545842
PRLR,0.939904257694358
MAMDC2,0.939829603400066
CPSF6,0.939819703904351
XYLB,0.939770747101128
MOSPD1,0.939593951097186
ENST00000360971,0.939577969315491
HSPA13,0.939217478920208
SPICE1,0.939152834907571
CCDC85C,0.939002149386233
TNFAIP3,0.93861175494803
TMEM87B,0.938440409117837
HIPK2,0.938342536741633
BICRAL,0.937833645635089
NADK2,0.937609506627762
HDAC2,0.9375882009616
NLGN1,0.937538647737697
KLRD1,0.937280074839137
PDCD6IP,0.937129717161111
FREM2,0.936961924404829
