Gene,Score
ELAC1,0.993675662469883
DBF4,0.99295492997034
FOXG1,0.990015592612953
DACT2,0.989835951471171
C2orf88,0.987623876863175
SETD5,0.987147286387801
ALMS1,0.986248714544937
DKFZP779J2370,0.985796628625301
DSCAM,0.985062790041216
TMED7-TICAM2,0.984402730648174
FAM179B,0.979437021949074
NARG2,0.979090371686025
VANGL1,0.978223857916985
KIAA1429,0.976782587656488
GNA13,0.973595165685834
KIAA1522,0.972142894651297
ESYT3,0.969727771186734
NKX3-1,0.966520912221328
BMP2,0.96600117399207
JADE3,0.96519999437032
CIR1,0.964654452802167
KIF3C,0.964647424954957
NCR3LG1,0.964181100591785
MSI2,0.964072651236996
INO80C,0.962950436267277
ACOXL,0.962403162906445
SLC5A10,0.962025348813002
KBTBD7,0.961018120576314
NUPL1,0.96056738461548
WDR16,0.959760773966005
COL24A1,0.95907129521349
ZFAT,0.958297124227982
PIGS,0.958063983640154
KIAA1958,0.957024734488147
AMMECR1L,0.955875784029369
PLAGL2,0.955423796623578
C1orf158,0.954906133088197
CNTN5,0.954825297950916
RBM14-RBM4,0.954178397063812
ITPRIPL2,0.953242930389427
NDST4,0.952574832577773
USP6NL,0.951597409317407
ELK4,0.947962012227365
WDR31,0.94634999587073
NUDT9,0.946056359806923
PTPN11,0.94584407202508
HOOK3,0.945758100929139
GPN1,0.94382467519285
SSPN,0.941734339580632
FAM215A,0.939920579425891
VPS35,0.934885233486414
HNRNPA1,0.932772753401511
C17orf74,0.931162222424243
CTD-2368P22.1,0.930628774487614
NT5E,0.930212190294797
PRPSAP2,0.929589129973793
ATP6V1G2-DDX39B,0.929393954690836
FNTA,0.9283725638408
ZNF134,0.928171054802691
CCT3,0.926639346690844
TRPC3,0.926482632472574
C17orf72,0.926032782641529
HLTF,0.924648482988384
IRAK3,0.923640619695341
SNX25,0.921205824796106
TMCO1,0.92028723091461
RFXAP,0.920087531186485
SHPRH,0.919059262606869
GLIS3,0.917347334399585
TLK1,0.916618635983879
DHX36,0.916589292402366
PRR23D2,0.915367863298439
PRR23D1,0.915137389095389
SFSWAP,0.914971714235461
MSH3,0.914414272465004
MTFR2,0.911290805430442
SRSF3,0.911233867645636
KDSR,0.911035187842303
RAB10,0.910289451781486
ADAR,0.909406793169105
RPN2,0.907762893569495
TRPM1,0.905793045164601
HERC2,0.902462296149479
FOXN3,0.901505915809213
PIM2,0.901401761739623
DCBLD2,0.899004160669068
WDR75,0.898841922067912
NAE1,0.896827292465623
FAM219B,0.892232504746963
PSMA5,0.891478875756977
KIF26B,0.890897352936268
PITPNA,0.890609378210015
EFNA5,0.890393070048784
FANCA,0.889925216764065
PDIA4,0.889511697838683
NCBP2,0.88854079808987
C14orf132,0.887114896147379
C12orf29,0.886111682400591
PTK2,0.885581142926639
PRR23C,0.884287377903674
MNAT1,0.883967611388953
GOLPH3L,0.883933651507545
IL6ST,0.883917533755379
SFTA3,0.881618958054858
NRG4,0.881570031718824
IGF1R,0.881491553462723
FAM8A1,0.878861006888543
CCR7,0.875746467629788
OTUB2,0.875633700998105
TMEM106A,0.875505737021951
DMXL2,0.875261561053348
NEUROD1,0.874546394016296
ZNF507,0.873741341896611
ZNF511,0.872522841766974
PRR20E,0.872267761723089
PRR20C,0.872002033900926
EML6,0.871325858186672
LENG9,0.87128062787073
LCA5L,0.871217038430526
PRR20B,0.871051140403629
SSH2,0.87011619308497
