Gene,Score
ATXN7,0.993893012386241
TRIM4,0.986924089621033
YWHAH,0.985311040880487
ENST00000398512,0.936530810351145
AC134669.1,0.9322357248905
IFFO1,0.926127237880552
PLEKHG1,0.918982827968435
RCC2,0.910601275958459
BTBD19,0.909303789161739
ENST00000614096,0.898723846525016
RICTOR,0.880955143452343
ZDHHC5,0.867678063860186
PRKD2,0.864662009158812
ENST00000392438,0.861301573813987
DDX56,0.859205461836063
ANP32A,0.849583227868195
AP002990.1,0.842313920872504
ENST00000277541,0.837924718515922
AC005943.1,0.836689262891163
GATAD2A,0.834655782321402
SLC16A1,0.831058179647594
TEKT3,0.827644771955102
IRF2BP1,0.826779958562104
CKB,0.825770289923346
ATP2B3,0.819749064188604
FAM83F,0.816238124858371
IL1RAPL1,0.815320558015173
KIF1B,0.814857310915239
GLI2,0.813090077187748
AC099518.3,0.810672369769473
TRIM71,0.809022331276462
INTS8,0.806938892187067
CIT,0.806188026888949
JAK1,0.801041740721541
