Gene,Score
ZDHHC21,0.991105099487971
FAM107A,0.973722055692143
PTPN4,0.973363426826849
CBX1,0.96826866058706
ERVW-1,0.965415969009226
LRMDA,0.95550077836045
SRSF10,0.955077742635405
PRR23D1,0.952851354056114
PRR23D2,0.952808332834171
LIN7A,0.951276877577331
ARHGEF33,0.93523496345373
TGFBR3,0.934988186083101
SCN3B,0.933392283843303
LGALS13,0.927117847000149
WASF2,0.92646435393349
RNF38,0.923348707845557
ZFX,0.920325481807141
PEX5L,0.915868734481466
SORCS1,0.915646355416005
HACL1,0.911911767891208
ZNF429,0.91108969567193
ZBTB4,0.910496078673206
PECAM1,0.9094617910872
MARCHF6,0.9090567558249
HAO1,0.907742635014396
SH3KBP1,0.900370384528983
DDX59,0.899490049544443
NBN,0.898455399643788
TEX9,0.898256875974262
GFOD2,0.894251321863819
MECP2,0.89249188399104
CPEB2,0.890767823994131
TBC1D9B,0.889771874938315
ANKRD50,0.887624282611909
PCBD2,0.887113243356027
NCR3LG1,0.886527328270377
LPP,0.884636920845027
NUP35,0.882491459472667
KAT2A,0.882285078207758
ENST00000607157,0.881431827027249
C10orf67,0.880485609239503
ENST00000378004,0.878813623113686
ESR1,0.878359007648213
VWC2,0.877648413848555
KCNC2,0.877199120049965
RANGRF,0.876952480520798
CREB1,0.876006120519395
CELF2,0.875075906879955
TMX4,0.874714059328078
PAX3,0.873169296926418
DCC,0.871561732521989
EXPH5,0.870815430206951
TAF4,0.867673902677947
SH3PXD2A,0.867241232319477
SLC22A11,0.866933212993312
LILRB4,0.866926210967856
ENST00000546136,0.866305757445668
CSF2RB,0.865613532696834
IFT74,0.864890406682041
CTSC,0.864600297731421
TERB1,0.862639651651542
ARCN1,0.861922745196574
IER3IP1,0.861738424767419
GPRIN3,0.858684634815034
ZNF773,0.857623612730925
PKNOX1,0.857565971176215
HEMK1,0.856166795508451
TMEM178B,0.856158836445324
CC2D2A,0.849568977826379
TMED3,0.848503910181985
ZNF532,0.848345358120821
AIDA,0.84763324108369
PBX1,0.847480101392177
PTCD2,0.847162794623029
ALDH1A1,0.846090463102881
VAPA,0.845334443093523
TMCO5A,0.844398857373665
SLC25A23,0.844251586980072
PCDH9,0.841810612487527
PDE4DIP,0.841451520187895
FAM71D,0.841093454091135
PCBP4,0.840325115975948
CNOT7,0.839430219980914
HOXD10,0.838900403508596
ZNF474,0.838778117990646
PFN2,0.838476933880807
KCNC4,0.837225780169246
KCTD7,0.836939379308996
SPECC1L-ADORA2A,0.835587561699093
C8orf74,0.835468661899166
PIK3CB,0.833024317992295
PDZD9,0.832324544027048
TRIM44,0.83169812357823
RIOX2,0.831503765987598
ARF3,0.830133417004423
HIPK2,0.828829915001429
PROM1,0.828714508717397
RHPN1,0.828366430808374
ENST00000419748,0.827491029657174
ENST00000558084,0.8265280575852
IRAK4,0.824956779459167
PHEX,0.824369673731307
CDKN2B,0.823962979990831
ADCY6,0.823417069329524
CD200,0.823203535645909
USP15,0.822177892080525
ST18,0.818367469580446
GNAI3,0.818022917752918
FLRT2,0.817618271085998
RGP1,0.817095727948318
LGALS14,0.816384539630762
FRMD3,0.816295739054533
PRLR,0.814642670436317
ARID2,0.814601190572649
ADGRF2,0.814515252893473
NCOA1,0.814210099344874
DIAPH2,0.812689496017765
ANGPTL3,0.812326407066618
POU3F3,0.811205550083705
ETFRF1,0.810336795476662
BEND7,0.809250737587594
ENST00000456098,0.808915346054243
DLGAP2,0.807592381245516
ZYG11B,0.807539968662722
DMAC1,0.806837223141414
DDX10,0.805566874367445
ZNF502,0.80374528269416
ASB8,0.803402719496834
RPL37,0.803242249208131
ZBTB5,0.802636557657194
RPAP2,0.802508228976013
ZNF292,0.801844515778308
CYSLTR2,0.801586252544624
SYK,0.801573039144862
NFIA,0.801445003468312
INTS6,0.801127867876186
ZNF181,0.800339752975599
TBX21,0.800112788857285
