Gene,Score
MGAT4C,0.999747579500943
CREB1,0.999669969358153
EPHA3,0.999060326321124
MBNL2,0.99796563624151
ZNF273,0.997890580422096
ZNF708,0.997862799085361
ZNF99,0.997764063672621
ENST00000282030,0.997481882400879
TIGD1,0.996788143111868
FLRT2,0.996419939967504
SCAI,0.99588605954001
DCUN1D1,0.994440507452998
SLC8A1,0.994267878388785
RGS21,0.993919838056007
AQP4,0.993477951024634
SLITRK5,0.992986960058965
ZNF493,0.992879857128192
RESF1,0.99267345310968
HNRNPLL,0.992646334015267
PHC3,0.99254497782973
LOX,0.992535736335952
ZNF117,0.992338777659047
ZNF800,0.992015833155873
TENM1,0.991763227157879
ENST00000456098,0.991245889695186
SMAD2,0.991127271487138
HMGA2,0.990866374756835
ZBTB37,0.990643887660769
FXR1,0.990430614782263
JAKMIP2,0.990179350089997
YIPF4,0.989706842960035
SRSF1,0.989416216205114
ZNF92,0.989270866076646
CACNB4,0.988877949089688
PCDH9,0.98877750683198
TMEM106B,0.988442912266045
KLHDC7A,0.988433464108194
CADM2,0.988416881348313
ZNF138,0.987949267198165
CCDC14,0.987816313516343
XKR4,0.98763047947887
ODR4,0.987338808826947
FCHO2,0.986245282894566
PARP8,0.985789766117241
RIF1,0.985071000056072
KBTBD8,0.984569311076331
ZNF536,0.983754923946977
ENST00000379264,0.983749677454378
EIF4E,0.983358614217089
GULP1,0.982574993140387
POT1,0.982560799675738
PPP2R5E,0.982438329396531
WASHC4,0.981621431779579
SF3B1,0.981159591802755
PMP2,0.981133619210387
GNAI3,0.981046592869899
ZNF107,0.980898681016478
GCNT1,0.980718748442891
ABI2,0.980289609614976
SESTD1,0.979618047194917
CCR6,0.979362138108287
XRN1,0.978997674269867
ZNF367,0.978608962615229
PCDH17,0.97841368574803
CPEB2,0.978188180627976
VANGL2,0.97813001824169
KMT2A,0.97784604706898
ZNF257,0.977804197330378
WDR82,0.977256508143398
NAMPT,0.976750669632465
TMEM237,0.975413559432909
NSA2,0.9752544875054
TSFM,0.975068466603402
PLEKHA3,0.974911162636522
UBE2J1,0.974468748921099
SLC5A7,0.974028641630162
ACTR3C,0.973602163626051
RSBN1L,0.973417436287127
BEND2,0.973370180034035
LHX9,0.973229017928292
ZNF678,0.97290222007999
RNF180,0.972868177911586
ARAP2,0.971720051227514
NBPF12,0.971607973817906
NEXMIF,0.970976867778367
TMEM47,0.970099977909812
KLHL15,0.969992485943443
PPIG,0.969894283753952
B4GALT6,0.969863002412985
ZNF292,0.969788191560319
SLC25A16,0.968899977604264
LCOR,0.968487864508125
EIF4G2,0.968357103995149
UBN2,0.967619626903013
TMEM132B,0.967403134809855
BEND4,0.967388417482715
RABGAP1L,0.965813816803598
RBM46,0.965383023320223
NDUFA9,0.964592661749421
PLXNA1,0.964279097091333
ZFP69B,0.963844791400273
CNKSR3,0.963740701486157
ZFP14,0.963704816488013
NBPF9,0.963054785479795
SMIM13,0.963042797108244
TMEM196,0.962497621353054
RNF146,0.96221530493606
SOX30,0.961717634173081
TOP2B,0.961711146730438
GABRA4,0.96062037035157
RAB30,0.960567068924726
RASSF6,0.960341021933073
AP1G1,0.960309603642717
YRDC,0.96025380229936
ADAMTS20,0.960207654011147
IQCH,0.959477065415207
KLHDC2,0.959299741366037
DTWD1,0.95915664412731
PDE1A,0.958936180807562
HS6ST2,0.958927051495237
TBC1D32,0.957803632833042
PDHX,0.957666891316742
CD47,0.957341310789894
PPTC7,0.957121567186279
HOOK3,0.956270272238118
APLF,0.956263372723234
SLC7A11,0.955940346458529
UBQLN2,0.955850107236548
TNIK,0.954951044873529
ENST00000306867,0.954501157421777
NBPF15,0.954424541402594
MDGA2,0.954414188065003
ZNF91,0.954235537050389
MACO1,0.954234537733454
DMRTA1,0.953917911169556
LYST,0.953900068820928
EFCAB11,0.953867638737075
CUL5,0.95374679454155
BCOR,0.953675027578724
MYCBP2,0.953657610946329
MFAP5,0.953171402583678
UGT8,0.95316081657069
LHX8,0.95303702123475
ANTXR2,0.951927196533323
ZNF100,0.951753694882246
TMEM33,0.951612961824972
PTPN4,0.951554220067306
RORA,0.95112696190395
TP53INP1,0.950608416987745
GPD1L,0.950311632433833
SLC16A7,0.950213273088924
CCNC,0.95000431004029
ENST00000392438,0.949862807651859
TTC23L,0.949520638309344
LBR,0.949512967583108
RNF34,0.949481157792767
PDK1,0.949083104012862
B3GAT2,0.948902298118047
INTS6,0.948646616448251
TMEM170B,0.948541836214596
GABRB2,0.948182576132193
PRPF40A,0.947936360855227
ATP8A2,0.94768185587456
MIB1,0.947238378275444
RICTOR,0.947225392875843
ANKIB1,0.946956761013751
AKR7L,0.946562970292301
CALM1,0.946145215976813
ENST00000348428,0.945436519505213
ENST00000282478,0.945350269432618
CDH8,0.94534191319104
ARHGEF33,0.945235556056577
TRIM24,0.944736426515594
ZNF207,0.944634585297246
FBXO45,0.94400436987021
GPRIN3,0.943989660104704
CLEC5A,0.943752906527146
ACVR1C,0.943465789906415
SAMD12,0.943097846871169
TMEM65,0.94285100357217
NDUFV3,0.94279250690669
MYSM1,0.94262142988637
ARIH1,0.94177298469007
SLC15A2,0.941279671033722
BRWD3,0.94114308179988
TMF1,0.940286087079685
PLXNC1,0.94009408532184
CITED2,0.939974305146533
CSNK1A1,0.939959442371763
ATP8A1,0.93987244333529
COL4A3,0.939572492435105
FOXP2,0.93912415248439
ZNF514,0.938894426209821
GOPC,0.938884209306853
ITGB6,0.938520947238451
L3MBTL3,0.938328295354065
UBE2W,0.938326861677721
PDE10A,0.938108024935454
CYFIP2,0.937590140009834
C16orf87,0.937516019838104
CALCRL,0.937184536643068
TSPY9P,0.937116763484729
DACH2,0.936483997171244
ALG10B,0.936352273620727
CAGE1,0.935897060738231
GFRA1,0.935875285326796
U2AF2,0.935764671640626
HACD3,0.935752461270805
C5orf15,0.93487239761045
THAP2,0.93439992250668
SSR1,0.933739744193422
ZIC1,0.933656008948269
SLC44A1,0.933425190085357
GMFB,0.933292637260094
SFRP2,0.932921548363299
PPP4R3B,0.932454918433954
PHKB,0.931540601307316
LEMD3,0.931341332875095
PDS5B,0.931332021345422
MAPRE2,0.931250542252731
HECTD1,0.931250490601402
BMPR2,0.931207087241603
SYT16,0.930885507129081
NUGGC,0.930835193906407
SCO1,0.93081496689078
POLI,0.930449245377092
ADAM9,0.930413489968082
PDE1C,0.930280198202925
PRKCE,0.930171251659319
NAA50,0.93016250252967
FGD4,0.930073223380685
LIMS1,0.929600662252369
SLC25A53,0.929122468941184
GAP43,0.928563733657641
MSMO1,0.928554788057349
OSTF1,0.92854329112202
CRISPLD1,0.928481545192152
ARID4A,0.928344862174841
AKAP6,0.928056953950979
ZNF354C,0.927841057179685
MAP4K3,0.927707479713595
LUC7L3,0.927364100756033
LIN54,0.927361870061239
UST,0.927220347285129
FMR1,0.927205658628691
ADAM22,0.927121153668382
ETV1,0.926497188132976
RPS27L,0.925929097699082
TMEM101,0.925916573889072
POU4F1,0.925802892856532
CSDE1,0.925495736806968
UNC80,0.925446015797428
PCSK2,0.925211801329232
RFX3,0.925147237907215
GUCY1A2,0.92501081710513
RCC2,0.924907153455785
TRHDE,0.924528491970699
IMPG2,0.924446488836238
HDAC9,0.924266873909529
TMEM50A,0.924090886081652
ENST00000611416,0.923831580674002
GXYLT1,0.923788781990046
DDX5,0.923408314996124
CBWD1,0.9233217609609
NBPF10,0.923221353928373
CREBRF,0.922863876694588
UBE2V2,0.922422147748343
RAB22A,0.922026883425704
GADL1,0.922004820385258
HOOK1,0.921803524614915
REV3L,0.921427799662453
CFAP300,0.921421927221898
RASA1,0.920995369425931
UBXN7,0.920896807219365
FZD3,0.920848435338842
FCRL1,0.920210657436168
TFAP2B,0.919939017088753
LARP7,0.919936623746509
LMOD3,0.91982860927004
RAPGEF5,0.91970689263752
FGF2,0.919555627322664
INTS7,0.919407928676624
AMOTL2,0.919376556815661
SLC38A1,0.919135248423975
PPP3R2,0.919049380088707
RRP15,0.919014284885286
TMEM267,0.918659606849916
AFF2,0.917993723540628
RNF144A,0.917905408127568
ARHGAP5,0.917763376730965
LPP,0.917485328153072
CEMIP,0.917309800716951
ADAMTS19,0.917056239634764
ATP1B4,0.916964507415742
SHISA9,0.91672818865866
DCN,0.916667363219124
C5orf63,0.916581719471062
CLK4,0.916543197649674
ZNF37A,0.916508010221155
ENAH,0.916401942244004
LIMA1,0.916184310611453
DGKK,0.916092695784246
MKKS,0.91602444942103
PRDX3,0.916015539518629
RSRC1,0.915932539715426
XPO4,0.915922800941958
MASP1,0.915899692388286
SLF1,0.915800990511883
ATP2B1,0.915097775166839
