Gene,Score
PCDH9,0.99816511856917
ZNF746,0.99622408896131
SAR1B,0.995947249773788
ZHX1,0.995480919668313
DESI2,0.993685897612606
ADRB2,0.993256191747649
EIF1AY,0.993060705634067
RAB7A,0.991687086620224
CKAP4,0.991138905056602
FNDC3A,0.990790446423727
SEL1L3,0.990385930663777
PBX1,0.989984579272822
ELAVL2,0.989109386357582
ENST00000286067,0.988867489587273
NRG1,0.988712602876521
YWHAG,0.987812805609535
ANKIB1,0.98742477690922
ENST00000303531,0.987102040618095
CPEB3,0.986044555941427
TNIK,0.984943127942496
TAFA5,0.984228612652013
CUL3,0.98358488008756
MTAP,0.982776718234858
INO80D,0.982761429424228
TRUB1,0.982412171317396
ZFR,0.982335498728644
EIF4E,0.981628527416099
KLF3,0.98120921533794
STYX,0.980504138137922
STIM2,0.980107252354969
LHX9,0.978966826309084
RASA2,0.978164021691239
KCND3,0.977785757953808
PURB,0.977371798769669
ENST00000521891,0.976738176490013
NBR1,0.975950616600886
CDH2,0.975400743141112
DHX15,0.974892650373396
CAMSAP2,0.974384338773304
TRA2B,0.973934629378682
ENST00000331837,0.973849460916515
TOB1,0.973704666505562
PPP2R5E,0.973355736922127
DR1,0.973129175136242
E2F4,0.973018056479537
FZD3,0.972307590798127
CSNK1G3,0.972107370774434
IRF2BP2,0.971723711046819
COPB1,0.971276092044308
BRWD3,0.970724816374183
FAM118B,0.970208236118303
HMGB1,0.969158201195102
MAP2K4,0.968101930685383
KCTD6,0.96762246254054
EPHA5,0.967459426301518
DSTYK,0.967381412899421
PTPRZ1,0.967176477819983
MRE11,0.966876662329652
NOG,0.965866515109223
STXBP6,0.964587360527703
RARB,0.963173983767712
CECR2,0.961271307469262
BMI1,0.960459081648947
STAG2,0.960325372496529
RLIM,0.960302638615779
ARID2,0.960158529905758
SIRT1,0.958772806425583
HECTD2,0.957835534535541
TEAD1,0.957791846764072
MAGOHB,0.957671799153889
SLC6A11,0.956365869574499
BNC2,0.95490359880354
GCC2,0.954153981498136
HEXIM1,0.953240192865379
PAFAH1B1,0.952366746864974
HMBOX1,0.951978926687353
FBXW7,0.951701945176232
