Gene,Score
TNPO1,0.989295507855102
NPM1,0.97981451903475
MRPS21,0.979600084518094
Z83844.1,0.969757727025245
MBD6,0.959395605888825
KMT2D,0.954045119253726
EIF3J,0.943467238860984
CD200,0.943414106328693
IKZF2,0.938975685439
NLGN2,0.936735250591624
AMER3,0.930752251372442
ZNF229,0.930652805798426
PRR23D1,0.928482550916775
PRR23D2,0.928349761655333
CADM3,0.925151650153274
RANBP9,0.923850465638284
CACNB2,0.923548055000014
CD163L1,0.922931750805185
PPWD1,0.92267348303323
ZNF716,0.920420070336848
IL18,0.919138731954024
RPS6KA6,0.91847746946051
IGF2,0.910848514426221
OS9,0.905009877067934
H3C8,0.900841230626307
SLC1A2,0.900532214452391
CTRC,0.899531340294944
AP000812.5,0.89393534531504
PDYN,0.893303505069728
TRIOBP,0.889996553195284
CNGB3,0.887022488214825
ULBP1,0.881609178826992
NOM1,0.880525650186981
PTPRM,0.880058970211916
TRAK1,0.878414680230559
FAM107A,0.873196445755738
URGCP-MRPS24,0.872445031451213
ENST00000546136,0.872423750964827
DLEC1,0.872182813988964
LRRD1,0.866615073744047
CEACAM6,0.865476405410222
RPL15,0.860855563831175
SPHKAP,0.8606527527313
LIN7A,0.8579634656146
CD37,0.857107563971269
NCMAP,0.855416324979576
USP15,0.853418855551646
ITSN1,0.850252469131804
ZNF706,0.849969543709426
NUDT10,0.849831131523737
CACNA2D2,0.847693042803898
EIF2S1,0.846793250908604
NCR3LG1,0.846029740815871
PIGB,0.845901353327274
PAK3,0.844737505984246
ZCCHC9,0.843934558270238
RHAG,0.842935280813821
OSBPL9,0.841585665054382
SMIM10L1,0.841356964155559
SLC25A23,0.839368641394944
ENST00000378004,0.838551980277124
CASQ2,0.837494344415337
GADL1,0.836683800299086
ENST00000612180,0.836266408374059
GRIN2B,0.832629826841624
PURG,0.832229307028161
RBM24,0.827987994020851
ADAMTS3,0.826624854425495
NPNT,0.824452422867379
OAS1,0.823512754003853
NOS1,0.823129351156777
PIP4K2B,0.820991849750641
SNX13,0.815492411512222
FGD1,0.810032681942228
PFDN6,0.808998779042846
USP8,0.807486657347525
KCNIP4,0.804562096142169
LRMDA,0.803529609395903
TYRO3,0.801768193781972
NRBP1,0.801309563339401
APTX,0.800686354856198
CREB3L1,0.800483929255738
CBX2,0.800142193687406
PPP2R2D,0.800128190818464
