Gene,Score
NPIPB2,0.999979732655621
ZNF200,0.999967573381824
FIGN,0.999929455460405
SENP1,0.999760066820482
ZNRF2,0.999665833568854
WASHC4,0.999618206514634
TMEM260,0.999485030587021
CYB561D1,0.999386989699936
PAK6,0.998519956809922
ETV3,0.997769820435732
DMTF1,0.997439738990647
DUS4L-BCAP29,0.997260576339578
EARS2,0.996075383070613
ARHGEF10L,0.995779393421757
ZDHHC21,0.995253971838979
QDPR,0.994336258495763
ZFAND1,0.992626279005947
VPS50,0.992304762322069
SERINC5,0.990758555432718
SLC20A1,0.990234437409141
TBL2,0.990188481712508
SRP68,0.987183283917655
EPHB3,0.986917906068264
ELF4,0.986069007993075
CFAP57,0.985871656006909
SHISA7,0.98494665804937
TNFSF4,0.984833961843934
COX15,0.984730565251562
KCNN2,0.984294989595815
CELF2,0.983025339984821
EVC2,0.981930891424859
SREBF2,0.980840986484302
FANCG,0.980572515528671
VPS4B,0.980138496306071
CCS,0.98010496415178
BCL6,0.979384849625911
PC,0.978763234388646
IL11RA,0.978415666615419
UNC5C,0.977929701852539
C1S,0.977914646729555
PRKRIP1,0.977749541247252
TNFAIP3,0.975717202476167
TCP10L,0.975326784929975
EPHB2,0.975119696333225
KBTBD2,0.974748200119095
ENST00000245323,0.974347250557029
ZBTB8A,0.97376469262773
SUGT1,0.97349464045623
CACNB2,0.973237296745606
B3GLCT,0.973154384019843
PRKAA1,0.972258540500908
CCDC113,0.971681398779472
ATP10B,0.970173343958059
LAMC1,0.970055889816021
FOXO4,0.969076702082975
VSTM4,0.968510490999932
SLC35G5,0.968051772713585
POU5F1B,0.967123434025377
GPR61,0.966763011113034
NIN,0.966252118090991
CTNNA1,0.965229373350527
MLLT11,0.963173515833502
AVPI1,0.962366002002412
TMEM178B,0.961016378442256
ZNF232,0.960889023047226
RAB14,0.960113890756931
CCN4,0.958777075577425
ADAMTS3,0.958665660913803
BACH2,0.957877564523097
ITSN1,0.957527847400142
NRXN1,0.956462421734471
ZBTB26,0.955240685742989
SKIV2L,0.954144737045874
SLC35F6,0.95392120349881
TPRG1,0.952976397887174
MGAT1,0.951301215124222
BPY2C,0.951216380281414
STAP1,0.951107928857845
BPY2B,0.950704887615526
ATP13A4,0.950257896276249
HSD17B13,0.949357104863652
SLC44A1,0.94923742444116
MAX,0.948620308212295
FZD4,0.94777931472945
MKRN3,0.945613454657847
AL512506.3,0.945420146656121
JPH1,0.944528730765731
ZNF689,0.943852418214901
MS4A15,0.943176101691897
TEK,0.943046224914434
DDX5,0.942945258077716
COPZ1,0.942847701309761
CDK10,0.942566662747398
SHC3,0.941646447734564
CHRM3,0.94067906135782
METTL17,0.939601720025428
PIM2,0.939084212253806
ENST00000610431,0.936244979292934
MMD,0.93580551465378
FGF9,0.935676757005361
PMFBP1,0.935487541617827
SNURF,0.933486238296802
ZNF821,0.933430927759538
STX16-NPEPL1,0.932293923217618
ZNF554,0.93205731761557
FLNA,0.930224324958808
ZNF211,0.930073348893982
ZG16B,0.929578742543179
PPP2R2C,0.929256415972202
KCNC1,0.92886759800346
CD4,0.92795281927544
TXNDC17,0.927921966998043
KCTD16,0.927746273382661
ZSWIM5,0.92658920765676
LINGO1,0.926536627276335
DISP2,0.926206351520141
RASL10B,0.925547409264001
COL6A6,0.925377617811099
JCAD,0.925031940344993
EPB41L4B,0.92440968411146
CHD6,0.923752717848164
CTBP2,0.922954214702938
ABLIM3,0.922391492273142
SLC30A8,0.921069433703304
CNOT6,0.920742445036357
PAK6,0.920574544024809
PTH1R,0.920046556433915
BEND3,0.919147153301154
PRDM6,0.918927186192731
ARHGEF2,0.91689178298842
PALD1,0.915509092852339
TTLL5,0.915273687025244
PAK4,0.915153447537928
SSH2,0.914669159845727
KANK1,0.914628880101809
PTEN,0.913905380280759
OAS3,0.913296562856868
RGL1,0.913250706988551
ENST00000371265,0.913207688146774
ARFGEF1,0.912193185646917
CTPS2,0.911855658084367
PLAGL2,0.911103503943417
HOXA1,0.910477339796028
CNNM2,0.909947244145461
UHRF1,0.908780030745616
APOM,0.908279242385815
AC022400.7,0.90807563759857
MAPK10,0.907752148187407
ANGPT4,0.90764356973095
RECQL5,0.906369388287888
ADAT1,0.906301791151042
COL8A1,0.903471050822695
MAN2B2,0.902888675878392
RS1,0.90257233712645
KLHDC4,0.902194133188627
DLK1,0.901853829694818
ZC3H11A,0.901085115768152
TRAF3IP2,0.900881002927388
NAV1,0.900880086782056
PPT2-EGFL8,0.899946243594571
KLF5,0.89980596400996
ITIH6,0.899194339201773
NOCT,0.898928235134247
DMRTC2,0.898728150546843
PTK2,0.897368140417317
LARP6,0.896571288656983
ITPK1,0.896362869887184
AATK,0.895081974558738
LYRM4,0.894922013459463
NIBAN3,0.89488920969601
IGSF1,0.893630003198948
GALNT5,0.892704028675469
KDM7A,0.891790051594206
E2F2,0.891706218673238
ABCG4,0.891032248719788
PDE6D,0.890962886525499
SETD7,0.890868954279583
M6PR,0.890595035806578
MED1,0.889906258875819
GNAI3,0.889904733655962
PGRMC2,0.889695906747983
PGBD5,0.889602945617253
SBSPON,0.889504513428797
HNRNPA1,0.889222046266639
PPM1M,0.889147493082187
GATA5,0.888648154206007
PLEKHH1,0.887631675182964
FAM169B,0.885907785233461
EDA,0.885741850360274
ZNF773,0.885132612043634
BAZ2B,0.883296336764709
RASGRF2,0.88236824907361
OPRD1,0.88228948049714
KIF6,0.882269318536046
SLC35E3,0.881658253981656
ENST00000426016,0.881251474270837
FAM124B,0.880921971641359
B3GNT7,0.880780587293406
TTBK2,0.879862989452943
ZNF556,0.879200971603047
KCNJ8,0.879188651043715
SLC12A5,0.878722665571917
