Gene,Score
IGFL3,0.998108199576366
PPP2R2D,0.997410893893757
SLC25A23,0.984732514708806
SLC39A13,0.981210337566953
MAML1,0.980852034985244
ZNF429,0.980234690585991
EHBP1,0.974924183196101
TRIM44,0.968377573768003
GJC3,0.968208716619884
NFIX,0.960569685249357
BCAM,0.958074627015051
BCL2L10,0.953379189013287
AL357673.1,0.949045578463388
MMRN2,0.945536873839934
FGF14,0.940590515301441
C12orf71,0.935221188328172
FAM153CP,0.929617437954561
TLE4,0.927649521660091
FN3K,0.923908651591635
SRP19,0.921581598047499
BHLHE41,0.919076029054941
ZNF836,0.91848747240992
LRFN1,0.918013344338996
ZNF263,0.91487552972902
FAM234B,0.914606331607221
STMN2,0.91089404385192
EFNB1,0.907281830540462
PGM3,0.907133012365572
ZNF619,0.904381617513137
TMEM95,0.900827037737863
CPPED1,0.899399294899486
ARHGEF3,0.894624700327841
ELAVL3,0.893981688486016
APPBP2,0.891295568194281
METTL14,0.888416128245095
SPIB,0.887948598830593
SULT1C2,0.887416841368163
HEXIM1,0.887357503043595
SMC1A,0.884145503062716
WDR89,0.881854575242793
CD37,0.881387846428739
ASB11,0.880827260128599
ZNF462,0.879091812437579
EN2,0.879054411814893
KCNC3,0.878733987327684
TESPA1,0.876273147140714
ZNF185,0.874094854347611
AP5M1,0.870707960571918
ZP4,0.868640311105301
TBR1,0.868444373697872
DMRTC2,0.866909894429792
ATF7,0.865333403305743
SCNM1,0.863532070890283
SIGLEC8,0.86098920747506
ALDH1A2,0.858562140183332
FKBP7,0.858121878713973
MTHFSD,0.852264710768354
PRKACA,0.847909780750611
MPP5,0.846048804989601
PXK,0.845678962029118
LPGAT1,0.843048651731401
INSM2,0.841810778390726
SLC39A8,0.840216655303834
CNIH2,0.839887477301114
VPS37B,0.837508681734609
ZNF385D,0.837354026996402
OSER1,0.836526466340403
CEBPG,0.836224118235059
ACVR2A,0.835092275803478
CNTROB,0.832749066982039
ATP6V1B2,0.831027931259399
ZNF74,0.830039616162374
SINHCAF,0.829687967132121
ENST00000408895,0.829634042244895
IGF2BP1,0.828302956074433
C8orf37,0.826586856347429
RPS6KA6,0.826403174798553
GNG7,0.825166962554189
ARIH1,0.82492607616801
MB21D2,0.823958002746522
STC1,0.819766353896216
VAMP2,0.819344345446762
GYPE,0.818094607419743
ABI2,0.816771694654456
HK2,0.816151096504978
DAXX,0.811939505158759
ANKRD52,0.811594058530581
GCSAML,0.811105570465807
PPIE,0.810540586835005
NHSL1,0.809469375867574
HSF2BP,0.807672846539647
SPTY2D1,0.805698970275047
SETD6,0.802657810671802
ARL3,0.802641404741266
SLC17A2,0.801850832632198
GIT1,0.80131261417299
PLCZ1,0.800035715659898
