Gene,Score
MGAT4C,0.999915385850292
CREB1,0.999713743375641
SLITRK5,0.999054863145408
SMAD2,0.999011164584731
FLRT2,0.998737625790941
TOP2B,0.998656301209736
SRSF1,0.998596471584136
SCAI,0.997896489336602
CACNB4,0.997887343582448
PCDH17,0.997655173958326
ZNF92,0.997291910260631
INTS6,0.997191601647728
CD47,0.997089314485026
GNAI3,0.997045811762304
ZNF207,0.996837940768025
SMIM13,0.996336916969663
PARP8,0.996090135020587
CADM2,0.996066869363005
PHC3,0.995537619029352
MBNL2,0.995453822089501
CITED2,0.995311103147742
LOX,0.994839570232774
PCDH9,0.9947781162225
ENST00000456098,0.994639239822845
AKIRIN1,0.994633672181219
CNKSR3,0.994594885323243
PTEN,0.994482047364934
RIF1,0.994232417214233
UBE2J1,0.994143208215122
LHX9,0.99409974856265
LCOR,0.994076314948857
CNKSR2,0.994055995836786
ZNF678,0.99393782501832
CRISPLD1,0.993664699486015
ABCA10,0.993488861182227
TP53INP1,0.993384885727922
RESF1,0.993292795118119
ABI2,0.993265993221011
NBPF12,0.993091781179876
NSA2,0.992939349642135
DACH2,0.992899793239361
AKAP6,0.992814355643123
SYT16,0.992797481257894
BRWD3,0.992762022500334
ZNF800,0.992703406789348
UBN2,0.992475788472173
EPHA3,0.992283855813831
TENM1,0.992276413669283
LBR,0.992099050484497
DCUN1D1,0.991867634676297
LIMA1,0.99163153531009
SLC8A1,0.991593441614791
NBPF9,0.991187371295919
AP1G1,0.991150630784115
RFX3,0.99102731379035
RASSF6,0.990894661530387
MAMLD1,0.990843450780761
KLHL15,0.990015681546172
KAT6B,0.9900132694286
AGO2,0.989616148592848
BUB3,0.989439024623031
ZNF367,0.989412079813666
BEND2,0.989295574162731
KLHDC2,0.989085669519996
PANK3,0.989041507477696
NPAS3,0.98861556062284
NBPF15,0.988143565036115
HOOK1,0.988093168637086
SF3B1,0.988085675516071
ADAMTS20,0.988079001769099
LMAN1,0.988024982594739
GFRA1,0.987976718328875
ARHGAP5,0.987460230203072
WDR82,0.98743684125293
AFF2,0.987405929804809
HIPK3,0.987377906827865
TMEM132B,0.987357216888207
NLK,0.987228729885638
WDR26,0.987047026422601
LYST,0.986624741337747
SMIM21,0.986296822614738
PCSK2,0.986294364028088
SFRP2,0.985636256976393
TMF1,0.985580193762438
CLK4,0.985492099030774
ZMYM2,0.985477029880842
RBM46,0.985427072038938
ENST00000282030,0.985376023847662
PPIG,0.985358935720631
STYX,0.985246791542568
LPP,0.985173896663609
SAV1,0.984940647498228
KLHDC7A,0.98466023234332
PLPP3,0.984148796433168
PIGM,0.984122175591165
PEX13,0.984008195918563
SLC26A7,0.983942123306029
BEND4,0.983795697245028
AQP4,0.983127085860759
SOX11,0.98246980832798
GRIA2,0.982348951704231
RGS21,0.982269746692609
NEXMIF,0.982247116529004
YIPF4,0.982229137736544
CREBRF,0.982183262056597
ZNF292,0.982136585192189
PPP2CA,0.981858040366101
PPM1D,0.981845129979273
EFCAB11,0.981812393299351
PRR27,0.981276496036309
KLF3,0.981261305901662
RUNDC3B,0.98125145184416
SLC25A53,0.981225339869696
UST,0.981137153071642
FMR1,0.980816201565059
KBTBD8,0.980796634724758
NDUFA9,0.980518689685507
RSBN1L,0.980451797241918
ZNF148,0.980208533900869
BCAT1,0.980183100198479
RAPGEF4,0.979964456630342
LUC7L3,0.979724652838915
MFAP5,0.979642841239978
MAP3K2,0.979512915888044
ZNF681,0.979492463542967
TPR,0.979456642544702
HNRNPUL2,0.979441058673244
ACTR3C,0.979245419138912
MGAT4A,0.979117573867049
USP15,0.979053525312147
TMEM106B,0.979035212774143
NDUFV3,0.978994515474816
NABP1,0.97877110005121
HOOK3,0.978679001487141
ANTXR2,0.978497115253723
TMEM65,0.97846198058104
GCNT4,0.978383206007354
RABGAP1L,0.9782161467709
UBQLN2,0.978186228829181
POU4F1,0.978180816397549
FGD4,0.978122222578781
ITGB6,0.978113926331959
PHTF2,0.978054836535736
RNF170,0.978047428781649
NDEL1,0.977814467314224
ARAP2,0.977619104907561
ELOVL4,0.977478200630603
GOLGA6L4,0.977448328733769
PLEKHA1,0.977385966941797
ALG10B,0.977366734573638
XKR4,0.977282509833246
WASHC4,0.977281699625329
SOCS6,0.976959426702349
FBXO45,0.976855979434194
ANKIB1,0.976834771082354
HACD3,0.976704677482812
KCNQ5,0.976531649179512
RASGEF1B,0.976397863255551
AP5M1,0.976251716872203
RSF1,0.976170479911413
RC3H2,0.975969566133859
ZMYND11,0.975874534016024
IQCH,0.975785588213175
TMEM255A,0.975768687505099
ODR4,0.97542031802365
DNAJC21,0.97532069938248
FGF13,0.975273753632098
FAM153A,0.975127126054677
MEF2C,0.97505750368542
CLEC5A,0.974946533763536
FUT9,0.974895646632947
NBPF10,0.974830818499441
PLXNC1,0.974679708928893
SPCS1,0.974588734990444
TRIM24,0.973834063473628
SESTD1,0.973718152791538
PTPN4,0.973496992334892
EIF4E3,0.972772654448349
DPY19L4,0.9724918869981
ORC4,0.972358520979621
SPTLC2,0.97224032471694
SEC63,0.972117955649043
ROR1,0.972072974533421
MIB1,0.971859039517243
PHF2,0.97176397006798
PLEKHA3,0.971431905184536
ZNF773,0.971364267211195
NEGR1,0.971225002993525
KCNMA1,0.971202523779879
HNRNPR,0.970890267824861
ELF2,0.970759992793723
CBWD1,0.970716283807036
RAPGEF5,0.97070644399717
PCDHA9,0.970502360748618
EIF4E,0.970164664070996
LIMS1,0.969900607797427
SPIN1,0.969618145420498
TMOD2,0.969277177621071
COL4A3,0.969237827528499
EEA1,0.969231650478097
ENST00000378565,0.969062342616268
GADL1,0.969029428613641
GMFB,0.96890360773434
MYO1B,0.968815622709465
DMRTA1,0.968788105002107
PJA2,0.968326714032318
QSER1,0.968315858635444
FAM241A,0.968257398154232
GAP43,0.968131969763792
ZNF99,0.968071144231304
RAP2C,0.967900223362355
NBPF20,0.967838016328836
LHX8,0.967194573747786
TSHZ2,0.966998733130835
MYEF2,0.966909682280494
CFAP44,0.966752215949821
AIG1,0.966357678832423
TTC8,0.966140886864097
TOGARAM1,0.965973600032001
SPRED2,0.965952716059474
FAM204A,0.965910909199589
STOX2,0.965886897786001
LMO7,0.965857728728991
GNAQ,0.965606421451579
CAMK4,0.965463800765938
SALL1,0.965455761951641
ZFP28,0.965424662770489
DOCK8-AS1,0.965329959250449
CD302,0.965087001144061
MPLKIP,0.965010154976945
PLXNA1,0.964876438417063
EBF3,0.964714139900241
DPP8,0.964647621354718
PDK1,0.964608070185554
CYB5R4,0.96449301286787
FIGN,0.964356416259422
S1PR1,0.964311662540374
ATP8A1,0.9642671408517
NAPEPLD,0.964237278401055
RAB30,0.964198013242943
REV3L,0.964002750238357
CPEB2,0.96397742778002
SOD2,0.963914523380073
SLC25A30,0.963788610844432
NFAT5,0.963761637860763
ZNF107,0.963549930869938
PRPF40A,0.963459708062203
LRRC58,0.963401243637064
ZNF117,0.963362561221875
LSM14A,0.963329944063025
RPS6KA5,0.96326650537577
LIN54,0.963248153615996
GUCY1A2,0.963215988639727
CLDND1,0.96319773399381
GPD1L,0.963056304348883
CYFIP2,0.962626573903017
KLF12,0.962626454573456
KRAS,0.962463219159319
SLC30A1,0.962362128784372
SLC16A7,0.962293592731056
SLC30A7,0.962284690268564
CACNA2D1,0.962271945104063
GOPC,0.961926605954295
RICTOR,0.961756224615725
LRP6,0.96168301547413
TBC1D32,0.961580963746955
ID4,0.961526416680969
SESN3,0.961509500831939
TSHZ3,0.961484446618536
LNPEP,0.961143056473092
CEP44,0.960809690436859
REEP3,0.960746772552498
FAM122A,0.960595600587229
MEGF9,0.960590610645991
DCX,0.960554413205853
CBWD2,0.960462265902238
RAB22A,0.960277722094764
C12orf75,0.960272462496739
DTWD1,0.960222289492327
PURA,0.960143361762428
FRS2,0.959906898840594
SLC38A1,0.959802468942144
ZBED6CL,0.959585660619233
STX7,0.959566150420718
LGSN,0.959359665877109
ENST00000558190,0.958428763067577
CEP170,0.958282011319625
ELOVL5,0.958153666850752
MPEG1,0.958078479063448
CCR6,0.958068236417373
EMSY,0.958058826136088
CTDSPL2,0.957911922081283
GABRA4,0.957910698923824
MRPL42,0.957776831288913
UBE2D3,0.957662835862028
ATP8A2,0.957604482251972
ARHGEF12,0.95749863750799
ABHD13,0.957466541541726
SBSPON,0.957423603251511
DOCK9,0.957387739889275
ZNF462,0.95733247020629
SLC17A8,0.957150414245976
ENST00000348428,0.956925529397294
FOXP2,0.956849140471831
MTMR7,0.956369295403378
THAP2,0.956209027502727
UBE2N,0.95606713552041
KLHL4,0.955822937012577
DLAT,0.9554393222085
ATP1B4,0.955386667714524
SPAST,0.955077005450879
HEATR5A,0.954964774412188
ATRNL1,0.954938015219751
DMAC2L,0.954777603141889
NUFIP2,0.954617898254361
TPBG,0.954560122296448
GULP1,0.954469706215896
GXYLT1,0.954467499621017
GASK1B,0.954424983624138
NUTM2D,0.954357770879289
GOLGA6L10,0.954280597751214
CCDC85C,0.954125330673862
PPP3CA,0.954000745895067
XRN1,0.953942089052269
ELF1,0.953935817860869
TRUB1,0.953890882724011
NAV3,0.9537848357259
SOX6,0.953661144063858
RNF111,0.953626418102979
NF1,0.953302658921249
XRCC4,0.953276928698468
USF3,0.953178579082482
RBMS3,0.952948126498244
HACD2,0.952724010925187
VWC2,0.952699802121849
POT1,0.952686193412677
NAALADL2,0.952592265651003
RDX,0.952503092847156
ZNF780A,0.952194142935273
ACVR2B,0.952150334976507
BICD1,0.951902973500108
NBPF14,0.951777082567302
DBT,0.951673633946306
ARIH1,0.951273131748454
TMEM50A,0.951214212526192
GAB1,0.951077307565378
PLCL1,0.951005312176933
CCDC88A,0.950917244192169
PELI1,0.950775293305982
CAV2,0.950534596751788
NHLRC2,0.950493630100766
VANGL2,0.950430136021169
NTRK3,0.950284926516757
NCKAP1,0.950272211545697
CALM1,0.949966899133235
ENST00000342944,0.949806006455818
ARL13B,0.949627293510371
FAM126B,0.949559743398559
SPRTN,0.949071386782974
NUGGC,0.948822455462929
HUS1,0.948595927770039
FYN,0.948519420697686
SH2D1B,0.948513579257379
NFIA,0.948496175151505
MON2,0.94834956779317
RPS6KA3,0.94796267008937
VAMP7,0.947470141299251
PMP2,0.947295588301112
RYBP,0.947220126759616
KIF26B,0.94713916147033
LRIF1,0.946766875300403
SEC62,0.946542661949557
SHISA3,0.946403329015952
SLC4A4,0.946358334169734
STC1,0.946264448287339
RRP15,0.946262205669197
PPP1R15B,0.946244639053489
DNMT3A,0.946116010680819
TMEM237,0.946079083762372
MAGED1,0.945772101809062
ENST00000523898,0.945715056670658
SPTLC3,0.94549767819091
SSR1,0.944986123849957
RCC2,0.944890387516798
PUM2,0.944856567285652
APBB2,0.944778265806772
ICOS,0.944673098326624
ZNF514,0.944657475302501
HSD17B2,0.944615674157359
TRERF1,0.944394900689966
TMTC3,0.944127128303098
ZNF43,0.944050393406174
CDKL5,0.94399546678431
MET,0.94383163741256
FXR1,0.943793581144994
MTSS1,0.943177188448093
C1orf21,0.943025166597014
ERO1A,0.942871190049242
ATP6V1C1,0.942498670774781
B3GAT2,0.942169967673512
ADNP2,0.942066613200901
TMEM101,0.941939045009967
CNTLN,0.941611484493956
PGAP1,0.94157746163987
ADAM9,0.941502788055356
HECTD1,0.94142421005785
SNTB2,0.941280831418162
OSTF1,0.94109489766817
ZIC1,0.941029847457686
EBAG9,0.94066515020123
U2AF2,0.940631586800106
SLC7A11,0.9405794658661
GPATCH2L,0.94049602582702
SOX30,0.940398853723638
ZNF655,0.940308652415759
B3GNT2,0.94022083656825
XG,0.940196311310431
CD2AP,0.940048613685504
CTNNB1,0.940029056624977
GLIPR1,0.939895451809716
EPCAM,0.939771042792758
NAA25,0.939660797838144
ZMPSTE24,0.939619808519027
EIF3M,0.939587866634784
PDS5B,0.939534125690745
NEMF,0.939525761967595
CCDC141,0.939459048889145
CCDC47,0.938758054456772
CUL5,0.93851538166556
MYSM1,0.938474060586909
EIF4G2,0.93830844969618
HMGB1,0.938262784501634
ZNF257,0.938095754988971
TENT4B,0.938054150142808
CBWD5,0.938006903745733
TWF1,0.93788886461622
DPP6,0.937749793278634
PDZD8,0.937711794408485
ATP6AP2,0.937608270987612
PTBP2,0.937570032293016
FAM160B1,0.937476195468963
ELP2,0.937474098651976
EHBP1,0.937313129760816
ST6GALNAC3,0.937294625663733
LEPROTL1,0.937172812766753
GABPB2,0.937156485105369
ETV1,0.937127313380493
AP1M1,0.93700224617995
TSPY9P,0.936615279245745
KLRD1,0.936488400869731
MRTFB,0.936389502339061
ASXL2,0.936226477026252
TNFAIP6,0.935841762009623
TRAM1,0.935766056915152
BACE2,0.935765596818131
SRI,0.935636955160196
RFPL1,0.935593881006788
KMT5B,0.935374042638397
TACR3,0.935373967613442
C7orf57,0.935334212777801
INO80D,0.935198617103014
NBPF3,0.935142256386741
CPSF2,0.935057451578474
AC118549.1,0.935006106257144
DIS3,0.934645998783119
SDC2,0.934619844752965
PTPRK,0.934223019668766
THOC2,0.934174206248421
UBE2W,0.934163533191155
MINDY2,0.934117272927621
NEBL,0.934065879744929
CAB39,0.933715242921314
TYW3,0.933518675492192
DDHD1,0.933456678627152
BNIP3L,0.933321622588342
TM9SF3,0.933275045252173
TUT7,0.933186122444632
C10orf53,0.933152164912774
GRB10,0.933101942156494
SS18L1,0.933038752979859
CEP128,0.932758065210272
KCNG4,0.932639564527125
PDHX,0.932507919490687
ENAH,0.932431474922101
MORC1,0.932236874693124
CXCL5,0.932219751750361
AFF1,0.932180696710094
LRCH2,0.931989465383312
HMGB3,0.931958667896913
PDE12,0.931896979904939
SCN1A,0.93175591640763
RAB21,0.931662973628349
TNRC6B,0.93158774767484
USP3,0.931371882865017
PARP16,0.931278442710398
UBQLN1,0.931040287379268
NRP1,0.93073764393484
BIRC6,0.930725424401303
SIX4,0.930699265910726
ALDH1L2,0.93034515884618
SINHCAF,0.930195713730309
CDH26,0.930147698936982
SYT14,0.930080854433903
NAA50,0.929965789517852
GDF6,0.929964848362608
PHF6,0.929693258252799
PPP3R1,0.929505171251161
MSRB3,0.929060423197035
ARNTL2,0.928904983053729
ZC3H14,0.928780170938978
PHKB,0.928759617646774
ADGRL3,0.928592499987395
CCNG2,0.928296168232172
PGR,0.928163031721203
NUS1,0.928155797096972
CD48,0.927753891262114
BCOR,0.927664730080981
PPWD1,0.927640697924799
PHIP,0.927443019467325
SYTL5,0.927401747957734
PLAG1,0.927381363577741
PDGFRA,0.927260283513765
SPAG9,0.927021733933639
EPC2,0.926998633534678
REST,0.926924837965545
ELK3,0.926844399332273
EYS,0.926574162064165
RBMX,0.926247885714783
NAA30,0.926234161412307
ENST00000392438,0.925894766190525
UNC13C,0.925656930968747
ZBTB8B,0.925651213938445
XPO1,0.925537929502285
SLC35A3,0.925348033688673
RPS6KA6,0.925312866085115
RIC8B,0.925065724643146
SLC30A4,0.924835516772973
CAB39L,0.924806697433149
ZNF891,0.924803546640082
IPO9,0.924683218257545
PWWP2A,0.924620080256179
BPTF,0.924610902223647
CWH43,0.92437571503969
GPM6B,0.924295304836409
PPP1CB,0.924277539379839
BMPR2,0.924271561441146
RFX7,0.924241067085329
PKNOX1,0.924196803544354
POLI,0.923819549176184
PAK5,0.923586805698647
MAP3K20,0.923478240122053
RNGTT,0.923353102859234
HELLS,0.923251818305822
ARL5A,0.923128190033324
PEAK1,0.923039151567696
NANP,0.922966882258446
FCHO2,0.922950919803517
UBR5,0.922784204576689
AC006994.1,0.922761257526272
AGMAT,0.922659400829338
MSI2,0.922610284660307
KCNN3,0.922476581055306
PDK4,0.922391449001429
WIPF1,0.922261603643006
CCNC,0.922210116054964
CENPK,0.922131277109188
HNRNPA3,0.92176497388308
NDST3,0.921483632642292
NUP58,0.921461061301882
LEMD3,0.921456727776715
HACD4,0.921443754182964
OPALIN,0.921271522877359
RNF180,0.921244712675314
NBPF11,0.920950309284995
ECT2L,0.920819385050973
HNRNPH1,0.920650764256737
GMCL1,0.920562011109576
SIM1,0.920527113484564
VPS50,0.920458823485128
FRK,0.920392040316259
OLA1,0.920391003554779
PDE6A,0.920162976830434
CDK15,0.920147842202048
ETNK1,0.920095477811154
TMEM67,0.920078748267555
PDE4B,0.920020493471091
MPC2,0.919993060491804
C4orf33,0.919764813339646
WAPL,0.919686186238198
PCDHA4,0.91961681900896
TCF12,0.919600692388341
NT5DC3,0.919545723854345
SYNE1,0.919429033497781
API5,0.919302397424556
PCNX1,0.919241526788622
HDAC9,0.919164507180003
PKN2,0.919118653241954
ACVR1C,0.918995657475789
LPAR3,0.918931020165827
NIPBL,0.918870200234974
SATB2,0.918795368208772
ASRGL1,0.918380956274796
HMGA2,0.918350585288826
BMS1,0.918101364986905
KLHL42,0.918019403662372
SLC5A12,0.917994768133273
PPP2R5E,0.917622893495272
SEMA6D,0.917592721234109
ZNF98,0.917393857035344
DCP2,0.917160170069596
LEF1,0.917142140522691
PABPC1L2A,0.916718201587307
RBM25,0.916706308245984
POU2F1,0.916601790053157
SLC4A7,0.916595140890905
RASGRP3,0.916397491550443
TRHDE,0.916342779577836
DGKH,0.916303555230095
SLC5A7,0.916264221163081
TMTC2,0.916173680823123
KIAA1841,0.916079201151708
TMEM150C,0.915962254851094
CDADC1,0.915889458324172
CYLD,0.915845662319495
RORA,0.915744294044425
GPR85,0.915604005481853
ST6GAL2,0.915600627016072
SOHLH2,0.915573244633097
RNMT,0.91556644400916
ETFBKMT,0.915226121372453
KCND2,0.915033880973475
PPP4R3B,0.914876683825601
ATF2,0.914718302122694
ENST00000521891,0.914360691199827
TMX1,0.913702663948644
ERGIC2,0.913648596787894
DCDC2C,0.913592525338713
ZNF736,0.91327511915274
TFAM,0.913180012249644
BCLAF3,0.913076819432372
CSNK1G3,0.912793122464625
BMERB1,0.912759425337773
LMBRD2,0.912588667977505
RALGPS2,0.912582366708405
WDR3,0.912473268134826
RBM18,0.912305589137196
NAA15,0.91229210848566
UNC80,0.912237943865208
GIT2,0.911899978989925
RBM41,0.911893364616794
RASEF,0.911878292830966
TAOK1,0.911758460861322
ZHX1,0.911480588198809
MARCHF1,0.911438760025409
TMA16,0.911382039246008
CNOT6L,0.911211101277652
VAPB,0.911108048819519
TAT,0.911045832717988
C3orf52,0.911025848372933
HTR1E,0.910972523944795
CAGE1,0.910860328571593
ZNF382,0.910734585633289
ZNF330,0.910707367015508
AP1S2,0.91053705768388
PUS7L,0.910376194445266
REEP1,0.910321299051701
QSOX2,0.910241176636876
SLC6A6,0.909853077175583
IREB2,0.909595192382286
TRAF5,0.909577594720017
SLC41A2,0.909483877368016
STEAP2,0.909229214242976
HNMT,0.909069866869242
LRRIQ3,0.909053842255982
