Gene,Score
WWC2,0.984046227935304
NDRG2,0.980922554631531
BCL6,0.977426464376325
SKA2,0.976960092656336
SLC12A5,0.969432496981724
FOS,0.945085489587461
TNRC6C,0.92759923250735
INSYN2A,0.913324470906019
TMEM158,0.900373222011475
DGKA,0.891335602827537
NFIC,0.880093916806624
EN1,0.878434037021894
DELE1,0.87773344545146
PATE3,0.874573654666795
TRABD2B,0.868495638790357
PPARG,0.868421296524518
ARHGAP8,0.858303712960907
KIFC3,0.848145989379683
ABHD16A,0.847812579913723
FDFT1,0.842249313482163
CPSF7,0.82642575293123
WDR54,0.825085553520686
LARP7,0.823254752834343
NIBAN3,0.818585460601783
ZNF256,0.817652133469578
USP42,0.814083483650184
MRAS,0.81080152495277
ANGPT1,0.80961252302684
TCF7,0.809400693607413
SNRNP70,0.807302220769955
SERINC4,0.801945216624883
