Gene,Score
KYNU,0.9999967859866
C8orf31,0.999412537324122
OST4,0.999393138841035
GCSAM,0.999389782870572
YWHAQ,0.999169658597842
PLEKHS1,0.998088163874088
RBKS,0.997755835310811
VSNL1,0.995010655453983
SLC38A2,0.993295697810028
HNRNPA3,0.991479989267251
MAGI3,0.991401406878905
NPEPPS,0.990049612762072
ANKRD52,0.990044780590875
RHAG,0.989058279774409
SLITRK6,0.988341804998718
GPATCH1,0.987991978497224
CREB5,0.987652505796384
SMAD2,0.987225447437158
TCEB3,0.984086227208731
CCDC30,0.983471117808264
GSTM2,0.982608877365178
C11orf72,0.981222190249741
TRPS1,0.981072905332703
SULT1C2,0.980792218384009
CLIP3,0.979216584055753
FAN1,0.979184469149553
RFX2,0.978168195538404
ATP2C1,0.977370131558868
TNRC6A,0.977198255471341
ZRANB2,0.975960798478923
CBL,0.974275858326212
USP48,0.972561709689312
ETNK1,0.971689465020001
CDH12,0.971292503379622
ACOXL,0.967562306957147
GRIN2B,0.965367924663963
IZUMO1,0.965052334574218
AHNAK,0.963108439885471
THBS1,0.963041829065316
MRTO4,0.962604691489924
FOXP1,0.962274165349938
HMGA2,0.960651068700506
EFNA5,0.960515250982097
EIF4E3,0.960461782669504
SCAF11,0.956883075963211
AMER3,0.955982518598425
USO1,0.955545055547179
CR769776.1,0.955408506398604
APOA4,0.954389707779431
SLC25A16,0.953248310536032
PPM1F,0.95262442109764
RABGAP1L,0.951082589960775
RP11-321F6.1,0.950547065620512
MEGF9,0.949631050202997
ELP2,0.948623557935794
KAL1,0.947951772529196
PJA2,0.94791732074511
ABI2,0.947743267602413
PRKCDBP,0.947422967599374
EFCAB5,0.945540730377343
INPP4B,0.945182958716939
GPATCH2,0.945048595484374
FNBP1L,0.944363088021594
ACYP2,0.94432392797286
SYT14,0.944297620851771
STK17A,0.944036053772755
KIAA2022,0.943785978375976
CMPK2,0.942371133775425
CBX5,0.942295669933032
CTBP2,0.941744823086935
ACMSD,0.941454025080867
RPL23,0.941389602922137
KCTD16,0.940552936292817
XPO4,0.940262210165951
RPL15,0.939792336215016
CCDC38,0.939266560468382
TANC2,0.939200221992285
PSME3,0.938692073295831
CDK19,0.938662253105215
MYO5B,0.937933407272314
FCGR2A,0.937441686126191
GOLGA6L6,0.937392703552719
INO80C,0.936452316943729
POU2F1,0.936065477343531
IBTK,0.935996061044505
KDM3B,0.933762041928948
CAPZA2,0.933594829372247
AL645730.2,0.933093418132876
CPXM2,0.93265165599939
TCP10L,0.931578893615875
APOL1,0.931004134608263
LARP7,0.930742927159913
HIST1H2BN,0.930645886408815
C21orf33,0.93019004567242
GOT1,0.92961446566379
NPTX1,0.928402399837795
XKR4,0.926536963329555
CLSTN2,0.926516338539458
JPH4,0.926282782236324
SEPT3,0.925517431343274
PPIP5K2,0.922352024570022
AC005477.1,0.921843810854659
KRTAP4-6,0.921699379125981
SLC28A3,0.921353814509721
MKRN2,0.921160215068405
IQCK,0.920861643475486
ZNF740,0.920763827975023
APC,0.920615808726159
RPS3A,0.920196439275437
TSG101,0.919853471314547
PSMC4,0.919130960536272
MAN1A1,0.919056076657598
AFF1,0.918894467823478
APOL2,0.918861008631381
DNAJC5G,0.918063413055796
ZNF773,0.917715119894409
ENSA,0.917570079940901
DLEC1,0.917543782493162
C2orf88,0.917035900921772
CSGALNACT2,0.91690732892146
ZNF704,0.916616096428006
SLC24A3,0.915640758961262
NARF,0.915430106228789
CFLAR,0.913917757797132
DGKH,0.913062612022872
ODF2,0.912851624421018
CDK3,0.912703010862346
CRB1,0.912019530000851
SRRM4,0.911535663705828
SERF1A,0.911402074707423
IDH2,0.910093734984555
GCNT2,0.909957848196192
NDUFA8,0.909944428776641
C1orf106,0.909777027555071
HAPLN1,0.909512802150313
SMAD9,0.909435922528109
NRF1,0.908607326461934
FAM117A,0.908427796695747
SYNC,0.908048586436463
CD33,0.906427484556665
ZNF880,0.906262323054261
KLHL6,0.904358826453197
ANK3,0.902172784083811
GGA3,0.901474906853624
ALKBH5,0.900345147049923
DNAJC22,0.899393603140728
IYD,0.898227271409164
CCDC73,0.898152666104822
SYT2,0.897982829238641
MKRN1,0.897972765654841
CD28,0.897398204384941
HSPBAP1,0.897334231304006
POGLUT1,0.897143231789623
KIF6,0.897093248395368
FUT4,0.896815008798131
CDH2,0.896286819616023
AP1S2,0.895665714927918
MCM8,0.894273299531185
KRT222,0.892824386238322
VPS35,0.891838933221342
PMS1,0.891721937236127
MYF5,0.890499848619395
CIITA,0.890274129648275
PCDHA9,0.889906110127513
TNFSF10,0.88960335215641
BMP2K,0.889272329456929
WBP1L,0.888009774195297
OXTR,0.88764316923651
TMPRSS11A,0.887394667500907
ISY1,0.886550739435803
MTRF1L,0.886303375829928
KMT2C,0.885940335746094
ZBTB25,0.885759776227656
CD6,0.885710994019274
PYY,0.885499541389959
ASAP2,0.885355194147711
DKFZP761K2322,0.884944909707767
NDUFC2,0.884912921143585
PAEP,0.884577444379524
HOOK3,0.883762184209807
GORASP1,0.883311070403646
MAP3K2,0.883251138268165
WASF2,0.883201199072727
CAPRIN2,0.882860666833116
CLNK,0.881660133431679
C10orf25,0.880844560763151
FBXO16,0.880589693816059
PLEKHF2,0.880559591620687
Z98049.1,0.880062431304893
P2RX7,0.879507799858791
RP11-444E17.6,0.878871731399849
KRT5,0.878400748645199
NRXN3,0.877207638269339
GPRASP2,0.876747493193359
ZNF208,0.876666347480816
IRAK3,0.876042280084839
NCALD,0.875473512004771
PEX26,0.874974109338104
EBF2,0.87493071232823
ERRFI1,0.874837667217339
OSGIN1,0.874573802734988
MTF1,0.872600876755174
YWHAZ,0.872465725769952
GRAMD3,0.870362191938861
ATP10B,0.870209237142095
USP37,0.870177261656651
ZBP1,0.870156062498366
HMGN5,0.869618234719055
SMARCC1,0.86894571267964
CMTM5,0.868926963463234
DTX4,0.868844640191775
STXBP5L,0.868795871944807
NTM,0.868707187129046
H2AFZ,0.867695583910228
TMEM133,0.867247167259943
SLC16A2,0.866995274959075
ELMO1,0.866250876201302
SLC10A1,0.866144374911036
FGF2,0.865569242032266
PDK3,0.865256078579257
PPWD1,0.865255090280837
PROX2,0.86512969007806
RASSF8,0.864939960959583
RNF175,0.864818525627105
SOGA1,0.864763090405964
RUSC1,0.864386907128488
GRAMD1B,0.864196681158783
KCNMB1,0.863662605113008
ADD3,0.863348533327835
HOXA1,0.862556015744355
RP11-455G16.1,0.861575534720714
CDH13,0.860654121117593
RAB7L1,0.860456635155952
EIF4EBP2,0.860100208549088
CNKSR3,0.860043703254938
ARHGAP30,0.858401888458359
ZNF726,0.857738155806024
NEDD1,0.857528781860252
HELZ,0.856692983843141
BBX,0.856261529322154
UBA6,0.856193880858248
TRIM14,0.856156088250961
SLC25A32,0.855892768602621
RIMS1,0.855406225683324
SLC35E3,0.854792890152674
MS4A14,0.854743422905642
RNF217,0.854242491313094
SHPK,0.8541682317547
NRK,0.853156949742071
TOM1,0.852426390352396
SKP1,0.852371746817504
ZBTB37,0.851794136760332
KIAA1407,0.851685198433837
TXLNB,0.851527779005124
TRAPPC11,0.851428466513341
MC2R,0.851279938917262
PTGS1,0.850309567236065
CDC40,0.850253152125431
CACNA1B,0.849481985335369
EXT2,0.849354363293646
AC026310.1,0.848944891869636
CT62,0.848869162976654
ALDH5A1,0.848525423772682
POM121L7,0.848149508562099
ARIH2,0.848091010193128
VCL,0.847377073013632
EIF4E,0.846970303337661
SEZ6L,0.846061712528768
FAM46C,0.845779425358602
C16orf52,0.84556029487784
