Gene,Score
CCDC38,0.999957266480942
PAGE3,0.999892905809621
YWHAG,0.999888127934245
AGFG1,0.999250014557593
FBXO3,0.99892316758454
MGAT4C,0.998829416341286
SH3RF3,0.998468384789598
KIZ,0.998443708180377
HLF,0.998419328398885
SMAD2,0.998296321787741
ENST00000618907,0.997952219977512
CARD8,0.997815447688755
NHSL2,0.997614817215926
TUBE1,0.997601220359509
MTCP1,0.997395272585109
USP33,0.997319062795575
PKP2,0.997286661681362
SLC4A4,0.996632559169168
MAN1A1,0.995427760571242
RPS6KA5,0.995057558189196
EAF1,0.994940686500729
RGS7BP,0.994676010472508
UBE2E2,0.991810262703189
TCP10L,0.991173924360071
KDM7A,0.991119926416422
TMX3,0.990790236488746
OXSR1,0.990690276823386
BBX,0.990584228809908
ATP2B2,0.990409372761607
PLEKHA1,0.990279115294134
CXXC4,0.990185621679454
TCF7L2,0.989997464970448
TET3,0.9894836618658
NR2F2,0.989260697421561
GNAI3,0.989086978314237
MTAP,0.989045194086582
SEC23A,0.988714980807093
GABRA4,0.987375898361543
HOOK3,0.987166571743138
TRIM13,0.986059966106787
ELAVL2,0.985844379326864
SSBP2,0.98520422624569
AKAP6,0.983550139447236
PRKCI,0.982964127331486
HHIP,0.981795773365281
ZNF680,0.981291655112979
FLRT2,0.981150612653253
DAAM1,0.98065645271151
WASHC4,0.980527578261047
SINHCAF,0.980135077451245
GRIN2B,0.979809377447832
NR2F1,0.978589142868855
SOX2,0.978126474276455
ARHGAP15,0.977964959459623
POU2F1,0.977923784879081
KCNK10,0.977055932775307
IMPG2,0.976223288245782
UBE2W,0.975764208700545
MPPED1,0.975541711869421
PLEKHA3,0.975460512713917
STRN3,0.975384874562786
ENST00000456098,0.975189778800062
EIF4G2,0.975015895970806
PAN3,0.974300390402137
PCDHA4,0.974272809955885
CCDC65,0.97424996746711
PFKFB2,0.974127178372486
LANCL1,0.973293101226743
CTSC,0.973276726030765
MYLIP,0.972837055054799
CNOT6,0.972487773960711
SYT16,0.972308439848374
HNRNPR,0.972285221095691
MSRB3,0.972195562571954
MCCC1,0.970918904963932
EPB41L4B,0.970230377582979
TIAL1,0.97021908928659
SSR1,0.970031301012401
PTCHD1,0.969038448093473
PHTF2,0.968577203221345
DACH1,0.968479255430708
RAP2A,0.9683402696269
KCNJ6,0.968044092604858
PRUNE2,0.967211882893926
MIEF1,0.965733176190096
C7orf31,0.96552435656838
PI4K2B,0.965139313283413
SENP1,0.965026518500089
FZD3,0.964345262219348
ADGRL2,0.964229468121266
KYNU,0.964047779412899
PDE4D,0.962699590761316
FRK,0.961806604809296
PCDH9,0.961394739011932
DNAJC10,0.961348765640922
ZNF746,0.960791990447421
KCNC2,0.960497627752234
NSD3,0.959823267782186
SUMO2,0.959365433075782
FRRS1L,0.959336724882978
RPS27L,0.959266763424004
AKT3,0.959204677137682
RC3H1,0.958068794778714
CRIM1,0.95767874723566
CDC27,0.957379469952492
NTRK3,0.956636266945639
GABPA,0.956583181003874
HERC3,0.956378444817818
KRR1,0.956090847053383
CSTF2T,0.956086801280763
FAXC,0.956070238250382
