Gene,Score
MEX3B,0.99885952912259
ELAVL4,0.998136118909258
PTPN12,0.99797848026593
PLEKHA3,0.996163019786449
FAM8A1,0.995089786358915
FLRT2,0.994512614450337
ZEB2,0.993608529028074
ZNF536,0.991549710560303
PCDH19,0.991179175248308
KDM6A,0.991105855386266
CHD7,0.990388719187046
RRAS2,0.990274475393153
ENST00000616528,0.989668461111871
MAP4K5,0.988685701276459
SGMS1,0.988305800389899
CASK,0.988283593934114
RPS6KB1,0.987688109238817
ERV3-1,0.987620071741997
ARL5A,0.987230213206425
ENST00000628277,0.986090105230644
ASRGL1,0.986043712597035
GPATCH2L,0.985217536861826
MTAP,0.985068727700162
MAK,0.984281652155077
JADE3,0.983974627233577
HELB,0.983098500149555
CERS6,0.983059016191413
JMY,0.981547927102096
PAX6,0.980221632099572
ZNF532,0.979733355954076
QKI,0.979731475114385
GLI3,0.979722797732958
GTF2E1,0.979474980925352
OTOGL,0.979333222830109
ATRN,0.978896803577909
PCDH9,0.977851397313694
CFL2,0.977517838118241
PPP6R3,0.977129164081282
PLEKHA8,0.976495961382937
HOOK1,0.97552761590364
SORL1,0.975447534401595
GLRA3,0.9754010732613
FAT3,0.975057270414386
DACH1,0.974870712684213
NUP153,0.974575430524865
CNOT6L,0.973809269882282
CERT1,0.973607366351576
TMEM220,0.97348465467683
ATRX,0.973423924326664
C21orf91,0.973164188671668
XKR4,0.972483088586843
FOXG1,0.971061012298018
RNF10,0.969513980647174
FOXN2,0.967716526295385
NAMPT,0.96764756888548
ZC3H6,0.967305715034592
CELF2,0.96653042822889
NFIA,0.966189691296725
BNC2,0.966050647307159
CCDC50,0.965598116014376
RPS6KA5,0.965137681911717
ITPRID2,0.964635435039932
PGM2L1,0.964443413977614
YAP1,0.964180925663359
CDC73,0.963552544403007
ZNF292,0.963248271997504
RBM24,0.96258432497498
IAH1,0.962471263861227
EIF4G3,0.962122249596579
CADM2,0.960873031001428
GPM6A,0.960304120083963
ETV3,0.960178304575531
ZNF891,0.959954420417951
MOSMO,0.959889753331884
TET2,0.95976576360366
SLC2A13,0.959663288667229
LIN7A,0.959453089030869
PAK3,0.959425163896055
KYNU,0.959105382195248
USP12,0.958803928745365
KDM7A,0.958460834810015
RET,0.958257140694832
ENST00000584874,0.957067399111933
STYX,0.957054237806133
RFTN1,0.956911878678665
SLC5A3,0.955907512037988
ENST00000222753,0.954570109224275
SIX3,0.952801237140742
NRIP1,0.952075003462624
FOPNL,0.95205725759035
YWHAQ,0.952000047003162
SPART,0.951682203751155
IGIP,0.951529526989489
FUT9,0.951480842719999
AFF4,0.951014159932158
SH3KBP1,0.950339395695296
PPP3R1,0.949964141352053
FIGN,0.949804408213107
VWC2,0.949752355722028
SULF2,0.949417240006414
FRMPD4,0.949031217783362
NPY1R,0.949018229699569
HBS1L,0.948764636044528
ABHD17B,0.948672116396842
PTAR1,0.948494460466108
IMPAD1,0.947358422713132
RNF13,0.947181868277072
DTNA,0.947105579621389
SLC23A2,0.946638200852734
NXPH1,0.946287114372663
SAV1,0.946119909390269
CCNYL1,0.945806093469431
NRG1,0.945529555822674
SLC16A7,0.944566133766744
CRIM1,0.944134261878611
RIC1,0.943554620924526
SKA3,0.94248889820612
CDC42SE2,0.941134963641586
CUL5,0.941080549282195
SLC35F1,0.94100550591246
PLXNC1,0.940824505716211
PCNX1,0.940085077179286
TENM3,0.939569278908314
CDC42BPG,0.939515637360469
CAND1,0.939342513314556
OTUD7A,0.937945041023116
CARF,0.937941423306913
FUBP3,0.937463531085044
SDR16C5,0.936584980665887
LIN28B,0.936287235633542
ZDHHC17,0.935305508633147
TLL2,0.934937199159017
ITGAV,0.934647509750711
ZC3H14,0.934157060233103
SETD7,0.93297588927262
PRPF40A,0.932918246307205
PLXNA2,0.932836552788873
ARIH1,0.932687967038883
RAP1B,0.93207391119432
NUDCD1,0.931608877035895
INHBA,0.931201135470974
ZNF141,0.931158726450215
TMEM161B,0.930713562249871
MYT1,0.930622296997321
SLK,0.930066003841705
USF3,0.929682640516575
MCFD2,0.929417166962822
HNRNPLL,0.929272020625796
LHX9,0.929151209179816
TSHZ2,0.928581300903888
TOB1,0.928408345515871
PPM1E,0.928352387994248
UTY,0.928293301309793
FN1,0.928268339995218
MED13,0.928052472080463
PRTG,0.927838609581164
HIPK3,0.927589191191585
SECISBP2L,0.927565620021908
YES1,0.92752095180147
POU4F2,0.927443654449941
OSBPL11,0.927313083283064
NOVA1,0.926653967373055
SLITRK5,0.926006643077324
LMAN1,0.924441273604042
RASSF8,0.923896647527789
UGCG,0.923559642203189
PDIK1L,0.923065825988804
FRMD6,0.92238819386052
GABARAPL2,0.922375006794385
RELCH,0.922115362504837
B4GAT1,0.921712099267846
RCOR3,0.92164793331302
MIER2,0.921487917120722
MARCKS,0.921363043664515
WASF1,0.920658238003817
PCDH10,0.920310879851367
MINDY2,0.920263560572664
ZNF708,0.920060757021819
BRWD3,0.920009359249421
SMAD2,0.91850640054661
NEMF,0.918131718363184
FMR1,0.917514073806479
FAM135A,0.917392925305867
HNRNPR,0.917331238116757
ZYG11B,0.917009173809127
LATS1,0.916873638985927
WDR11,0.916776414418653
ZCCHC14,0.916360620138902
RO60,0.916139745110275
POGLUT2,0.916110526185942
KANK2,0.915428113138774
VASH2,0.915230426568844
ADGRL4,0.91516069694298
DNAJC10,0.91486499988437
ENST00000546136,0.91483695240387
TMEM154,0.914757442156262
IREB2,0.914501254727347
SORBS1,0.913740932390211
ACVR1C,0.913638271669667
TMEM65,0.9117147344108
MLIP,0.911593791837575
CFAP97,0.911267360924609
NR4A2,0.911116470989164
BMS1,0.910343856735612
RBM48,0.910172154638414
WNK3,0.910091771984259
GRAMD1B,0.909183629460491
ATP7A,0.908776072906713
SLIT1,0.9085661245397
PLPPR4,0.907833899076662
GNAQ,0.907512496695728
PELI2,0.90732399218505
ZNF326,0.905863840697248
KAT2B,0.905360149340456
RBFOX2,0.904888419021925
ELAVL2,0.904590064344098
RTN4,0.904386378756068
LYPLAL1,0.904202572564736
DGKE,0.903844699290556
TP53INP1,0.903333634243268
STOX2,0.903291525086956
CAMSAP2,0.903278372531569
GLRB,0.902949978587468
TMEM185B,0.90265432348532
FAM126A,0.902317217862643
USP8,0.901549001545136
ZBTB25,0.901441776004449
MMUT,0.901177378535334
CCDC141,0.900938541514064
HOMER1,0.900885740824357
ZNF680,0.900837157798543
GPC6,0.900564781253736
GTF3C2,0.899913653581145
PKN2,0.899532427293263
ARID5B,0.89943198801325
ZFAND6,0.899173659443327
BCORL1,0.89823400869463
MYNN,0.898081952952459
DAZ2,0.898049839900101
RUSC2,0.897885851402717
DAZ1,0.897831827927927
DAZ4,0.897651632116896
HNRNPH2,0.897539485007081
DAZ3,0.897502727836729
PPTC7,0.896985218780345
SIRT1,0.896641833949968
CIP2A,0.8965488826284
MYOF,0.89618655428475
GAD2,0.896098613598588
XKR6,0.895787595398805
ARHGEF7,0.895687222224955
EIF4A2,0.89532721996697
TEC,0.89507426635596
PRKAB2,0.89500195892595
USP15,0.894803648840309
PPP2R5E,0.894615452767738
CBR4,0.893979700043721
PTGER3,0.893973254145916
PTK2,0.893655845037078
ESD,0.893272944813198
TENM1,0.892595614882634
ZFPM2,0.892491111786902
GPR27,0.89228944769549
PTPN11,0.891353386389068
ZFX,0.891232891355146
ORMDL1,0.891090417015042
ACVR2A,0.890955773617175
AMMECR1L,0.890230799784329
RASEF,0.890174448070064
SLC35D1,0.890102067730993
MAP3K2,0.889603007655644
CHST9,0.889552280319746
YTHDF2,0.889005837865253
RECK,0.88883054203786
ME2,0.888703078242138
SLC30A4,0.888130358015829
PTPRG,0.888059252472474
SMARCAD1,0.888004693062786
CLVS2,0.887754287696298
PRRC2C,0.887481064597853
PTPN14,0.886075483131788
HEG1,0.885548631444409
ROBO2,0.885507741172212
SLC8A1,0.885436177025009
ENST00000360093,0.88501495879179
HIPK1,0.884910416786074
FAM107B,0.884801786823912
EEF1AKMT2,0.884781815018049
GXYLT1,0.88457837721214
ING3,0.884295529535303
SUGT1,0.883874390147563
CDH8,0.883787796622044
VTA1,0.883689201885187
RASA2,0.883604447719406
STRN3,0.883256738329399
DIS3,0.883183104114295
ANKRD40,0.883072806140445
CNKSR3,0.882697802907719
KMT5B,0.882672670538814
PLCB4,0.882498262388109
USP6NL,0.881914804525345
ZNF124,0.881671196559385
ENY2,0.881520448410079
ASB2,0.881508188784404
STEAP4,0.881503003212834
FBXL16,0.88138881518102
SMURF1,0.881158392222189
MTF2,0.881094457028603
ABCA1,0.880053670542604
KCTD9,0.879955647058782
PDE5A,0.879912998311812
GMFB,0.879871173658104
RPS6KA3,0.879783756071516
MAPRE1,0.879183401461273
PPM1F,0.878672993066552
ADD3,0.878560404556681
SLC4A4,0.878506551345797
SNX30,0.878417654704175
NPNT,0.878411299712259
ENKUR,0.878297697721153
PTPN21,0.877738914648973
