Gene,Score
CSRNP3,0.999999999955132
BMP2,0.999999996023671
HOXC6,0.999999982806184
C18orf25,0.999999917875668
MMP16,0.999999460696967
KDM7A,0.99999930690162
SINHCAF,0.999999218916393
ESRRG,0.99999888726698
HELZ,0.999998349236561
CSRNP2,0.999997815646997
ZNF217,0.999997602095765
HAS2,0.999997355416092
STAG2,0.999996046052889
JADE1,0.999995975963488
SAMD4A,0.999995057764273
FMN2,0.999994937253451
HDAC2,0.999992641981657
ETV3,0.999992451509019
RPS6KA5,0.999991898153277
RUSC2,0.999990416113145
PPP1R3F,0.999988322294576
RAB2A,0.999986304501292
PLEKHA3,0.999984944412215
ENST00000329286,0.999982259926374
BAZ2B,0.999976288130681
DGKH,0.999973448451536
RFX3,0.999973444495241
PPP2R5E,0.999973106136936
MGAT4C,0.999971813433498
SP4,0.999970679172744
RND3,0.999969701296182
FOXG1,0.999958854869232
PRDM4,0.999958732904919
DKK2,0.999955923407049
CXXC4,0.999950746279055
TET3,0.99994792995387
PPP1R14C,0.999944488275685
SMURF2,0.999940361551424
CNN3,0.999928507027264
TP53TG3E,0.999923711329084
ENST00000446377,0.99991966184362
TP53TG3D,0.999919303197364
TP53TG3,0.999917699789673
E2F7,0.999917351013209
USP13,0.99991121240286
KANK1,0.999905905452295
UBE4A,0.999897057651214
LMO4,0.999895679595577
ADAMTS4,0.999888109355341
CLASP1,0.999875795178984
ADCYAP1,0.999873114224295
UBE2V2,0.999870109016632
RNF111,0.999864493049016
ARFGEF3,0.999851794994838
RBM3,0.999841021662113
KCMF1,0.99983537349715
ZNF618,0.999815832931672
USP9X,0.999810887134357
ENST00000340057,0.999810340812335
B3GALT1,0.999809899248553
PCDH9,0.999804769179991
LYSMD3,0.999803717901285
COL8A1,0.999801918645254
NCOA2,0.999795926317628
ARMC8,0.999793712009087
NR6A1,0.999785848511301
BPTF,0.99978406964391
CNTFR,0.999776635261173
NEUROG2,0.99977390297021
FCHSD2,0.999767141668715
BCL11B,0.999731486350339
NCAM2,0.999729377483433
BCOR,0.999727421060715
THSD7B,0.999726659605221
RASA2,0.999717684687925
LSAMP,0.999695795956436
PTGER3,0.999693967674765
ENST00000392845,0.999682262932408
TSGA10,0.999668526556341
ARHGAP29,0.999667844705498
MTAP,0.999667797338785
NHS,0.999667766330567
GNAQ,0.999659630420194
JAKMIP2,0.999649416944314
SMAD2,0.999646269193378
TMX1,0.999640051563831
LEMD3,0.999637609852474
CD24,0.999637229643386
RAB21,0.999610330851057
LTBR,0.999608197823355
CLASP2,0.999606258384566
SIM1,0.999598756377174
ZNF516,0.999594340981183
AFDN,0.999592030903486
KIF5A,0.999576456077694
TTC39B,0.999574322547815
MYT1,0.999565402838816
GAD2,0.99955925268788
CEP85L,0.999557030799726
PMAIP1,0.999547616390624
BAZ1A,0.999537927236214
YIPF4,0.99952694868273
EREG,0.999525602138793
NFIB,0.999521234818744
SDE2,0.999511247307446
PPP1R12A,0.999508626874211
SERBP1,0.999501737218133
GFPT1,0.999500278163249
QSOX2,0.999486355736447
BCL2L1,0.999483621925334
USP15,0.999448988386819
ARPP21,0.999441968704542
NR4A3,0.999428599155885
ADAMTSL3,0.99941536779396
SND1,0.999395439414712
MAPRE1,0.999380419811719
ENST00000245323,0.99938025485539
IL23A,0.999373017353489
C5orf24,0.999369040426156
ENST00000558190,0.999364314579191
WNT9A,0.999363459224192
RBM46,0.999339787325576
ACVR1,0.999326682974487
AFAP1,0.999324748889751
MFF,0.999278522965706
BHLHE22,0.999268128735691
PDE10A,0.999257547540171
STRN3,0.999238419828559
ITGB8,0.999228477931024
ZFP91,0.999211657178814
NOS2,0.99919092485546
CDYL2,0.999188445739767
VSTM2A,0.999183355219992
FRG2C,0.999168817929193
BRPF1,0.99916282234459
BICRA,0.999162753925256
BCL11A,0.999155303074724
DYNC1I1,0.999151630561643
LIFR,0.999116933282672
GPD2,0.999102722697377
ACVR2A,0.999099628185719
ARHGEF12,0.999097245869323
ENST00000607157,0.999091633185815
SLC22A23,0.999089358268812
TOX3,0.999084287324179
RIC8B,0.999055038942253
PIM1,0.999038042187964
ARID4A,0.998965435255841
ENPP4,0.998952522967522
LNPEP,0.998921509080631
MAGEE1,0.998920805886125
CAMKK2,0.998920009422946
ELAVL2,0.998913818746066
HIPK1,0.998902445275699
ACBD3,0.99889939315821
LRP6,0.998858486192494
BTBD3,0.998770489697402
RRAGC,0.998761977850096
NPPC,0.998685898257719
SORL1,0.998664631765926
PTBP2,0.998655608391769
VDAC2,0.998590044465125
DHX40,0.998569471411315
CDC14A,0.998569062035966
FLRT2,0.998538137539581
WHRN,0.998533912868185
MED14,0.998486479841973
XPO5,0.998486160745054
AREG,0.998468961254041
SLC7A11,0.99845170059815
FOXN3,0.998447639410786
ZFHX3,0.998424563783536
ATP2B4,0.998414321209414
PPM1B,0.998414028014175
AGO3,0.99841083366163
CXCL3,0.998410309138392
IGFBP3,0.99840672629384
DDX6,0.998403416006304
SBNO1,0.99837062039316
INTS6,0.998362769988492
AFF4,0.998349434919042
PPP3R1,0.998342877491504
ACVR1C,0.998335162336278
SIPA1L2,0.998299482963611
RAPGEF5,0.998296526080156
NBEA,0.998255563285527
SLC24A3,0.998234641910669
RALGAPB,0.998219872601364
NAP1L1,0.998209666917502
GNB1,0.998182486773114
KCNH8,0.998132646429689
SDC2,0.998105626985776
MFSD14B,0.998102136535127
SLC6A6,0.998088111763997
IL12B,0.998061293719116
HACD2,0.998041476913289
TIA1,0.99799916621001
TSC22D2,0.997975904120585
HMGXB4,0.997975266292328
BANP,0.997973918668948
RASA1,0.997970386096998
TRPS1,0.997958032092282
DMXL1,0.997953988535364
EIF4A2,0.997942924415571
FZD3,0.99794139063815
SLC44A1,0.997936641380343
FER,0.997906734073054
MEF2A,0.997885670486663
DLL1,0.997874954954572
ING3,0.997847698926991
PTPRB,0.99784466030184
GULP1,0.997839264795434
PANK1,0.997831005684846
IMPAD1,0.99781332770604
PDP1,0.997802835020087
GRK6,0.99778017838279
ZBTB37,0.997777463661519
ARID4B,0.997744826287544
RELN,0.997722055440733
KMT5A,0.997688851042918
ASB15,0.997640740873169
GRB10,0.997640518889305
THAP6,0.99760649511858
FAM126B,0.997586262158636
ITPR1,0.997578570990244
MIER1,0.997533614569036
ZNF383,0.997530968744547
SLITRK5,0.997521374969842
KCNMA1,0.997498713942584
CCSER2,0.997493860600462
SECISBP2L,0.997480987821578
APAF1,0.997467759720983
PTPDC1,0.99746688226405
ING1,0.997459765585301
ARID3A,0.997449264368793
ADAMTSL1,0.997446279316967
PBX3,0.997412799110545
TOX,0.99738944331745
SLC23A2,0.997387734424264
SLITRK4,0.997386304558621
XKR4,0.99734543238688
IRX5,0.997295520332264
TENM3,0.997270534031627
IFNLR1,0.997239854080231
IL20,0.997206959756058
IL3,0.997193479134844
PPARGC1B,0.997190232148408
SUPT16H,0.997183506871222
CYRIA,0.997181314266167
GRK5,0.997172589108023
MBNL1,0.997108299406698
ZMYND11,0.997098041265035
TEAD1,0.997094371534948
HIPK3,0.997088549813357
RGS17,0.997088449297782
TMIGD1,0.997072464191937
PRLR,0.997071490757396
VCAN,0.997057567046807
TOB1,0.997043300086498
LDB2,0.996924825589775
TNF,0.996918199406933
ARIH1,0.996899589213225
CNOT2,0.996852152009308
LGR5,0.996849781413413
KAT2B,0.996846784253938
SNRNP27,0.996844628685112
IL11,0.996826036651463
CHUK,0.996824295245337
PIF1,0.996784584852521
AZIN1,0.99674590254202
GLRA3,0.996743920730557
TRAPPC6B,0.996715080817345
CDK6,0.996705484912831
MTF2,0.996703986257818
GMFB,0.996675483279272
SEZ6L,0.996660989697005
MDM2,0.996631494681589
ALCAM,0.996618901369467
ZNF706,0.996614707782177
FRG2,0.996612232987123
ZNF891,0.99658174006737
TMEM161B,0.996525574447409
GOLIM4,0.996511581085918
B3GAT1,0.996472774128359
GDF15,0.996456263541314
GABPB1,0.996405393984409
SATB2,0.996400760417396
PCDH18,0.996387655598768
ENST00000558084,0.996348695886327
RBFOX1,0.996345453445338
TOMM22,0.996341944428339
FMN1,0.996322629269418
ZNF536,0.996307178647462
YWHAZ,0.996299341964745
RPL14,0.996251376937388
HOXB3,0.996233785809133
EDEM1,0.99622813055831
PLAG1,0.996222447796225
SNX16,0.996222054291479
CARNMT1,0.996206704219389
KDM3B,0.996180208828838
FBXL20,0.996150311554552
NDRG1,0.996127628782395
TBX15,0.996105689211102
ZFAND6,0.99608584662371
SGIP1,0.996084831957282
ZC3H6,0.996072556236446
LRP12,0.996070754277008
CCNT2,0.996028202286504
TAOK3,0.995981974093054
TMEM255A,0.99596765560423
CSF2,0.995936344622451
BUB3,0.995887492318618
NR2E1,0.995827499326798
CBFA2T2,0.995825173189066
DACH1,0.995778958209353
GABRG3,0.995765781688945
UNC5CL,0.995712696489073
FBH1,0.995694876166233
SURF4,0.995679123403867
SGCD,0.995673480776945
PARN,0.995662129400657
UBAP2,0.995656093628166
ENST00000468418,0.995637550200146
RNGTT,0.995632523099613
LPGAT1,0.995604762939195
KCTD20,0.995575142955189
FRG2B,0.995494073530124
PTGS2,0.995461428335357
KLF12,0.995388371085663
PTAR1,0.995369297423189
USP46,0.995361141499434
SLC25A4,0.995321499748286
ELF1,0.995263103163749
ACKR3,0.995252478691041
TXNDC11,0.995245681416875
ACLY,0.995130581742509
TLK1,0.995103239692216
MNX1,0.995098302017182
C18orf63,0.995095445415735
KAT6B,0.995085080467788
FZD1,0.995084277476021
RAP2C,0.995065127390905
FBN2,0.995043975323677
FGF13,0.995039209173097
ZRANB2,0.994984745825694
RSF1,0.994939173404706
BICD1,0.994917843557925
CNIH4,0.994904182273746
SBNO2,0.994828409418873
ADGRG2,0.994807890042006
LCOR,0.994789025036755
PPM1K,0.994746581616011
NAV3,0.994593208439611
BLOC1S6,0.994573711863546
RHOBTB3,0.994565120627426
BDP1,0.994551904885022
VWC2,0.994457119523425
SLC35A3,0.994453789537147
NFAT5,0.994431950484229
ADAM10,0.994422449912037
ZFP36L2,0.994399973609511
TXLNG,0.994369116505186
ALG10B,0.994345694297366
SNRK,0.994345366355825
KCTD8,0.994316030536205
TAF8,0.994308730103694
GTF2A1,0.994274617803606
B4GALT1,0.994271967279781
FXR2,0.994240056193551
ATAD2B,0.994230543116761
SDHC,0.994205592771092
BNC2,0.99418347130186
FAT1,0.994177769500847
ZNF609,0.994160613657573
CUL4B,0.994140879671811
RC3H2,0.994121665248906
LARP1B,0.994084769199173
ENST00000397239,0.994069855225737
NUFIP1,0.994065901861311
ZNF385D,0.994035010359797
UTRN,0.993975500739598
CHRD,0.993970052811024
PCDH11X,0.993967213495853
B3GNT2,0.993955134846632
ZBTB10,0.993938531057194
SUGT1,0.993887080300491
SCAI,0.993881092358477
TMEM106B,0.993858334364839
KCTD5,0.993845996590153
XPO4,0.993791347875778
ATRNL1,0.993789583351388
DNAJC27,0.993778024420119
RSPH3,0.993769634790513
MRTFB,0.993713579699682
CDC27,0.99370794234808
IL17C,0.993684812453791
HOOK1,0.993593633133299
EDN1,0.993549507123675
ESYT2,0.993510117764475
ZDHHC21,0.993502199957179
IGF2R,0.993440797790779
PIK3CB,0.993426837356158
ZNF326,0.993411994575637
SLC25A36,0.993388358450837
MID1,0.993380137544001
ZBED4,0.993355803350411
LPP,0.993352970332227
PGF,0.993339316620969
PRDM6,0.993338428265726
LATS1,0.993315204909233
CNTN5,0.993259194258165
GANAB,0.993244352778777
LRRC8C,0.993153136242886
PURB,0.993120775818499
KIAA0586,0.993096920573222
CNOT6,0.993081878963938
KIAA0408,0.993058903047039
GUCY1A2,0.992907607059114
REV3L,0.992845685584117
LIN54,0.992843902645428
PCDH11Y,0.992786454190242
RC3H1,0.992774414597553
RORA,0.992747341818233
ENST00000426016,0.992742485087036
DHX36,0.99269787124676
FMNL2,0.99262753200193
NAMPT,0.992608603171263
DRD1,0.992604539267178
PIP5K1A,0.992556144393738
WDR12,0.992534496079125
PKIA,0.992492104288992
E2F2,0.992471936696421
PALLD,0.992383873732761
INO80D,0.9923785624702
ZDHHC20,0.992336428458928
IFNG,0.992305490767419
AGFG1,0.992122531897669
HOOK3,0.992114990152792
MAPKBP1,0.992076527659811
CCSAP,0.992037917675667
ZEB2,0.992029270563739
CPEB3,0.992025441832391
PAX4,0.991925893069338
SIAH1,0.991901987378928
ENST00000378565,0.991901131397195
NKX6-1,0.991899741234612
UBE2Q1,0.991873320504595
SLC10A7,0.991840330487645
TPP2,0.991813783823172
MED12L,0.99180704689725
GAB1,0.991729385593191
CPSF6,0.991667604697626
FLRT3,0.991656191619671
MECOM,0.991555300899596
MFN2,0.9915461155138
SLC38A11,0.991494093419221
PACRGL,0.991456464953592
UBN2,0.991416642309343
OGFRL1,0.991360260268052
PWWP2A,0.991293365365104
ACSL3,0.991278750753909
STC1,0.991264635329145
FRYL,0.991255122222704
KCNJ6,0.991237608876073
RNF115,0.991213174639443
PLPPR5,0.991206024793419
KLHL14,0.991198557473988
EIF2S1,0.991089669254649
CPEB2,0.991070687896396
IL6,0.991059287511624
EBF3,0.991052476779424
CD226,0.991013118628424
ARHGAP12,0.991011819461662
IFRD1,0.991003127604385
ANKRD50,0.990996518452039
PCGF5,0.990993756074193
IL12A,0.990976399763746
ZFP82,0.990957300139827
MBD5,0.990955103119774
ATP6V1C1,0.990944203400183
MAPK1IP1L,0.990936597957556
FUT9,0.990928251695573
GTF2E1,0.990918925958339
ENST00000481445,0.990886441269416
LRCH1,0.990864402822563
TERF1,0.990838634767673
C12orf49,0.99078501518631
LEPR,0.990770414827029
COL11A2,0.990753598217142
ERG,0.990724014973824
SRGAP1,0.990723792528342
SLC25A14,0.990546791517908
SLC30A7,0.99053894637486
ELOA,0.99049428998506
SRSF11,0.990490707807407
SENP1,0.990384002128224
JAG1,0.990333447785253
FRRS1L,0.99029017733958
SYNJ2BP,0.990281971673955
MYO1E,0.990210729779241
SGPP1,0.990169055486887
NUFIP2,0.990131701289933
ZNF207,0.990130883086066
CSF3,0.990079504149577
REPS1,0.990037483037847
EFR3B,0.990005286648088
CD2AP,0.990002143079376
HDAC1,0.989903273707687
PLA2G2C,0.989851830539981
N4BP1,0.989800904512814
AJAP1,0.989797463677841
ZFR,0.989745560750022
PDCD10,0.989721312259563
SEC63,0.989669321731751
KIF3A,0.989593629878195
AMER2,0.989574027570373
SKP2,0.989562024217118
PPP5C,0.989547704907489
LIN28B,0.989514605723039
KPNA5,0.989485347455062
WWTR1,0.989479281252603
RAB11FIP2,0.989450673726314
SESTD1,0.989403026427843
PRRG1,0.989398741328102
TAPBP,0.989390716944539
CMTM4,0.989329738782092
PUM2,0.989317083895445
SLC16A7,0.98931600045753
NYAP1,0.989292360049529
CHRDL1,0.989258847074353
ENST00000614096,0.98918740717064
CCP110,0.98918621897532
ZNF507,0.989163918204607
PRKD3,0.989156531099781
POLR3D,0.989074205051228
TMEM64,0.989068264205646
CDK2AP1,0.989062651220189
RCOR3,0.98904686681093
MPLKIP,0.989030883284736
ENST00000568107,0.989017042052572
COX18,0.989013747143986
PPM1A,0.989008313811826
STX7,0.988989642085766
NLK,0.988975072325378
MOB1B,0.988953061153331
ATP11A,0.988949536017651
TRERF1,0.988917951054182
RNF11,0.988857203176764
CLDN14,0.988854601896824
DUSP8,0.988796524652547
NCKAP1,0.988760518981985
EIF1,0.988724207858842
DDA1,0.988681601222019
MYSM1,0.988675008935981
