Gene,Score
PCDH9,0.999559987285816
MTAP,0.997976285741403
FIGN,0.997640083116938
MGAT4C,0.996860928125109
SLITRK5,0.996103556940413
MAN1A1,0.995667551719805
CADM2,0.995496529474443
FZD4,0.994792057444946
NCKAP1,0.99467092632548
ANKRD17,0.9945773078097
SORT1,0.994570178177923
PABPC4L,0.993824510697001
RBM27,0.993125182155025
STIM2,0.993113309104836
ELFN2,0.991187599733853
GPM6A,0.990667145098663
ZNF141,0.989898732581317
RPS6KA5,0.989689763095397
ZFHX3,0.98933539709333
GRIN2A,0.988592736126504
FGF2,0.988453086796107
GABRA4,0.988243975542366
KCNJ6,0.988011654512694
HOXC11,0.987674528012003
PURA,0.985773046222445
PRPF4B,0.985534271066666
RNF150,0.985469805499505
FLRT2,0.985404146841572
SEC63,0.985351967795846
ASPH,0.98530872364001
TMEM184C,0.984896996498958
IKZF2,0.984440669526402
NKAPD1,0.983791438501689
DCTN5,0.983432678960175
GALNT3,0.983389464668791
FAM155A,0.982208744876507
ATP2B1,0.981984210327629
RSF1,0.981288390693807
LYRM7,0.981092748981191
PARP8,0.980976235607379
FXR1,0.98060165037844
CARNMT1,0.980281762453568
NUP93,0.980037817274999
CLVS2,0.979927494319059
RIF1,0.979885315443046
USP31,0.979527188233841
HDAC2,0.979392816122497
MMP16,0.979081191366895
SLC35A1,0.978707945454242
SRRM1,0.978678727985584
GRIN2B,0.978328106554924
WDR20,0.978162988607213
FGF14,0.977954171242167
MIER1,0.977766879744933
GALNT1,0.977460528616323
PCDH10,0.97716413526828
SLC25A24,0.97704338915591
RBM17,0.976913632665789
DCUN1D1,0.976883590064976
SMIM14,0.976238048251424
BACH1,0.976169149129399
RNF114,0.975903527283882
SKIL,0.975897951987214
FBXO25,0.975605068745363
GTF2B,0.975079485673203
PCBP1,0.97474458013135
KIAA0556,0.97468044743466
NFAT5,0.974345318666653
DCP1A,0.973682853646993
SNN,0.973166206522632
ZNF292,0.973106021491011
HS3ST1,0.972497962007206
CCDC148,0.972207896293051
SLC30A7,0.972195518613049
ZNF280C,0.972122607043027
GPC4,0.971588549655914
