Gene,Score
CHN2,0.991904060997068
IL13RA1,0.990356540511664
ANKRD36C,0.989412451365008
AGPAT1,0.98473267958233
SEL1L,0.979402672514461
DIXDC1,0.979205585842022
MOB1B,0.976866478818934
WDR63,0.975652180363526
PFN2,0.975002597746044
CBX7,0.97345834951516
RP11-706O15.1,0.96949586469245
CDK13,0.963971164480759
TBCA,0.963948852218619
NDUFC1,0.962503086787839
PBX1,0.959737436224281
MOBP,0.958020994465013
TOPORS,0.953595667153828
FANCI,0.947285676949357
LAGE3,0.945374850427443
GPR89A,0.944653818073371
CHMP7,0.943327831448428
FDFT1,0.941597365607631
LIMD2,0.936950076440998
SLC1A1,0.935029392585345
CADM3,0.933310753665328
NXPE3,0.931659140467239
TMEM99,0.929967963845035
GK,0.927733326736669
DCDC2,0.924457052070388
S100PBP,0.923735111295744
C5orf63,0.922413757227437
SPOCK1,0.921963783331197
LONRF2,0.92135499224537
MAGEC2,0.919771669490935
GLRA4,0.919587011110297
ZNF248,0.91876796643024
LARP1,0.917013333011088
C12orf23,0.916805594235268
ERO1L,0.914972344224106
NCOA1,0.914589711196024
CTA-299D3.8,0.913982444896826
PKNOX2,0.909842786612086
SLC9A7,0.904478918604646
GPR89C,0.904062310358049
MEI4,0.902790946477259
BTBD10,0.900002600629532
ATP1A1,0.89820009132298
GRIN2B,0.896953591642811
ZNF773,0.896827000677839
SLTM,0.895894738177175
LRRC15,0.89577020848996
GSPT1,0.895558643174523
RNF212,0.894834986400033
TET3,0.894535484638897
KSR2,0.893009097519778
DIAPH1,0.892722544569371
SH2B3,0.89171066811248
HMGCLL1,0.889830370633155
KIAA1429,0.888845889541646
PTGS1,0.886799509959926
TNFAIP8,0.885991697495084
MSMO1,0.885608961129631
GPRIN3,0.88422391057823
KLHL15,0.883711768261432
METTL21C,0.883660335850797
LCP2,0.883315842630668
INO80D,0.880801199161624
AFF2,0.880262920846586
FAR2,0.879917618284462
TUB,0.879347114593019
PCDH17,0.878445153879916
SYNGAP1,0.878041995949844
ZNF398,0.876320108768875
NKAIN2,0.876047161508121
USP36,0.874410201840422
NAA25,0.874278592463723
ARHGAP6,0.874094072241227
CPN1,0.873999450576909
ARFGEF2,0.872896526203287
SMU1,0.872699251350249
PDIK1L,0.872697894021565
KCNN3,0.871350453970204
SNTB2,0.870055988812241
CRNKL1,0.869994986331776
XAF1,0.869691244163629
TMEM106A,0.867542505640861
NUTM2D,0.867385152602692
BRINP2,0.865492082569063
CD44,0.865181955059186
ACTR2,0.86293142724463
RIMKLA,0.862927050220313
FAM198B,0.86240211354789
CD83,0.862257218952993
KIAA1143,0.862098511914941
GFM1,0.861348500968507
SUDS3,0.860873674727597
RASGRP3,0.860412109280787
YWHAQ,0.859749960608741
PTPN14,0.859567533598829
HEPH,0.859227117832723
DCUN1D2,0.858785798578664
PSMA2,0.85751578146281
LRP6,0.855014446454919
ANKRD18A,0.854189992941395
ANKRD18A,0.85405845157308
EPAS1,0.853951266109427
IFT122,0.853345440613599
ESCO2,0.853173609069508
EFCAB11,0.853085861309355
ZDHHC23,0.852387792971649
MDH1,0.851437246286271
RPS6KA3,0.845678619296903
ATAD2,0.845054550150019
CCDC91,0.844885808862062
ETV5,0.843133708929905
EBF1,0.841470594986007
CP,0.841360184484742
GPR107,0.840913022623266
YIPF4,0.840083377208295
C17orf72,0.83740192649032
SYCP1,0.83586858832056
LCA5L,0.835793595666924
DDX6,0.834702538313191
CEBPG,0.834009445131625
CKS1B,0.833920296288354
C1orf21,0.832819103678162
ITM2B,0.832429219030171
RAD54L2,0.83144362576635
PPP2R2B,0.829759907265241
CLECL1,0.828944592349095
KREMEN2,0.827669655314777
ZYG11B,0.827495532529284
KDM7A,0.826638706078847
KCNJ2,0.825805167600888
MDGA2,0.824544073932357
DNAH1,0.82408265270193
PIGN,0.823810069959508
EPT1,0.823593595668114
ITCH,0.819744589897529
RCAN2,0.819512469640839
NAV1,0.819036440914132
SAT2,0.818363228742499
SETBP1,0.818282891420089
FER,0.818154758428983
VPS36,0.81622956475442
SLC6A4,0.815796337580422
SDR16C5,0.815543985796067
EPB41L5,0.815146131766964
AMER1,0.814424862070549
OSBPL10,0.813483683108683
SLC35A1,0.813238117383789
STX12,0.811426548038866
EPHB2,0.811151528236807
ASB7,0.811039801512095
HIF1AN,0.81051388438406
FAM168A,0.809467289225165
PDE1C,0.808974266333865
ASPA,0.808702445051214
MCOLN2,0.806513422458355
PERP,0.8061308508155
SLCO1C1,0.805603171250719
CHMP1B,0.80505971063982
VGLL3,0.805035247920952
SMG5,0.803409353371306
SIX3,0.803209882890564
PPP1R1A,0.803181831865448
MIER1,0.80235658963397
TTC19,0.802352997276605
RNF141,0.801901944513583
DDX26B,0.801423403292729
IBA57,0.801363196415077
SYNC,0.80129549565182
NUP54,0.800419942135738
