Gene,Score
LCOR,0.999767776125886
PRR20B,0.997996307990924
PRR20A,0.997981122425508
PRR20C,0.997967540531399
PRR20D,0.997960719951446
PRR20E,0.997928050765326
MMD,0.996000581317324
KATNBL1,0.988929643114038
ZBTB10,0.987883436248236
NRK,0.986486400297247
STK17A,0.984933920530532
MTSS1,0.984730856801595
BACH1,0.98423112772435
SEPTIN2,0.983988143111781
FGF9,0.982283236730449
LRP4,0.981977301092633
RALA,0.980960762935893
ARL15,0.979099854717267
BCDIN3D,0.978114297333942
WNT9A,0.977627123970532
PGR,0.976857480580515
NLK,0.975812732700378
ZNF827,0.975381821149916
C12orf49,0.975124474890923
AC106886.6,0.974711304240485
KAT2B,0.97342484119519
ZNF800,0.969451744484054
CDH7,0.967660726216853
PURB,0.963992632629726
MBLAC2,0.962307814775356
BCL2L1,0.95774945361657
MFSD14A,0.951747603366008
CCNB1,0.950844440661862
PPTC7,0.950037696403531
NCSTN,0.948075190481958
RBBP4,0.946354438642822
ANKRD12,0.944470815470241
EGR2,0.94084226377435
ANO6,0.938534414947646
SMYD4,0.937332217321399
KBTBD2,0.934546237480209
B4GAT1,0.934437065596393
TMEM260,0.933697056634021
GPR161,0.930991820091143
ZNF773,0.930583873764285
ENST00000379264,0.930343861878573
CLDND1,0.929699011573566
DOK4,0.928340452878045
AFTPH,0.92703070504967
IRGQ,0.926431021621367
CAND1,0.926177710902789
CAPN1,0.925431338433091
LYSMD3,0.925158764308925
CTSO,0.923779977610087
LAMC1,0.92289753738537
EMCN,0.922114546127572
MAGI2,0.922082305418289
DUS2,0.921989558490201
CHCHD3,0.921096935249143
TGFBR1,0.919453654372808
CD58,0.919299072755175
YOD1,0.916530271589079
IGFBP5,0.91631779561441
CTSV,0.9136424266465
TPD52L3,0.912967863394707
FAM199X,0.912597313861494
RAP1B,0.910264885098073
XKRX,0.909001363365126
PSRC1,0.906094534972479
KIAA1109,0.90498564935356
TSPAN12,0.904085064492268
SLC44A2,0.903525691333055
SNX16,0.902784052739593
CORO2A,0.902563144627289
LAMP2,0.90085430309356
ERC2,0.897298360323065
FCHO2,0.895785114800422
RANBP1,0.894934405098503
CALCRL,0.894208750612033
NPR3,0.891554900735892
ENST00000523944,0.890480462838341
VWC2,0.890335690192373
AGO3,0.889121470487647
XKR4,0.88663679922096
MAN1A2,0.885966920387348
SACM1L,0.885357333262417
SULF2,0.882954458671791
FBXO45,0.879003962806663
FGF13,0.878479096420225
MED13,0.87719566457461
NIPBL,0.876822789297575
ERVFRD-1,0.8749221222293
RNF170,0.873665021566538
HELLS,0.873566743090767
RAD54L2,0.872009479083131
FLRT2,0.87189509719033
ABRAXAS2,0.870987900202899
WDFY3,0.868477222957142
PAK1,0.867824554295883
ZNF557,0.861094098179576
C15orf41,0.860215818157937
ITSN2,0.859478437082459
ANKDD1B,0.857913412327427
HDGFL3,0.856239069849494
STK32A,0.856209489370057
PGAP2,0.855038082049214
NRG4,0.854885483718103
LMAN1,0.852664370041389
ST6GAL2,0.850386242981079
RIC1,0.849830682976399
NTN4,0.849497987454546
TANC2,0.849421582486527
ZXDB,0.847705004807347
C6orf47,0.847619529376482
PTBP3,0.845979461149842
JADE1,0.844463791662237
KLRG1,0.844080301396666
SP140L,0.843146334690897
VEZF1,0.842760840919304
ST6GALNAC6,0.841425848646884
RNF32,0.839676963218093
ZNF615,0.837546259823668
EYS,0.83603134171273
MECOM,0.8358372400794
SLC22A2,0.834164067557687
TTLL1,0.834099743082632
UBE2V1,0.833249571832306
SLC6A11,0.832735026988749
EFEMP1,0.831462311811235
ASB5,0.830730484608959
ADAM10,0.83069655927649
SNTB2,0.829535577467075
NR4A3,0.828841215947728
SPATA6,0.828240252818032
TRIM33,0.828165048317908
LIPA,0.827632643752857
TSSK2,0.826149176917156
LHFPL2,0.825374411977812
CEACAM6,0.823105849496367
NUMBL,0.822592423417549
PPM1E,0.82127084279201
MARK1,0.818272958771889
MORC4,0.817648554151472
TLR4,0.815634704993746
PALM2AKAP2,0.814679805136433
ERVK3-1,0.814603124067707
ARL17B,0.814364274560458
CFAP97D1,0.813862900877445
RC3H1,0.81304053826693
ZNF740,0.812055918439384
ZKSCAN4,0.809413707942875
C7,0.807195884626025
WASF1,0.806088940298753
ATP10B,0.805697960755879
RNF180,0.803721332052644
AMER2,0.802710593551416
HRCT1,0.802429134549214
TREM1,0.800525391507918
