Gene,Score
TMOD2,0.994049754600698
AC106886.6,0.992204590644938
LRP4,0.988776015090221
ZNF800,0.980592769883176
LHX2,0.979615805541017
CADM4,0.979373541617703
ENST00000617179,0.974628399653803
LMLN,0.969753437414534
HSPA4L,0.968964777905986
FGF9,0.968833665384417
DACH1,0.966282201023098
DNAJA2,0.965016616079016
FNDC5,0.963337688846916
FLRT2,0.962022679365834
CHD8,0.959104032523434
STK17A,0.95753465661684
SCRG1,0.954813707134759
NCOA1,0.950004299219599
PALM2AKAP2,0.942595932204079
NFAT5,0.941394595915622
CBLN4,0.94022355829342
ZMYM4,0.934234188617226
ELSPBP1,0.9321268502601
SPRY1,0.931904909195154
BMP2,0.929424469449177
HDGFL3,0.925973988266157
TSPAN12,0.920692891228349
TTYH3,0.918814405571092
NUCKS1,0.91337801370686
DGKB,0.913276591997632
DOK4,0.913175211523502
SLC25A23,0.911657795632865
CUL2,0.909133650273325
SRGAP1,0.905684529497299
LTBR,0.900779051939726
RBBP6,0.900039157621934
ADCY6,0.891978055306833
SHROOM3,0.89128731863658
BAG2,0.889268277588875
ANKRD29,0.889158670326233
MON2,0.888425538892419
UBE2V1,0.886825992897097
ENST00000610431,0.885913418962385
BOLL,0.884945383975314
SMARCC2,0.883370985976618
KAT2B,0.883332716526787
MED4,0.880408105962916
STIM1,0.880226086647807
SMAD2,0.880123939923168
HAL,0.878729299088092
SRP14,0.876005920312992
ZNF716,0.875357025461459
CTSB,0.874548118988242
TTC39C,0.871135331247062
CDC42EP2,0.870739879030932
DGKI,0.870653061223348
YOD1,0.869720874249675
TFRC,0.868210458346091
LRP8,0.867727300164488
BAZ2B,0.86754531216491
DPYSL2,0.867418993666959
GPM6A,0.865715364768159
UBQLNL,0.865432457403633
GALNT16,0.865391465980971
PHLPP1,0.864868195330371
PAX8,0.86386582241865
SBNO1,0.863736883225805
NBEAL1,0.863266639506471
JAG1,0.862817013475347
NCR3LG1,0.862221292349667
SNX27,0.860556600288908
NCKAP1,0.859008401006558
VEZF1,0.858782023234041
PSEN1,0.857894597588506
TMEM35B,0.854929984632578
PRR5L,0.854668362747639
MRAS,0.852979523833957
DMD,0.850831719605062
IGFBP5,0.850556848612512
RNF32,0.850454018849113
ADCY7,0.850385757960004
GCA,0.847534958826906
LCOR,0.847480602119844
RPUSD2,0.846967452080811
RSF1,0.84692160988156
DFFA,0.84639087340059
RAD54L2,0.846156431296268
DCUN1D3,0.841084465573165
GLUD1,0.839294333619753
MTAP,0.838775335818065
PDE4B,0.838523784486251
GPRIN3,0.836081985082982
PLP1,0.835350885119087
TMX2,0.834569779523686
BCL11A,0.833944869794214
ADGRL3,0.832805011401782
PDGFB,0.832239779669519
DBT,0.832210718375279
PDGFRA,0.831775165417288
EPB41L4B,0.830194828963648
POU3F2,0.830181111367562
CCDC43,0.82903556693199
PCDH9,0.827299651742225
CELF2,0.824870271162273
BRAF,0.824139669487602
COL17A1,0.823236930888339
IRF6,0.822996158026984
CAPN1,0.821919524235835
CORO2A,0.821345094116702
PPTC7,0.82107875788144
MYO9A,0.819802381739447
FOXN2,0.819033353747712
SLF1,0.818426198073995
AC112229.3,0.818139574314786
YTHDC2,0.815426744249197
GRIN2B,0.815282382720081
BLOC1S5-TXNDC5,0.814426228769421
SPRY3,0.812532180782302
FAT4,0.812499140574366
TLN2,0.808763240873997
TET1,0.808539679237548
ZNF557,0.80839723786479
ARFIP1,0.808372793212122
TBC1D3K,0.807163805879437
TBC1D3H,0.80693623280409
TBC1D3G,0.806453125627818
PRKX,0.806091302517723
OSBPL6,0.805074324190401
ENST00000369130,0.804371062648103
CHIC1,0.804329365468473
LRRC70,0.803987742097947
STOX1,0.803682345874581
CELF1,0.803263837975194
COL28A1,0.801118730006054
BBX,0.800442198795139
