Gene,Score
TMEM212,0.999915853693674
RAD23B,0.999710452992852
MEX3B,0.998769091131332
TMEM263,0.998764331331822
SCRIB,0.997311355221323
MUC5AC,0.997273646427543
GPR63,0.996320238774305
MSTO1,0.995612616486158
EPHA4,0.995446800952782
TTLL1,0.992885528398857
C10orf67,0.990032730270654
LACC1,0.988310288792695
RNF115,0.986687279562035
MOBP,0.986280117030869
RSKR,0.986143019924916
FAM78A,0.984915767729251
VLDLR,0.980452581630383
ZNF519,0.980318412968819
PDZD8,0.980256800669345
ZIC1,0.978471461221517
C5orf52,0.97675938396733
SLC35A4,0.976094180256353
HEXA,0.973779191623893
JPH1,0.97292939530589
TLK1,0.971058905714925
CYP2R1,0.97078503270039
SEPTIN3,0.970545710788285
MBNL2,0.970281412654691
DZIP3,0.969929905320823
AMIGO2,0.967353921158694
LGR6,0.966547554230858
SAMD3,0.966252950038025
FNTA,0.9657662283395
ENST00000422223,0.965764093443634
ITM2A,0.965049248976806
OMD,0.961626017848692
TAF5,0.961303209660738
TRIM52,0.961184899873552
SEMA6B,0.960937344820131
PDE4D,0.960135030129534
OTULIN,0.958903517458391
MUC12,0.955836575931325
PCYOX1,0.955666517163972
NDUFAF7,0.953612554785659
RAB28,0.950793681079141
CD84,0.950645651258175
LYST,0.948058747194961
BTAF1,0.947163327687731
ARFGEF2,0.946427581006383
MARCKS,0.946025469393694
SEH1L,0.945952865069552
ERBB2,0.944019657220028
CWH43,0.94022251949862
SLC26A7,0.939901832615173
NEPRO,0.937132709387712
ANKRD36C,0.936496177856249
PTPN23,0.936108959010087
LRRTM4,0.933736562821164
HNRNPUL2,0.933400866242021
PCNX1,0.931615193116475
BZW1,0.930493532837853
AC134669.1,0.929598316343648
SKIDA1,0.929494164619437
KAT2B,0.929376227819596
LMCD1,0.928503228192221
LUZP2,0.92740921337027
KLHL31,0.927177386059122
CSNK1A1L,0.926826285297995
ERVV-2,0.926191490274229
TNIP3,0.926010366076885
CMSS1,0.925424893704597
AC005833.1,0.924687439289511
SMCHD1,0.924433466579473
PRKCA,0.923851421466182
ADGRL3,0.922497431718632
RSPO1,0.922389380281357
CACTIN,0.919836680831376
MROH7,0.918970077100389
RSF1,0.918154209351674
ZRANB2,0.915365534875635
MEIS2,0.913959985517381
BICRAL,0.913480914726844
SMC5,0.911535221704728
CYB5D2,0.910310822875306
LACTB2,0.909992819960778
ASH2L,0.909155847710844
TFAM,0.908767016615204
ATP2B4,0.906756229980199
HSPH1,0.906013475771586
NCR3LG1,0.901822387920499
GSTM2,0.900281515881593
CCDC25,0.898861692992847
SMTN,0.897781558911547
DDX17,0.894451821486477
ENST00000309893,0.894002568193376
LRWD1,0.891754663285385
MAPK11,0.890221881001628
GORASP2,0.889426720161084
ZNF764,0.888168363635942
SNAP91,0.887015760905408
PPP2R5E,0.88661788922147
TBC1D2B,0.885194441045277
C6orf62,0.884507688540555
AP3B2,0.883952893319468
GBP3,0.883267166885004
ITPR2,0.883173461037348
ENST00000620076,0.883046623913889
IMPACT,0.883040625840874
SLC8A1,0.881768111331063
CDH8,0.881509824937146
KRTAP24-1,0.881431821383883
PLA2R1,0.880898207207055
POU2F2,0.880719004446549
AP3S1,0.877145466838672
LHFPL3,0.876930768306824
CLEC2D,0.876453693573412
C2orf73,0.875355854027595
ADAM11,0.873692317613704
OR2H1,0.872641824144556
FLII,0.869871809374976
PCDH9,0.869492642172163
MTARC1,0.869404485544301
MPHOSPH9,0.869154790739671
CHAT,0.868937593013747
SLC15A4,0.86796533905897
EIF2S3B,0.866079448782751
EFCAB14,0.865139431900475
NUFIP2,0.864718168898244
RNF8,0.862601831952802
SENP8,0.862409019018316
RUNX1T1,0.861416426307937
F3,0.860316961946836
HMGN1,0.860302599381699
RANBP17,0.859687362760451
ZFHX2,0.858868837563005
ZNF551,0.858052828298049
SLC2A13,0.85628658261565
FLNA,0.856187064041504
KCMF1,0.856163391560113
CORO2A,0.856012127687642
CAPRIN2,0.854631753842891
NRIP1,0.854004960006966
RNF24,0.853893207459513
MAX,0.853772400655204
RPLP0,0.852838780404884
SMARCD3,0.852167606543068
CADM2,0.85141711376858
CREBZF,0.849742830268222
KCNMA1,0.849719580397576
MBD5,0.84923591025422
P3H1,0.849032442539308
SHMT1,0.847632394820932
VXN,0.847614611570505
RBM12B,0.847533233234463
SYNPR,0.847242668183733
NEK5,0.846021178986003
TP53INP1,0.845319733175383
BRPF3,0.845245032959572
RHOBTB1,0.844887360690151
CTSO,0.844436645186878
LMLN,0.844086521451685
HNRNPUL1,0.842210734439353
ENST00000611416,0.840362072084223
AC005480.2,0.837194682342108
EML6,0.837161785015295
TNC,0.837031977677712
ZDHHC20,0.834718128551418
RORA,0.834437973929652
STRIP2,0.832976727006205
FCRL4,0.831897646093419
TRIM44,0.831889942215681
PRMT8,0.831617538286792
AC090498.1,0.831268913199272
NOMO3,0.82997332181781
SOX18,0.829641098419341
SLIRP,0.829095437230839
ZBTB20,0.827808678096123
SRFBP1,0.827293355242541
AC012254.2,0.826770123129476
LRRC1,0.825262904399222
PIGZ,0.824900491985575
CCN3,0.824847207572995
ARPC5,0.823770364835755
ATAD2B,0.822739011870353
PGM3,0.820938391208113
ASB13,0.820338165493158
MBD4,0.819877661460105
STK38L,0.819397644010719
RBBP6,0.816490894681651
NFAT5,0.815467860171857
ARL6IP5,0.814188630334301
GRIN3A,0.813334341913055
ANKRD34C,0.812160682014897
HID1,0.811942189085105
PRR12,0.81188368316034
CABYR,0.81147476281499
NSA2,0.809055979702618
NDUFS1,0.808647680986147
ATRX,0.808245525971769
KCNV1,0.808060043693592
BCL2L14,0.807081040743192
NEDD9,0.807038721424375
TTLL9,0.805691532543513
PCYOX1L,0.803727778195131
CDH19,0.803585372546109
CARM1,0.803356941916147
OTP,0.802244810930479
PTCH2,0.801928402945598
GABRQ,0.801423922705788
LRRC23,0.80070116507454
