Gene,Score
UGT2B7,0.962045412280853
THUMPD1,0.960585979224631
KDELR2,0.941911256373125
STK40,0.939296195424557
PSORS1C2,0.914385440470741
SV2A,0.90865673038651
RASA1,0.90835163575359
TIMM21,0.899458022159594
GTF2H1,0.894251247901597
C6orf132,0.893018966771664
EZR,0.891345848609761
ZNF396,0.887380511929126
HOXB5,0.879703977091779
RDH11,0.878569257383928
ZNF114,0.873390748034548
STEAP4,0.867307769556815
THSD7A,0.861383970007167
SPRY1,0.85314374497773
COX8C,0.842937658657232
CBLL1,0.838661968894773
GCSH,0.830413545015357
THOC7,0.828854732502428
CLEC5A,0.828190271000404
MEX3B,0.823090559648623
AGPAT4,0.821108867936537
CUX1,0.820724205948663
SLC17A8,0.815873199096254
ZNF471,0.815824105079755
PLCL1,0.814987059805877
GTF2IRD2B,0.813311432256066
TLL1,0.812280281103095
EDEM1,0.806798190350386
KCNA2,0.801727624258771
