Gene,Score
MGAT4C,0.999914172625989
CREB1,0.999690657823097
SLITRK5,0.999050659655654
SMAD2,0.999008415399285
FLRT2,0.998642259449107
SRSF1,0.998596471584136
TOP2B,0.998458084718491
SCAI,0.997678096146518
PCDH17,0.997656891951088
CACNB4,0.997514713694717
INTS6,0.997181192796704
GNAI3,0.997078221327284
ZNF207,0.996788177214529
CD47,0.996423254225596
CADM2,0.996077712788354
PARP8,0.996048243971658
PHC3,0.995567582542822
SMIM13,0.99549665941056
CITED2,0.995483590511383
MBNL2,0.995182577658975
ZNF92,0.994868251395775
PCDH9,0.994829806331296
LOX,0.99477238798196
AKIRIN1,0.994734888063069
ENST00000456098,0.994618675317029
CNKSR3,0.994579585486057
PTEN,0.994376744180764
RIF1,0.994161714036075
CNKSR2,0.994101253129943
ZNF678,0.99393782501832
LHX9,0.993932802777491
CRISPLD1,0.993664699486015
ABCA10,0.993468492633921
LCOR,0.99323351251208
ABI2,0.993157322813638
RESF1,0.993141671009007
AKAP6,0.992730059271882
DACH2,0.992645291669928
UBE2J1,0.992619648169235
ZNF800,0.992510642518934
BRWD3,0.992305084237204
TENM1,0.992276420117586
NBPF12,0.992205761801955
LBR,0.992099318884485
UBN2,0.992013115048677
LIMA1,0.99163153531009
DCUN1D1,0.991617658481653
TP53INP1,0.991539905743588
SLC8A1,0.991421067811539
NSA2,0.99130832283206
RFX3,0.991044496914233
EPHA3,0.990993130615446
NBPF9,0.990840571206946
MAMLD1,0.990760807321186
RASSF6,0.990746288790485
ARHGAP5,0.99041817851704
KLHL15,0.98977829893671
ZNF367,0.98943502950557
AP1G1,0.989346780505268
BUB3,0.98932353015727
BEND2,0.989321065907364
AGO2,0.98911350079474
KLHDC2,0.989053413746173
KAT6B,0.988921673048299
PANK3,0.988850941292677
NPAS3,0.988219012953841
LMAN1,0.988164789728014
GFRA1,0.988099392722403
NBPF15,0.987738868793818
HOOK1,0.987726919435872
HIPK3,0.987583682625697
WDR82,0.98743684125293
AFF2,0.987429467471941
TMEM132B,0.987327671783176
ADAMTS20,0.987254179803447
NLK,0.987141822287063
LYST,0.98663570706342
SMIM21,0.986327450582555
PCSK2,0.986294364028088
SFRP2,0.985636256976393
RBM46,0.985471572783
WDR26,0.9854420231843
TMF1,0.985381961099189
PPIG,0.985365029152751
STYX,0.985316989936892
ZMYM2,0.985227652199636
LPP,0.984974134287388
SAV1,0.984940647498228
SF3B1,0.984609642107679
PEX13,0.984386559129327
PLPP3,0.984148796433168
SLC26A7,0.983942123306029
KLHDC7A,0.983906140011964
ENST00000282030,0.983831215724082
PIGM,0.983830398796469
BEND4,0.983785131139406
AQP4,0.982847870781493
SYT16,0.982806250771735
SOX11,0.982280625071311
GRIA2,0.982203865243481
NEXMIF,0.982033116692853
CLK4,0.981946663138389
PPM1D,0.98182699368979
EFCAB11,0.981755708581674
ZNF292,0.981614953675956
PPP2CA,0.981440715106427
YIPF4,0.981375030084359
SLC25A53,0.98126626966562
RGS21,0.981258871451442
PRR27,0.981245377858965
RUNDC3B,0.981132225055828
UST,0.981045292803905
FMR1,0.980936794203819
KLF3,0.980923072575987
NDUFA9,0.980681713021603
CREBRF,0.980672509514807
BCAT1,0.980417602131474
RSBN1L,0.980402902907444
ZNF148,0.980188051835836
RAPGEF4,0.979964456630342
MAP3K2,0.979890540678693
HNRNPUL2,0.979441058673244
MGAT4A,0.979245950796141
ZNF681,0.979218614664623
AP5M1,0.979043834045886
NDUFV3,0.978994515474816
TPR,0.978990342500228
TMEM106B,0.978957582799981
USP15,0.978724312218025
NABP1,0.97870016852241
MFAP5,0.978500622548069
TMEM65,0.978343044099369
FGD4,0.978237815816329
