Gene,Score
LCOR,0.999997666963985
LRP4,0.999989276162415
FGF9,0.999972956946991
MMD,0.999863324483657
ZNF800,0.999820695062127
PRR20B,0.999349522056775
PRR20A,0.999343900886
PRR20C,0.999331891703948
PRR20D,0.999331254255691
PRR20E,0.999329338661272
STK17A,0.999320602920994
RALA,0.99905712177906
AC106886.6,0.9988263908575
KATNBL1,0.998713196577557
SEPTIN2,0.9985819658649
YOD1,0.998206839997132
NRK,0.998170598881765
TTLL1,0.998126848707551
IGFBP5,0.994319603097424
DOK4,0.994242255519655
NUCKS1,0.994114377569293
EFEMP1,0.993936827046263
VEZF1,0.993912282358375
NLK,0.992580401449037
RAD54L2,0.992417089839464
TSPAN12,0.99109683601208
KAT2B,0.990887391409461
TMEM260,0.990771807733646
HDGFL3,0.990652676434513
WNT9A,0.989924198803942
NPR3,0.988857226926057
EGR2,0.98841490865409
PPTC7,0.988369300365003
ZNF827,0.986294399946285
BCDIN3D,0.985936193342704
CORO2A,0.985899308116523
ERC2,0.985212898032976
PALM2AKAP2,0.985117933680779
GPR161,0.984847642409818
UBE2V1,0.984642445926781
HSPA4L,0.983959818406674
NCSTN,0.983834174071412
ZBTB10,0.983346714920772
ADGRL2,0.982657884321685
BCL2L1,0.981598331280926
RNF32,0.981081101060958
BACH1,0.979858194039595
FNDC5,0.979002257998917
SHROOM3,0.978991122658392
CAPN1,0.977907746855116
FLRT2,0.976542663490726
C12orf49,0.976466880282761
NCOA1,0.975331934156851
KBTBD2,0.975072865263397
MTSS1,0.974699178572585
ADCY7,0.974216782149451
SPATA6,0.972763769812687
IRGQ,0.972730281291691
SCRG1,0.9711124359414
NPL,0.97075180527905
NIPBL,0.970747571131399
HRCT1,0.967987059912294
TSSK2,0.967681079416848
WDFY3,0.966573457020579
YTHDC2,0.965972053134076
HDAC7,0.965659566295305
NCKAP1,0.964349910318112
ADAM10,0.962490484948995
FBXO45,0.962395245680393
CBLN4,0.962372328043563
BMP2,0.961626095906744
LAMC1,0.960969719162996
DGKB,0.960235181167998
SP140L,0.959604173509545
MED13,0.959433394873106
ABRAXAS2,0.958179271921048
TLR4,0.956827751941134
WASF1,0.956637053230988
MROH9,0.955983213385981
GCA,0.955979948299744
BAZ2B,0.953666076492907
RPUSD2,0.953167361279336
PURB,0.952385587253454
RBBP4,0.952226246341704
CDH7,0.951991729725372
ZNF557,0.951915876296205
ENST00000556084,0.950820165465984
GALNT16,0.950168859838158
RD3L,0.948191154637272
SNX27,0.94799309763842
PGR,0.946949843938984
FCHO2,0.945126298893486
NTN4,0.944789963820783
ENST00000379264,0.943860115864564
SRP14,0.943187955853889
BOLL,0.941989297764783
TFRC,0.940470500507515
