Gene,Score
MED12,0.990714778291399
EBF2,0.989606044242664
TP53BP2,0.981053794431639
GDF9,0.978007099617266
ALG11,0.972421465356981
ZSWIM6,0.971619040956889
HINT1,0.968180797987384
ELOVL6,0.967690920423933
PAQR9,0.963590908102602
SLC6A1,0.963138158380295
CADM3,0.962233947444814
ZFYVE26,0.961570178286223
ERVV-1,0.957458063322053
MFSD2A,0.956074004908836
ZNF286A,0.954984193386156
GTF3C4,0.954694044094369
SEMA5B,0.95188587324023
DTX4,0.949969586713619
GAMT,0.949739514799169
NETO2,0.948748789621489
ZBTB37,0.947264818650004
TMCO5A,0.945052424661101
STAC,0.944773646476414
ANK3,0.943479920758843
BMF,0.94087946463409
ATP2B1,0.937540167414923
ENST00000369130,0.936369186693981
POU2F1,0.936064138847084
SRF,0.935978238767154
BUB3,0.935118382399873
PEX26,0.934828484682346
AKAP12,0.932820525325777
ONECUT2,0.927764415870465
LRCH3,0.927140636249865
GRM3,0.926617301040992
LPP,0.925808314644551
HCFC2,0.925693386713204
MKRN3,0.925343199007135
FAM136A,0.925065631339863
ATP11B,0.924661799022856
CDK11B,0.924433226498051
WDR45B,0.924250715804264
METTL3,0.923191821265386
REV3L,0.921514675810487
SRGAP1,0.921485272448193
FGF1,0.920944850872598
STIM2,0.920258200704289
ASH2L,0.916028651261536
NFAT5,0.915634372386893
CD300E,0.913403151152996
PSMA8,0.912746609890446
STAG1,0.911281698217891
DCDC2,0.910949579475243
KCTD4,0.910085245984767
ZNF286B,0.909777785150187
TERB2,0.905502685509359
ERRFI1,0.904515340769201
GTDC1,0.903113813692985
AKAP6,0.902399947090348
DGKG,0.900438458449049
TSC2,0.898717880455437
CSF2RA,0.896472409398795
C12orf49,0.895832737444979
ENST00000558084,0.895424274777399
EGFLAM,0.894555044249898
TRIOBP,0.894433064221219
HMGXB4,0.890917662648068
KLF12,0.890799387677168
WDPCP,0.890008915423883
NLRP8,0.890003122749949
MLH1,0.887720548147985
Z83844.1,0.887087783689462
GALNT2,0.88668063254373
JAKMIP2,0.88614469598252
TMEM132B,0.886084770863869
CNTROB,0.88422054962748
NCR3LG1,0.88291142869563
HM13,0.881899773555475
EHMT1,0.881535793560841
RNF31,0.880849690899905
P3H2,0.879892097143865
CC2D2A,0.879570067715051
GPATCH8,0.879212508271409
DLG3,0.879198500504769
CARMIL1,0.877815737136288
PLEKHA6,0.877799549586769
FAM13C,0.877307024114666
SEL1L,0.87712656447825
AP1B1,0.87573748165945
ZNF41,0.875116785873476
CHST12,0.874977504516856
NCMAP,0.873631115801758
FOXP2,0.873499238494589
CAMKK2,0.871945691779448
LIPG,0.870582860518529
CEP120,0.868901247894432
THAP6,0.867320590349536
FBXO36,0.867052710705297
ZNF429,0.867018570887079
SLC34A2,0.866371199050629
CEP126,0.866066824403003
ZDHHC11,0.866033357939824
BCDIN3D,0.86558171083591
FCHSD2,0.865038579926477
WHRN,0.863985241853724
PAFAH2,0.86341209588949
TMEM116,0.862862070031998
SLC11A2,0.862396159409255
ADCY1,0.862385752154198
MACF1,0.862188737908624
MRTFB,0.860609580985588
